"category","status","relative_path","size_bytes","modified"
"00_raw_objects_and_infercnv","classified","00_raw_objects_and_infercnv\infercnv_Other_vs_Immune_subcluster\17_HMM_predHMMi6.leiden.hmm_mode-subclusters.cell_groupings","2040764","2026-07-05 21:12:31"
"00_raw_objects_and_infercnv","classified","00_raw_objects_and_infercnv\infercnv_Other_vs_Immune_subcluster\17_HMM_predHMMi6.leiden.hmm_mode-subclusters.genes_used.dat","162348","2026-07-05 21:11:45"
"00_raw_objects_and_infercnv","classified","00_raw_objects_and_infercnv\infercnv_Other_vs_Immune_subcluster\17_HMM_predHMMi6.leiden.hmm_mode-subclusters.infercnv_obj","97654481","2026-07-05 22:47:16"
"00_raw_objects_and_infercnv","classified","00_raw_objects_and_infercnv\infercnv_Other_vs_Immune_subcluster\17_HMM_predHMMi6.leiden.hmm_mode-subclusters.pred_cnv_genes.dat","13151336","2026-07-05 22:52:16"
"00_raw_objects_and_infercnv","classified","00_raw_objects_and_infercnv\infercnv_Other_vs_Immune_subcluster\17_HMM_predHMMi6.leiden.hmm_mode-subclusters.pred_cnv_regions.dat","201127","2026-07-05 22:08:51"
"00_raw_objects_and_infercnv","classified","00_raw_objects_and_infercnv\infercnv_Other_vs_Immune_subcluster\infercnv.17_HMM_predHMMi6.leiden.hmm_mode-subclusters.heatmap_thresholds.txt","56","2026-07-05 22:08:39"
"00_raw_objects_and_infercnv","classified","00_raw_objects_and_infercnv\infercnv_Other_vs_Immune_subcluster\infercnv.17_HMM_predHMMi6.leiden.hmm_mode-subclusters.observation_groupings.txt","440046","2026-07-06 1:37:31"
"00_raw_objects_and_infercnv","classified","00_raw_objects_and_infercnv\infercnv_Other_vs_Immune_subcluster\infercnv.17_HMM_predHMMi6.leiden.hmm_mode-subclusters.png","0","2026-07-05 21:12:39"
"00_raw_objects_and_infercnv","classified","00_raw_objects_and_infercnv\infercnv_Other_vs_Immune_subcluster\infercnv.preliminary.heatmap_thresholds.txt","278","2026-07-05 22:47:24"
"00_raw_objects_and_infercnv","classified","00_raw_objects_and_infercnv\infercnv_Other_vs_Immune_subcluster\infercnv.preliminary.observation_groupings.txt","440046","2026-07-05 22:09:09"
"00_raw_objects_and_infercnv","classified","00_raw_objects_and_infercnv\infercnv_Other_vs_Immune_subcluster\infercnv.preliminary.png","1348614","2026-07-06 1:37:54"
"00_raw_objects_and_infercnv","classified","00_raw_objects_and_infercnv\infercnv_Other_vs_Immune_subcluster\infercnv_subclusters.heatmap_thresholds.txt","278","2026-07-05 21:11:43"
"00_raw_objects_and_infercnv","classified","00_raw_objects_and_infercnv\infercnv_Other_vs_Immune_subcluster\infercnv_subclusters.observation_groupings.txt","354750","2026-07-06 1:37:30"
"00_raw_objects_and_infercnv","classified","00_raw_objects_and_infercnv\infercnv_Other_vs_Immune_subcluster\infercnv_subclusters.png","1568391","2026-07-05 22:13:12"
"00_raw_objects_and_infercnv","classified","00_raw_objects_and_infercnv\infercnv_Other_vs_Immune_subcluster\preliminary.infercnv_obj","891034265","2026-07-06 1:37:05"
"00_raw_objects_and_infercnv","classified","00_raw_objects_and_infercnv\integrated_oc.RData","1687320344","2026-07-06 22:43:06"
"00_raw_objects_and_infercnv","classified","00_raw_objects_and_infercnv\integratedocBcells.RData","16685242","2026-07-07 19:16:34"
"00_raw_objects_and_infercnv","classified","00_raw_objects_and_infercnv\integratedocMyecells.RData","156321903","2026-07-06 20:42:54"
"00_raw_objects_and_infercnv","classified","00_raw_objects_and_infercnv\integratedocTcells.RData","117215774","2026-07-06 2:07:47"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\figures\cnv_subclone_composition_by_sample_type.pdf","4858","2026-07-07 22:44:36"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\figures\cnv_subclone_composition_by_sample_type.png","27569","2026-07-07 22:44:36"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\figures\cnv_subclone_function_module_score_heatmap.pdf","6625","2026-07-07 22:44:28"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\figures\cnv_subclone_function_module_score_heatmap.png","32474","2026-07-07 22:44:35"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\figures\knn_broad_cell_type_neighbor_enrichment.pdf","17145","2026-07-07 22:49:18"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\figures\knn_broad_cell_type_neighbor_enrichment.png","72099","2026-07-07 22:49:17"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\figures\knn_broad_cell_type_neighbor_zscore.pdf","17458","2026-07-07 22:49:17"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\figures\knn_broad_cell_type_neighbor_zscore.png","73283","2026-07-07 22:49:17"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\figures\knn_interaction_group_neighbor_enrichment_top35.pdf","25457","2026-07-07 22:49:16"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\figures\knn_interaction_group_neighbor_enrichment_top35.png","256663","2026-07-07 22:49:15"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\figures\knn_interaction_group_neighbor_zscore_top35.pdf","26380","2026-07-07 22:49:13"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\figures\knn_interaction_group_neighbor_zscore_top35.png","270547","2026-07-07 22:49:12"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\figures\knn_TME_focus_neighbor_enrichment.pdf","23613","2026-07-07 22:50:47"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\figures\knn_TME_focus_neighbor_enrichment.png","211836","2026-07-07 22:50:46"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\figures\knn_TME_focus_neighbor_zscore.pdf","24400","2026-07-07 22:50:44"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\figures\knn_TME_focus_neighbor_zscore.png","208248","2026-07-07 22:50:43"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\integrated_oc_infercnv_plan_task_breakdown_and_results.md","10016","2026-07-07 22:53:25"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\integrated_oc_infercnv_plan_task_breakdown_and_results.txt","10016","2026-07-07 22:53:25"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\reports\analysis_notes_subclone_cellchat_status.txt","1391","2026-07-06 13:36:08"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\reports\infercnv_integrated_oc_research_plan.txt","13721","2026-07-07 22:37:53"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\resources\omnipath_ligrecextra.tsv","450392","2026-07-06 23:53:28"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\scripts\extract_docx_text.py","1513","2026-07-07 22:37:39"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\scripts\knn_neighbor_enrichment_integrated_oc.py","5841","2026-07-07 22:45:36"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\scripts\make_tme_only_knn_outputs.py","2367","2026-07-07 22:50:21"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\scripts\plan_analysis_prepare_integrated_oc.R","11585","2026-07-07 22:42:40"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\scripts\write_plan_report.py","8735","2026-07-07 22:53:08"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\scripts_early_lr_and_cellchat\run_cellchat_subclone_vs_tcelltype_template.R","2609","2026-07-06 13:37:41"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\scripts_early_lr_and_cellchat\summarize_distinct_lr.R","611","2026-07-07 0:00:25"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\scripts_early_lr_and_cellchat\work_summarize_distinct_lr.R","611","2026-07-07 0:00:25"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\scripts_early_subclone_generation\finalize_infercnv_subclone_and_tcell_metadata.R","6038","2026-07-06 13:35:47"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\scripts_early_subclone_generation\make_infercnv_subclones.R","4064","2026-07-06 13:33:51"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\scripts_early_subclone_generation\test_subclone_clustering_methods.R","1691","2026-07-06 13:34:48"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\early_infercnv_subclone_outputs\infercnv_cell_to_subclone.csv","661276","2026-07-06 13:34:04"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\early_infercnv_subclone_outputs\infercnv_subclone_cnv_regions_long.csv","214002","2026-07-06 13:34:04"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\early_infercnv_subclone_outputs\infercnv_subclone_cnv_state_summary.csv","375","2026-07-06 13:34:04"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\early_infercnv_subclone_outputs\infercnv_subclone_hclust.png","14358","2026-07-06 13:34:04"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\early_infercnv_subclone_outputs\infercnv_subclone_heatmap_cell_counts.csv","124","2026-07-06 19:29:02"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\early_infercnv_subclone_outputs\infercnv_subcluster_to_4_7_subclone.csv","2542","2026-07-06 13:34:04"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\early_lr_interaction_outputs\lr_gene_average_expression_by_group.csv","848696","2026-07-07 19:40:28"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\early_lr_interaction_outputs\lr_gene_detection_fraction_by_group.csv","843953","2026-07-07 19:40:28"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\early_lr_interaction_outputs\lr_top_interactions_top50_per_group_pair.csv","13668742","2026-07-07 19:40:46"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\early_lr_interaction_outputs\lr_top40_subclone_involving_pairs.pdf","6165","2026-07-07 19:41:12"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\early_lr_interaction_outputs\lr_top5000_interactions_global.csv","701642","2026-07-07 19:40:46"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\early_lr_interaction_outputs\omnipath_ligrecextra_LR_pairs_used.csv","65271","2026-07-07 19:40:23"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\infercnv_cell_to_subclone_k5.csv","661285","2026-07-07 22:43:07"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\infercnv_subclone_cnv_regions_k5.csv","169980","2026-07-07 22:43:07"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\infercnv_subclone_cnv_state_summary_k5.csv","584","2026-07-07 22:43:07"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\infercnv_subclone_heatmap.pdf","122265","2026-07-07 22:43:07"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\infercnv_subclone_heatmap.png","40258","2026-07-07 22:43:07"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\infercnv_subcluster_to_subclone_k5.csv","2663","2026-07-07 22:43:07"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\integrated_oc_Bcell_subtypes_mapped_from_integratedocBcells.csv","105568","2026-07-07 22:43:07"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\integrated_oc_interaction_group_cell_counts.csv","1165","2026-07-07 22:43:07"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\integrated_oc_mapping_summary.csv","272","2026-07-07 22:43:07"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\integrated_oc_metadata_with_cnv_TNK_myeloid_B_subtypes.csv","8564349","2026-07-07 22:43:07"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\lr_cnv_subclone_celltype_directional_heatmaps.pdf","12274","2026-07-07 22:43:07"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\lr_group_pair_summary_connectome_like.csv","214321","2026-07-07 22:43:07"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\lr_group_pair_total_score_heatmap.pdf","38344","2026-07-07 22:43:07"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\lr_group_pair_total_score_heatmap.png","145011","2026-07-07 22:43:07"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\lr_top_distinct_LR_pairs_involving_cnv_subclones.csv","32261","2026-07-07 22:43:07"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\lr_top_interactions_celltype_to_cnv_subclone.csv","1316769","2026-07-07 22:43:07"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\lr_top_interactions_cnv_subclone_to_celltype.csv","1383609","2026-07-07 22:43:07"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\lr_top_interactions_involving_cnv_subclones.csv","2876112","2026-07-07 22:43:07"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\lr_top40_subclone_involving_pairs.png","89681","2026-07-07 22:43:08"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\map_subtypes_and_run_lr_interactions.R","17942","2026-07-07 22:43:08"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\plot_infercnv_subclone_heatmap.R","4081","2026-07-07 22:43:08"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\tables\cell_level_function_module_scores.csv","8226919","2026-07-07 22:44:25"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\tables\cnv_subclone_cell_counts.csv","239","2026-07-07 22:44:11"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\tables\cnv_subclone_cnv_event_counts_by_chr.csv","5050","2026-07-07 22:44:12"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\tables\cnv_subclone_composition_by_sample_type.csv","980","2026-07-07 22:44:12"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\tables\cnv_subclone_function_module_score_summary.csv","2568","2026-07-07 22:44:26"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\tables\cnv_subclone_key_gene_expression_summary.csv","4050","2026-07-07 22:44:27"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\tables\early_immune_subtype_mapping\integrated_oc_Bcell_subtypes_inferred_from_markers.csv","377979","2026-07-07 18:33:58"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\tables\early_immune_subtype_mapping\integrated_oc_Bcells_marker_avg_by_full_cluster.csv","1272","2026-07-07 18:30:09"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\tables\early_immune_subtype_mapping\integrated_oc_Bcells_marker_pct_by_full_cluster.csv","1299","2026-07-07 18:30:09"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\tables\early_immune_subtype_mapping\integratedocTcells_metadata_with_infercnv_match.csv","2749713","2026-07-06 13:36:08"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\tables\focused_LR_axes_involving_cnv_subclones.csv","110439","2026-07-07 22:44:37"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\tables\infercnv_subcluster_to_subclone_k5.csv","2663","2026-07-07 22:44:12"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\tables\integrated_oc_metadata_with_cnv_TNK_myeloid_B_subtypes.csv","8367045","2026-07-07 22:44:11"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\tables\integrated_oc_pca30_for_knn.csv","28183045","2026-07-07 22:44:07"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\tables\integrated_oc_umap_with_cnv_and_interaction_groups.csv","5805122","2026-07-07 22:44:09"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\tables\knn_neighbor_enrichment_cell_type_k30_perm1000.csv","6446","2026-07-07 22:49:10"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\tables\knn_neighbor_enrichment_focus_tme_groups.csv","28931","2026-07-07 22:49:10"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\tables\knn_neighbor_enrichment_interaction_group_k30_perm1000.csv","37369","2026-07-07 22:48:53"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\tables\knn_neighbor_enrichment_TME_focus_groups.csv","19661","2026-07-07 22:50:42"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\tables\knn_neighbor_enrichment_TME_only_interaction_group.csv","31430","2026-07-07 22:50:42"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\tables\knn_top_enriched_neighbor_labels.csv","33707","2026-07-07 22:49:18"
"01_integrated_oc_cnv_clone_definition","classified","01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\tables\knn_top_TME_enriched_neighbor_labels.csv","31430","2026-07-07 22:50:42"
"02_cnv_expression_state_analysis","classified","02_cnv_expression_state_analysis\CNV_expression_joint_analysis_integrated_oc\CNV_expression_joint_analysis_task_breakdown_and_results.md","10857","2026-07-08 13:16:14"
"02_cnv_expression_state_analysis","classified","02_cnv_expression_state_analysis\CNV_expression_joint_analysis_integrated_oc\CNV_expression_joint_analysis_task_breakdown_and_results.txt","10857","2026-07-08 13:16:14"
"02_cnv_expression_state_analysis","classified","02_cnv_expression_state_analysis\CNV_expression_joint_analysis_integrated_oc\figures\chromosome_level_CNV_score_by_clone_heatmap.pdf","7164","2026-07-08 12:55:44"
"02_cnv_expression_state_analysis","classified","02_cnv_expression_state_analysis\CNV_expression_joint_analysis_integrated_oc\figures\chromosome_level_CNV_score_by_clone_heatmap.png","45347","2026-07-08 12:55:52"
"02_cnv_expression_state_analysis","classified","02_cnv_expression_state_analysis\CNV_expression_joint_analysis_integrated_oc\figures\CNV_burden_by_clone_violin.pdf","30086","2026-07-08 12:55:54"
"02_cnv_expression_state_analysis","classified","02_cnv_expression_state_analysis\CNV_expression_joint_analysis_integrated_oc\figures\CNV_burden_by_clone_violin.png","29755","2026-07-08 12:55:53"
"02_cnv_expression_state_analysis","classified","02_cnv_expression_state_analysis\CNV_expression_joint_analysis_integrated_oc\figures\CNV_clone_signature_and_TF_activity_heatmap.pdf","7966","2026-07-08 12:56:09"
"02_cnv_expression_state_analysis","classified","02_cnv_expression_state_analysis\CNV_expression_joint_analysis_integrated_oc\figures\CNV_clone_signature_and_TF_activity_heatmap.png","59729","2026-07-08 12:56:10"
"02_cnv_expression_state_analysis","classified","02_cnv_expression_state_analysis\CNV_expression_joint_analysis_integrated_oc\figures\CNV_clone_top_marker_average_expression_heatmap.pdf","13798","2026-07-08 13:10:14"
"02_cnv_expression_state_analysis","classified","02_cnv_expression_state_analysis\CNV_expression_joint_analysis_integrated_oc\figures\CNV_clone_top_marker_average_expression_heatmap.png","83702","2026-07-08 13:10:14"
"02_cnv_expression_state_analysis","classified","02_cnv_expression_state_analysis\CNV_expression_joint_analysis_integrated_oc\figures\CNV_transcriptome_coupling_correlation_heatmap.pdf","9307","2026-07-08 13:13:08"
"02_cnv_expression_state_analysis","classified","02_cnv_expression_state_analysis\CNV_expression_joint_analysis_integrated_oc\figures\CNV_transcriptome_coupling_correlation_heatmap.png","58929","2026-07-08 13:13:08"
"02_cnv_expression_state_analysis","classified","02_cnv_expression_state_analysis\CNV_expression_joint_analysis_integrated_oc\figures\top_CNV_expression_dosage_gene_expression_by_subcluster.pdf","3448","2026-07-08 13:13:06"
