"Rel","Size","Modified"
"outputs\lr_group_pair_total_score_heatmap.png","145011","2026-07-07 19:41:09"
"outputs\lr_top_distinct_LR_pairs_involving_cnv_subclones.csv","32261","2026-07-07 19:41:53"
"outputs\lr_top_interactions_celltype_to_cnv_subclone.csv","1316769","2026-07-07 19:40:56"
"outputs\lr_top_interactions_cnv_subclone_to_celltype.csv","1383609","2026-07-07 19:40:53"
"outputs\lr_top_interactions_involving_cnv_subclones.csv","2876112","2026-07-07 19:40:50"
"outputs\lr_top_interactions_top50_per_group_pair.csv","13668742","2026-07-07 19:40:46"
"outputs\lr_top40_subclone_involving_pairs.pdf","6165","2026-07-07 19:41:12"
"outputs\lr_top40_subclone_involving_pairs.png","89681","2026-07-07 19:41:11"
"outputs\lr_top5000_interactions_global.csv","701642","2026-07-07 19:40:46"
"outputs\map_subtypes_and_run_lr_interactions.R","17942","2026-07-07 18:46:04"
"outputs\omnipath_ligrecextra_LR_pairs_used.csv","65271","2026-07-07 19:40:23"
"outputs\plot_infercnv_subclone_heatmap.R","4081","2026-07-06 19:25:14"
"outputs\run_cellchat_subclone_vs_tcelltype_template.R","2609","2026-07-06 13:37:41"
"outputs\summarize_distinct_lr.R","611","2026-07-07 0:00:25"
"scripts_and_installers\complete_c_to_d_config_migration_after_closing_codex.ps1","2399","2026-07-08 13:33:32"
"scripts_and_installers\install_liana_final_retry.R","2588","2026-07-08 22:59:27"
"scripts_and_installers\install_liana_from_local_zip.R","2101","2026-07-08 23:25:35"
"scripts_and_installers\install_liana_no_multiarch_retry.R","2175","2026-07-08 23:22:15"
"scripts_and_installers\install_liana_sessioninfo_retry.R","2397","2026-07-08 23:12:55"
"scripts_and_installers\install_plan_r_packages_d_drive.R","4276","2026-07-08 21:38:34"
"scripts_and_installers\install_plan_r_packages_final_patch.R","3398","2026-07-08 22:05:28"
"scripts_and_installers\install_r_package_dependencies_round2.R","4066","2026-07-08 19:43:26"
"scripts_and_installers\install_r_packages_round3_cran_libcurl.R","4139","2026-07-08 20:06:40"
"scripts_and_installers\install_r_packages_round4_binary_retry.R","2830","2026-07-08 21:37:08"
"scripts_and_installers\install_remaining_r_plan_packages.R","2891","2026-07-08 22:22:17"
"scripts_and_installers\install_remaining_r_plan_packages_round2.R","2732","2026-07-08 22:29:23"
"scripts_and_installers\install_requested_r_packages.R","2882","2026-07-08 19:37:30"
"scripts_and_installers\run_focused_LR_SPP1_ITGB1_CD44_figures.R","15331","2026-07-08 20:05:27"
"scripts_and_installers\run_new_package_focused_validation_checks.R","8431","2026-07-09 0:19:52"
"scripts_and_installers\run_sample_type_spp1_tam_itgb1_cd44_scores.R","10102","2026-07-09 7:19:07"
"scripts_and_installers\run_spp1_hypothesis_complete_bulk_validation.R","20570","2026-07-09 0:32:03"
"scripts_and_installers\run_spp1_itgb1_cd44_hypothesis_validation.R","25788","2026-07-08 19:16:35"
"work_without_rpkgs\build_seurat_visium_dirs.py","4629","2026-07-08 20:53:19"
"work_without_rpkgs\CNV_expression_joint_analysis_integrated_oc.txt","22424","2026-07-08 12:45:40"
"work_without_rpkgs\continue_cnv_expression_joint_analysis.R","7227","2026-07-08 13:11:48"
"work_without_rpkgs\extract_cnv_expression_docx_text.py","1520","2026-07-08 12:45:17"
"work_without_rpkgs\extract_docx_text.py","1513","2026-07-07 22:37:39"
"work_without_rpkgs\extract_seurat_v5_minimal.R","1495","2026-07-06 13:32:30"
"work_without_rpkgs\finalize_infercnv_subclone_and_tcell_metadata.R","6038","2026-07-06 13:35:47"
"work_without_rpkgs\geo_spatial_download_manifest.py","13618","2026-07-08 20:50:46"
"work_without_rpkgs\infercnv_integrated_oc_research_plan.txt","13721","2026-07-07 22:37:53"
"work_without_rpkgs\inspect_B_object_minimal.R","1172","2026-07-07 19:37:33"
"work_without_rpkgs\inspect_final_infercnv_obj.R","975","2026-07-08 12:48:19"
"work_without_rpkgs\inspect_infercnv_cellchat_inputs.R","1680","2026-07-06 13:20:17"
"work_without_rpkgs\inspect_infercnv_object_minimal.R","222","2026-07-06 13:36:20"
"work_without_rpkgs\inspect_integrated_oc_Bcells.R","1955","2026-07-07 18:28:50"
"work_without_rpkgs\inspect_integrated_oc_reductions.R","1208","2026-07-07 22:38:57"
"work_without_rpkgs\inspect_oc_objects_minimal.R","2719","2026-07-06 23:51:12"
"work_without_rpkgs\inspect_seurat_v5_layers.R","670","2026-07-06 13:30:00"
"work_without_rpkgs\knn_neighbor_enrichment_integrated_oc.py","5841","2026-07-07 22:45:36"
"work_without_rpkgs\make_infercnv_subclones.R","4064","2026-07-06 13:33:51"
"work_without_rpkgs\make_tme_only_knn_outputs.py","2367","2026-07-07 22:50:21"
"work_without_rpkgs\map_subtypes_and_run_lr_interactions.R","17942","2026-07-07 18:46:04"
"work_without_rpkgs\omnipath_ligrecextra.tsv","450392","2026-07-06 23:53:28"
"work_without_rpkgs\plan_analysis_prepare_integrated_oc.R","11585","2026-07-07 22:42:40"
"work_without_rpkgs\run_cnv_expression_joint_analysis.R","21554","2026-07-08 12:54:13"
"work_without_rpkgs\summarize_distinct_lr.R","611","2026-07-07 0:00:25"
"work_without_rpkgs\test_subclone_clustering_methods.R","1691","2026-07-06 13:34:48"
"work_without_rpkgs\write_cnv_expression_joint_report.py","8275","2026-07-08 13:15:51"
"work_without_rpkgs\write_plan_report.py","8735","2026-07-07 22:53:08"
