"source","relative","target","action","category"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\outputs\infercnv_cell_to_subclone_k5.csv","outputs\infercnv_cell_to_subclone_k5.csv","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\infercnv_cell_to_subclone_k5.csv; D:\OC_spatiogenomics\infercnv\02_cnv_expression_state_analysis\CNV_expression_joint_analysis_integrated_oc\source\infercnv_cell_to_subclone_k5.csv; D:\OC_spatiogenomics\infercnv\CNV_expression_joint_analysis_integrated_oc\source\infercnv_cell_to_subclone_k5.csv","kept_in_source_archive_duplicate_exists_in_main","duplicate"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\outputs\infercnv_subclone_cnv_regions_k5.csv","outputs\infercnv_subclone_cnv_regions_k5.csv","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\infercnv_subclone_cnv_regions_k5.csv; D:\OC_spatiogenomics\infercnv\02_cnv_expression_state_analysis\CNV_expression_joint_analysis_integrated_oc\source\infercnv_subclone_cnv_regions_k5.csv; D:\OC_spatiogenomics\infercnv\CNV_expression_joint_analysis_integrated_oc\source\infercnv_subclone_cnv_regions_k5.csv","kept_in_source_archive_duplicate_exists_in_main","duplicate"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\outputs\infercnv_subclone_cnv_regions_long.csv","outputs\infercnv_subclone_cnv_regions_long.csv","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\early_infercnv_subclone_outputs\infercnv_subclone_cnv_regions_long.csv","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\outputs\infercnv_subclone_cnv_state_summary.csv","outputs\infercnv_subclone_cnv_state_summary.csv","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\early_infercnv_subclone_outputs\infercnv_subclone_cnv_state_summary.csv","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\outputs\infercnv_subclone_cnv_state_summary_k5.csv","outputs\infercnv_subclone_cnv_state_summary_k5.csv","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\infercnv_subclone_cnv_state_summary_k5.csv","kept_in_source_archive_duplicate_exists_in_main","duplicate"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\outputs\infercnv_subclone_hclust.png","outputs\infercnv_subclone_hclust.png","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\early_infercnv_subclone_outputs\infercnv_subclone_hclust.png","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\outputs\infercnv_subclone_heatmap.pdf","outputs\infercnv_subclone_heatmap.pdf","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\infercnv_subclone_heatmap.pdf","kept_in_source_archive_duplicate_exists_in_main","duplicate"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\outputs\infercnv_subclone_heatmap.png","outputs\infercnv_subclone_heatmap.png","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\infercnv_subclone_heatmap.png","kept_in_source_archive_duplicate_exists_in_main","duplicate"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\outputs\infercnv_subclone_heatmap_cell_counts.csv","outputs\infercnv_subclone_heatmap_cell_counts.csv","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\early_infercnv_subclone_outputs\infercnv_subclone_heatmap_cell_counts.csv","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\outputs\infercnv_subcluster_to_4_7_subclone.csv","outputs\infercnv_subcluster_to_4_7_subclone.csv","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\early_infercnv_subclone_outputs\infercnv_subcluster_to_4_7_subclone.csv","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\outputs\infercnv_subcluster_to_subclone_k5.csv","outputs\infercnv_subcluster_to_subclone_k5.csv","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\infercnv_subcluster_to_subclone_k5.csv; D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\tables\infercnv_subcluster_to_subclone_k5.csv; D:\OC_spatiogenomics\infercnv\02_cnv_expression_state_analysis\CNV_expression_joint_analysis_integrated_oc\source\infercnv_subcluster_to_subclone_k5.csv; D:\OC_spatiogenomics\infercnv\CNV_expression_joint_analysis_integrated_oc\source\infercnv_subcluster_to_subclone_k5.csv; D:\OC_spatiogenomics\infercnv\integrated_oc_plan_analysis\tables\infercnv_subcluster_to_subclone_k5.csv","kept_in_source_archive_duplicate_exists_in_main","duplicate"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\outputs\integrated_oc_Bcell_subtypes_inferred_from_markers.csv","outputs\integrated_oc_Bcell_subtypes_inferred_from_markers.csv","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\tables\early_immune_subtype_mapping\integrated_oc_Bcell_subtypes_inferred_from_markers.csv","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\outputs\integrated_oc_Bcell_subtypes_mapped_from_integratedocBcells.csv","outputs\integrated_oc_Bcell_subtypes_mapped_from_integratedocBcells.csv","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\integrated_oc_Bcell_subtypes_mapped_from_integratedocBcells.csv","kept_in_source_archive_duplicate_exists_in_main","duplicate"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\outputs\integrated_oc_Bcells_marker_avg_by_full_cluster.csv","outputs\integrated_oc_Bcells_marker_avg_by_full_cluster.csv","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\tables\early_immune_subtype_mapping\integrated_oc_Bcells_marker_avg_by_full_cluster.csv","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\outputs\integrated_oc_Bcells_marker_pct_by_full_cluster.csv","outputs\integrated_oc_Bcells_marker_pct_by_full_cluster.csv","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\tables\early_immune_subtype_mapping\integrated_oc_Bcells_marker_pct_by_full_cluster.csv","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\outputs\integrated_oc_interaction_group_cell_counts.csv","outputs\integrated_oc_interaction_group_cell_counts.csv","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\integrated_oc_interaction_group_cell_counts.csv","kept_in_source_archive_duplicate_exists_in_main","duplicate"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\outputs\integrated_oc_mapping_summary.csv","outputs\integrated_oc_mapping_summary.csv","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\integrated_oc_mapping_summary.csv","kept_in_source_archive_duplicate_exists_in_main","duplicate"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\outputs\integrated_oc_metadata_with_cnv_TNK_myeloid_B_subtypes.csv","outputs\integrated_oc_metadata_with_cnv_TNK_myeloid_B_subtypes.csv","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\integrated_oc_metadata_with_cnv_TNK_myeloid_B_subtypes.csv; D:\OC_spatiogenomics\infercnv\02_cnv_expression_state_analysis\CNV_expression_joint_analysis_integrated_oc\source\integrated_oc_metadata_with_cnv_TNK_myeloid_B_subtypes.csv; D:\OC_spatiogenomics\infercnv\CNV_expression_joint_analysis_integrated_oc\source\integrated_oc_metadata_with_cnv_TNK_myeloid_B_subtypes.csv","kept_in_source_archive_duplicate_exists_in_main","duplicate"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\outputs\integratedocTcells_metadata_with_infercnv_match.csv","outputs\integratedocTcells_metadata_with_infercnv_match.csv","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\tables\early_immune_subtype_mapping\integratedocTcells_metadata_with_infercnv_match.csv","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\outputs\lr_cnv_subclone_celltype_directional_heatmaps.pdf","outputs\lr_cnv_subclone_celltype_directional_heatmaps.pdf","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\lr_cnv_subclone_celltype_directional_heatmaps.pdf","kept_in_source_archive_duplicate_exists_in_main","duplicate"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\outputs\lr_gene_average_expression_by_group.csv","outputs\lr_gene_average_expression_by_group.csv","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\early_lr_interaction_outputs\lr_gene_average_expression_by_group.csv","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\outputs\lr_gene_detection_fraction_by_group.csv","outputs\lr_gene_detection_fraction_by_group.csv","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\early_lr_interaction_outputs\lr_gene_detection_fraction_by_group.csv","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\outputs\lr_group_pair_summary_connectome_like.csv","outputs\lr_group_pair_summary_connectome_like.csv","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\lr_group_pair_summary_connectome_like.csv","kept_in_source_archive_duplicate_exists_in_main","duplicate"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\outputs\lr_group_pair_total_score_heatmap.pdf","outputs\lr_group_pair_total_score_heatmap.pdf","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\lr_group_pair_total_score_heatmap.pdf; D:\OC_spatiogenomics\infercnv\integrated_oc_plan_analysis\source_outputs\lr_group_pair_total_score_heatmap.pdf","kept_in_source_archive_duplicate_exists_in_main","duplicate"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\outputs\lr_group_pair_total_score_heatmap.png","outputs\lr_group_pair_total_score_heatmap.png","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\lr_group_pair_total_score_heatmap.png; D:\OC_spatiogenomics\infercnv\integrated_oc_plan_analysis\source_outputs\lr_group_pair_total_score_heatmap.png","kept_in_source_archive_duplicate_exists_in_main","duplicate"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\outputs\lr_top_distinct_LR_pairs_involving_cnv_subclones.csv","outputs\lr_top_distinct_LR_pairs_involving_cnv_subclones.csv","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\lr_top_distinct_LR_pairs_involving_cnv_subclones.csv; D:\OC_spatiogenomics\infercnv\02_cnv_expression_state_analysis\CNV_expression_joint_analysis_integrated_oc\source\lr_top_distinct_LR_pairs_involving_cnv_subclones.csv; D:\OC_spatiogenomics\infercnv\CNV_expression_joint_analysis_integrated_oc\source\lr_top_distinct_LR_pairs_involving_cnv_subclones.csv; D:\OC_spatiogenomics\infercnv\integrated_oc_plan_analysis\source_outputs\lr_top_distinct_LR_pairs_involving_cnv_subclones.csv","kept_in_source_archive_duplicate_exists_in_main","duplicate"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\outputs\lr_top_interactions_celltype_to_cnv_subclone.csv","outputs\lr_top_interactions_celltype_to_cnv_subclone.csv","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\lr_top_interactions_celltype_to_cnv_subclone.csv; D:\OC_spatiogenomics\infercnv\integrated_oc_plan_analysis\source_outputs\lr_top_interactions_celltype_to_cnv_subclone.csv","kept_in_source_archive_duplicate_exists_in_main","duplicate"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\outputs\lr_top_interactions_cnv_subclone_to_celltype.csv","outputs\lr_top_interactions_cnv_subclone_to_celltype.csv","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\lr_top_interactions_cnv_subclone_to_celltype.csv; D:\OC_spatiogenomics\infercnv\integrated_oc_plan_analysis\source_outputs\lr_top_interactions_cnv_subclone_to_celltype.csv","kept_in_source_archive_duplicate_exists_in_main","duplicate"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\outputs\lr_top_interactions_involving_cnv_subclones.csv","outputs\lr_top_interactions_involving_cnv_subclones.csv","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\lr_top_interactions_involving_cnv_subclones.csv; D:\OC_spatiogenomics\infercnv\integrated_oc_plan_analysis\source_outputs\lr_top_interactions_involving_cnv_subclones.csv","kept_in_source_archive_duplicate_exists_in_main","duplicate"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\outputs\lr_top_interactions_top50_per_group_pair.csv","outputs\lr_top_interactions_top50_per_group_pair.csv","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\early_lr_interaction_outputs\lr_top_interactions_top50_per_group_pair.csv","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\outputs\lr_top40_subclone_involving_pairs.pdf","outputs\lr_top40_subclone_involving_pairs.pdf","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\early_lr_interaction_outputs\lr_top40_subclone_involving_pairs.pdf","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\outputs\lr_top40_subclone_involving_pairs.png","outputs\lr_top40_subclone_involving_pairs.png","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\lr_top40_subclone_involving_pairs.png; D:\OC_spatiogenomics\infercnv\integrated_oc_plan_analysis\source_outputs\lr_top40_subclone_involving_pairs.png","kept_in_source_archive_duplicate_exists_in_main","duplicate"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\outputs\lr_top5000_interactions_global.csv","outputs\lr_top5000_interactions_global.csv","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\early_lr_interaction_outputs\lr_top5000_interactions_global.csv","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\outputs\map_subtypes_and_run_lr_interactions.R","outputs\map_subtypes_and_run_lr_interactions.R","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\map_subtypes_and_run_lr_interactions.R; D:\OC_spatiogenomics\infercnv\integrated_oc_plan_analysis\source_outputs\map_subtypes_and_run_lr_interactions.R","kept_in_source_archive_duplicate_exists_in_main","duplicate"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\outputs\omnipath_ligrecextra_LR_pairs_used.csv","outputs\omnipath_ligrecextra_LR_pairs_used.csv","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\early_lr_interaction_outputs\omnipath_ligrecextra_LR_pairs_used.csv","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\outputs\plot_infercnv_subclone_heatmap.R","outputs\plot_infercnv_subclone_heatmap.R","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\plot_infercnv_subclone_heatmap.R; D:\OC_spatiogenomics\infercnv\integrated_oc_plan_analysis\source_outputs\plot_infercnv_subclone_heatmap.R","kept_in_source_archive_duplicate_exists_in_main","duplicate"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\outputs\run_cellchat_subclone_vs_tcelltype_template.R","outputs\run_cellchat_subclone_vs_tcelltype_template.R","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\scripts_early_lr_and_cellchat\run_cellchat_subclone_vs_tcelltype_template.R","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\outputs\summarize_distinct_lr.R","outputs\summarize_distinct_lr.R","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\scripts_early_lr_and_cellchat\summarize_distinct_lr.R","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\scripts_and_installers\complete_c_to_d_config_migration_after_closing_codex.ps1","scripts_and_installers\complete_c_to_d_config_migration_after_closing_codex.ps1","D:\OC_spatiogenomics\infercnv\90_environment_install_logs\codex_2026-07-05_r_package_and_config_scripts\complete_c_to_d_config_migration_after_closing_codex.ps1","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\scripts_and_installers\install_liana_final_retry.R","scripts_and_installers\install_liana_final_retry.R","D:\OC_spatiogenomics\infercnv\90_environment_install_logs\codex_2026-07-05_r_package_and_config_scripts\install_liana_final_retry.R","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\scripts_and_installers\install_liana_from_local_zip.R","scripts_and_installers\install_liana_from_local_zip.R","D:\OC_spatiogenomics\infercnv\90_environment_install_logs\codex_2026-07-05_r_package_and_config_scripts\install_liana_from_local_zip.R","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\scripts_and_installers\install_liana_no_multiarch_retry.R","scripts_and_installers\install_liana_no_multiarch_retry.R","D:\OC_spatiogenomics\infercnv\90_environment_install_logs\codex_2026-07-05_r_package_and_config_scripts\install_liana_no_multiarch_retry.R","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\scripts_and_installers\install_liana_sessioninfo_retry.R","scripts_and_installers\install_liana_sessioninfo_retry.R","D:\OC_spatiogenomics\infercnv\90_environment_install_logs\codex_2026-07-05_r_package_and_config_scripts\install_liana_sessioninfo_retry.R","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\scripts_and_installers\install_plan_r_packages_d_drive.R","scripts_and_installers\install_plan_r_packages_d_drive.R","D:\OC_spatiogenomics\infercnv\90_environment_install_logs\codex_2026-07-05_r_package_and_config_scripts\install_plan_r_packages_d_drive.R","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\scripts_and_installers\install_plan_r_packages_final_patch.R","scripts_and_installers\install_plan_r_packages_final_patch.R","D:\OC_spatiogenomics\infercnv\90_environment_install_logs\codex_2026-07-05_r_package_and_config_scripts\install_plan_r_packages_final_patch.R","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\scripts_and_installers\install_r_package_dependencies_round2.R","scripts_and_installers\install_r_package_dependencies_round2.R","D:\OC_spatiogenomics\infercnv\90_environment_install_logs\codex_2026-07-05_r_package_and_config_scripts\install_r_package_dependencies_round2.R","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\scripts_and_installers\install_r_packages_round3_cran_libcurl.R","scripts_and_installers\install_r_packages_round3_cran_libcurl.R","D:\OC_spatiogenomics\infercnv\90_environment_install_logs\codex_2026-07-05_r_package_and_config_scripts\install_r_packages_round3_cran_libcurl.R","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\scripts_and_installers\install_r_packages_round4_binary_retry.R","scripts_and_installers\install_r_packages_round4_binary_retry.R","D:\OC_spatiogenomics\infercnv\90_environment_install_logs\codex_2026-07-05_r_package_and_config_scripts\install_r_packages_round4_binary_retry.R","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\scripts_and_installers\install_remaining_r_plan_packages.R","scripts_and_installers\install_remaining_r_plan_packages.R","D:\OC_spatiogenomics\infercnv\90_environment_install_logs\codex_2026-07-05_r_package_and_config_scripts\install_remaining_r_plan_packages.R","moved_to_classified_main_directory","promoted_unique_2026_07_05"
