dataset_id,cluster,final_cell_type,cell_state,annotation_status,annotation_confidence,n_cells,n_samples,n_patients,dominant_patient,dominant_patient_fraction,dominant_sample,dominant_sample_fraction,patient_enriched,platform_confounded,suggested_cell_type,canonical_support_n,high_specific_support_n,canonical_markers_present,second_candidate,incompatible_lineage_program,n_significant_markers,manual_cell_type,manual_cell_subtype,manual_confidence,manual_notes,initial_cell_type,dominant_platform,dominant_platform_fraction
"GSE154600","Fibroblast__A_uncorrected__4","Fibroblast","None","READY_HIGH_CONFIDENCE","High",248,5,5,"T76",0.701612903225807,"T76",0.701612903225807,FALSE,NA,"Fibroblast",7,4,"COL6A2;DCN;COL3A1;COL1A2;COL1A1;CTHRC1;LUM",NA,FALSE,48,"","","","","Fibroblast",NA,NA
"GSE154600","Fibroblast__A_uncorrected__5","Fibroblast","IFN_response;Stress_response","READY_HIGH_CONFIDENCE","High",56,3,3,"T89",0.589285714285714,"T89",0.589285714285714,FALSE,NA,"Fibroblast",7,3,"PDGFRA;COL3A1;COL6A2;DCN;COL1A1;COL1A2;COL6A1",NA,FALSE,453,"","","","","Fibroblast",NA,NA
"GSE154600","Macrophage__B_harmony_sample__0","Macrophage","Hypoxia;SPP1_high;C1QC_high;FOLR2_high","READY_HIGH_CONFIDENCE","High",984,5,5,"T76",0.790650406504065,"T76",0.790650406504065,FALSE,NA,"Macrophage",11,4,"MS4A7;FCGR1A;TREM2;SPP1;CD68;LST1;C1QA;C1QC;C1QB;CTSD;APOE","Monocyte",FALSE,546,"","","","","Macrophage",NA,NA
"GSE154600","Macrophage__B_harmony_sample__1","Macrophage","SPP1_high;C1QC_high","READY_HIGH_CONFIDENCE","High",972,5,5,"T59",0.636831275720165,"T59",0.636831275720165,FALSE,NA,"Macrophage",10,4,"CD68;TREM2;APOE;SPP1;C1QA;C1QC;C1QB;LST1;MS4A7;CTSD","Monocyte",FALSE,124,"","","","","Macrophage",NA,NA
"GSE154600","Macrophage__B_harmony_sample__2","Macrophage","IFN_response;SPP1_high;C1QC_high","REVIEW_PATIENT_ENRICHED","Review",916,5,5,"T59",0.938864628820961,"T59",0.938864628820961,TRUE,NA,"Macrophage",11,4,"FCGR1A;TREM2;SPP1;C1QC;MS4A7;C1QB;C1QA;LST1;CD68;APOE;CTSD","Monocyte",FALSE,906,"","","","","Macrophage",NA,NA
"GSE154600","Macrophage__B_harmony_sample__3","Macrophage","IFN_response;Stress_response;SPP1_high;C1QC_high;FOLR2_high","READY_HIGH_CONFIDENCE","High",848,5,5,"T59",0.53183962264151,"T59",0.53183962264151,FALSE,NA,"Macrophage",11,4,"C1QC;C1QB;C1QA;APOE;MS4A7;FCGR1A;TREM2;CD68;LST1;CTSD;SPP1","Monocyte",FALSE,595,"","","","","Macrophage",NA,NA
"GSE154600","Macrophage__B_harmony_sample__4","Macrophage","Hypoxia;SPP1_high;C1QC_high","READY_HIGH_CONFIDENCE","High",408,5,5,"T59",0.602941176470588,"T59",0.602941176470588,FALSE,NA,"Macrophage",11,4,"SPP1;APOE;TREM2;CD68;CTSD;FCGR1A;C1QC;C1QA;C1QB;LST1;MS4A7","Monocyte",FALSE,606,"","","","","Macrophage",NA,NA
"GSE154600","Macrophage__B_harmony_sample__5","Macrophage","Cycling;IFN_response;Hypoxia;SPP1_high;C1QC_high","REVIEW_PATIENT_ENRICHED","Review",275,5,5,"T59",0.923636363636364,"T59",0.923636363636364,TRUE,NA,"Macrophage",11,4,"SPP1;TREM2;FCGR1A;MS4A7;C1QC;C1QB;C1QA;CD68;APOE;CTSD;LST1","Monocyte",FALSE,1251,"","","","","Macrophage",NA,NA
"GSE154600","Macrophage__B_harmony_sample__6","Macrophage","IFN_response;SPP1_high;C1QC_high;FOLR2_high","REVIEW_PATIENT_ENRICHED","Review",241,5,5,"T59",0.813278008298755,"T59",0.813278008298755,TRUE,NA,"Macrophage",11,4,"C1QC;C1QB;C1QA;APOE;TREM2;FCGR1A;CD68;LST1;MS4A7;CTSD;SPP1","Monocyte",FALSE,332,"","","","","Macrophage",NA,NA
"GSE154600","Macrophage__B_harmony_sample__7","Macrophage","SPP1_high;C1QC_high","READY_HIGH_CONFIDENCE","High",110,5,5,"T76",0.790909090909091,"T76",0.790909090909091,FALSE,NA,"Macrophage",4,3,"SPP1;C1QB;C1QA;C1QC","Monocyte",FALSE,44,"","","","","Macrophage",NA,NA
"GSE154600","Mast__broad_type_only__1","Mast","None","READY_HIGH_CONFIDENCE","High",38,4,4,"T76",0.526315789473684,"T76",0.526315789473684,FALSE,NA,"Mast",6,5,"TPSB2;TPSAB1;CPA3;HDC;MS4A2;HPGDS",NA,FALSE,43,"","","","","Mast",NA,NA
"GSE154600","Monocyte__B_harmony_sample__0","Monocyte","Hypoxia;SPP1_high","READY_HIGH_CONFIDENCE","High",266,5,5,"T76",0.654135338345865,"T76",0.654135338345865,FALSE,NA,"Monocyte",10,4,"FCN1;LYZ;S100A8;TYROBP;S100A9;CTSS;FCER1G;SAT1;VCAN;LGALS3","Macrophage",FALSE,537,"","","","","Monocyte",NA,NA
"GSE154600","Monocyte__B_harmony_sample__1","Monocyte","SPP1_high","READY_HIGH_CONFIDENCE","High",240,5,5,"T59",0.7125,"T59",0.7125,FALSE,NA,"Monocyte",9,4,"FCN1;S100A8;S100A9;LYZ;VCAN;FCER1G;CTSS;TYROBP;SAT1","Macrophage",FALSE,200,"","","","","Monocyte",NA,NA
"GSE154600","Monocyte__B_harmony_sample__2","Monocyte","None","READY_HIGH_CONFIDENCE","High",114,5,5,"T89",0.37719298245614,"T89",0.37719298245614,FALSE,NA,"Monocyte",9,4,"S100A8;S100A9;FCN1;LYZ;CTSS;TYROBP;FCER1G;VCAN;SAT1","Macrophage",FALSE,498,"","","","","Monocyte",NA,NA
"GSE154600","Monocyte__B_harmony_sample__3","Monocyte","None","READY_HIGH_CONFIDENCE","High",18,4,4,"T76",0.833333333333333,"T76",0.833333333333333,FALSE,NA,"Monocyte",10,4,"LYZ;FCN1;LILRB1;S100A9;TYROBP;FCER1G;S100A8;CTSS;SAT1;VCAN","Macrophage",FALSE,192,"","","","","Monocyte",NA,NA
"GSE154600","NK_cell__B_harmony_sample__0","NK_cell","None","REVIEW_PATIENT_ENRICHED","Review",315,4,4,"T59",0.926984126984127,"T59",0.926984126984127,TRUE,NA,"NK_cell",9,5,"KLRC1;KLRF1;KLRD1;XCL1;GNLY;XCL2;PRF1;CTSW;NKG7",NA,FALSE,140,"","","","","NK_cell",NA,NA
"GSE154600","NK_cell__B_harmony_sample__1","NK_cell","None","READY_HIGH_CONFIDENCE","High",298,5,5,"T76",0.728187919463087,"T76",0.728187919463087,FALSE,NA,"NK_cell",8,3,"FGFBP2;KLRF1;GNLY;KLRD1;PRF1;NKG7;CTSW;FCGR3A",NA,FALSE,101,"","","","","NK_cell",NA,NA
"GSE154600","NK_cell__B_harmony_sample__2","NK_cell","None","READY_HIGH_CONFIDENCE","High",133,5,5,"T89",0.533834586466166,"T89",0.533834586466166,FALSE,NA,"NK_cell",9,5,"XCL1;KLRC1;XCL2;GNLY;KLRD1;KLRF1;CTSW;NKG7;PRF1",NA,FALSE,179,"","","","","NK_cell",NA,NA
"GSE154600","NK_cell__B_harmony_sample__3","NK_cell","None","REVIEW_PATIENT_ENRICHED","Review",112,3,3,"T59",0.982142857142857,"T59",0.982142857142857,TRUE,NA,"NK_cell",8,3,"KLRF1;FGFBP2;PRF1;KLRD1;GNLY;NKG7;CTSW;FCGR3A",NA,FALSE,76,"","","","","NK_cell",NA,NA
"GSE154600","NK_cell__B_harmony_sample__4","NK_cell","None","READY_HIGH_CONFIDENCE","High",108,4,4,"T76",0.564814814814815,"T76",0.564814814814815,FALSE,NA,"NK_cell",8,3,"FGFBP2;GNLY;KLRF1;PRF1;KLRD1;NKG7;CTSW;FCGR3A","T_cell",FALSE,140,"","","","","NK_cell",NA,NA
"GSE154600","Pericyte__broad_type_only__1","Pericyte","None","READY_HIGH_CONFIDENCE","High",11,3,3,"T89",0.636363636363636,"T89",0.636363636363636,FALSE,NA,"Pericyte",6,3,"MYH11;KCNJ8;RGS5;NOTCH3;PDGFRB;MCAM",NA,FALSE,163,"","","","","Pericyte",NA,NA
"GSE154600","Plasma_cell__B_harmony_sample__0","Plasma_cell","None","READY_HIGH_CONFIDENCE","High",500,5,5,"T77",0.474,"T77",0.474,FALSE,NA,"Plasma_cell",10,3,"IGHG3;IGHG2;IGHG1;JCHAIN;MZB1;DERL3;FKBP11;SSR4;XBP1;PRDX4",NA,FALSE,16,"","","","","Plasma_cell",NA,NA
"GSE154600","Plasma_cell__B_harmony_sample__1","Plasma_cell","None","READY_HIGH_CONFIDENCE","High",306,5,5,"T76",0.441176470588235,"T76",0.441176470588235,FALSE,NA,"Plasma_cell",11,3,"JCHAIN;IGHG1;IGHG2;IGHG3;MZB1;DERL3;XBP1;FKBP11;SSR4;IGHA1;PRDX4",NA,FALSE,38,"","","","","Plasma_cell",NA,NA
"GSE154600","Plasma_cell__B_harmony_sample__2","Plasma_cell","None","REVIEW_PATIENT_ENRICHED","Review",125,5,5,"T76",0.8,"T76",0.8,TRUE,NA,"Plasma_cell",10,3,"IGHA1;IGHG1;DERL3;JCHAIN;IGHG3;IGHG2;MZB1;FKBP11;SSR4;PRDX4",NA,FALSE,18,"","","","","Plasma_cell",NA,NA
"GSE154600","Plasma_cell__B_harmony_sample__3","Plasma_cell","None","REVIEW_PATIENT_ENRICHED","Review",41,3,3,"T76",0.902439024390244,"T76",0.902439024390244,TRUE,NA,"Plasma_cell",11,3,"IGHA1;IGHG1;IGHG3;IGHG2;DERL3;JCHAIN;MZB1;SSR4;FKBP11;PRDX4;XBP1",NA,FALSE,24,"","","","","Plasma_cell",NA,NA
"GSE154600","Plasma_cell__B_harmony_sample__4","Plasma_cell","None","REVIEW_PATIENT_ENRICHED","Review",36,3,3,"T77",0.805555555555556,"T77",0.805555555555556,TRUE,NA,"Plasma_cell",10,3,"IGHG1;IGHG2;IGHG3;DERL3;MZB1;JCHAIN;FKBP11;XBP1;SSR4;PRDX4",NA,FALSE,26,"","","","","Plasma_cell",NA,NA
"GSE154600","Plasma_cell__B_harmony_sample__5","Plasma_cell","None","READY_HIGH_CONFIDENCE","High",28,5,5,"T77",0.714285714285714,"T77",0.714285714285714,FALSE,NA,"Plasma_cell",9,3,"MZB1;IGHG1;JCHAIN;IGHG3;IGHG2;DERL3;FKBP11;XBP1;SSR4",NA,FALSE,19,"","","","","Plasma_cell",NA,NA
"GSE154600","T_cell__B_harmony_sample__0","T_cell","None","REVIEW_PATIENT_ENRICHED","Review",3534,5,5,"T76",0.811544991511036,"T76",0.811544991511036,TRUE,NA,"T_cell",7,5,"CD3D;CD3G;TRBC2;CD3E;TRBC1;CD2;LCK",NA,FALSE,162,"","","","","T_cell",NA,NA
"GSE154600","T_cell__B_harmony_sample__1","T_cell","None","READY_HIGH_CONFIDENCE","High",1588,5,5,"T90",0.375944584382872,"T90",0.375944584382872,FALSE,NA,"T_cell",10,5,"IL7R;CD3E;LTB;GIMAP7;CD3G;CD3D;CD2;TRBC2;TRBC1;LCK",NA,FALSE,347,"","","","","T_cell",NA,NA
"GSE154600","T_cell__B_harmony_sample__10","T_cell","Cycling;IFN_response","READY_HIGH_CONFIDENCE","High",141,5,5,"T59",0.581560283687943,"T59",0.581560283687943,FALSE,NA,"T_cell",9,5,"LCK;TRBC2;CD247;CD3G;LTB;CD2;CD3D;CD3E;TRBC1","NK_cell",FALSE,850,"","","","","T_cell",NA,NA
"GSE154600","T_cell__B_harmony_sample__2","T_cell","None","READY_HIGH_CONFIDENCE","High",1551,5,5,"T89",0.448098001289491,"T89",0.448098001289491,FALSE,NA,"T_cell",9,5,"CD3E;IL7R;CD3G;TRBC2;CD3D;TRBC1;LCK;CD2;CD247","NK_cell",FALSE,401,"","","","","T_cell",NA,NA
"GSE154600","T_cell__B_harmony_sample__3","T_cell","None","REVIEW_PATIENT_ENRICHED","Review",1429,5,5,"T59",0.972708187543737,"T59",0.972708187543737,TRUE,NA,"T_cell",9,5,"IL7R;LTB;LCK;CD3G;CD2;TRBC1;CD3E;TRBC2;CD3D",NA,FALSE,194,"","","","","T_cell",NA,NA
"GSE154600","T_cell__B_harmony_sample__4","T_cell","IFN_response","READY_HIGH_CONFIDENCE","High",1239,5,5,"T59",0.359160613397902,"T59",0.359160613397902,FALSE,NA,"T_cell",10,5,"LTB;TRBC1;CD2;LCK;TRBC2;CD3D;CD247;CD3E;CD3G;IL7R",NA,FALSE,338,"","","","","T_cell",NA,NA
"GSE154600","T_cell__B_harmony_sample__5","T_cell","None","READY_HIGH_CONFIDENCE","High",1129,5,5,"T76",0.54295837023915,"T76",0.54295837023915,FALSE,NA,"T_cell",5,3,"CD2;LTB;CD3E;TRBC1;CD3D",NA,FALSE,50,"","","","","T_cell",NA,NA
"GSE154600","T_cell__B_harmony_sample__6","T_cell","None","READY_HIGH_CONFIDENCE","High",541,5,5,"T77",0.621072088724584,"T77",0.621072088724584,FALSE,NA,"T_cell",9,5,"CD3D;TRBC2;CD2;CD3E;CD247;TRBC1;LCK;CD3G;GIMAP7","NK_cell",FALSE,337,"","","","","T_cell",NA,NA
"GSE154600","T_cell__B_harmony_sample__7","T_cell","None","READY_HIGH_CONFIDENCE","High",367,5,5,"T77",0.400544959128065,"T77",0.400544959128065,FALSE,NA,"T_cell",11,5,"CD2;TRBC1;IL7R;CD247;TRBC2;LCK;CD3D;CD3G;LTB;GIMAP7;CD3E",NA,FALSE,274,"","","","","T_cell",NA,NA
"GSE154600","T_cell__B_harmony_sample__8","T_cell","IFN_response","READY_HIGH_CONFIDENCE","High",360,5,5,"T59",0.352777777777778,"T59",0.352777777777778,FALSE,NA,"T_cell",11,5,"GIMAP7;CD2;CD3G;LCK;CD247;TRBC2;CD3E;TRBC1;IL7R;CD3D;LTB",NA,FALSE,212,"","","","","T_cell",NA,NA
"GSE154600","T_cell__B_harmony_sample__9","T_cell","Stress_response","READY_HIGH_CONFIDENCE","High",282,4,4,"T77",0.613475177304965,"T77",0.613475177304965,FALSE,NA,"T_cell",9,5,"GIMAP7;LCK;CD2;TRBC1;TRBC2;CD3E;CD3D;CD3G;LTB",NA,FALSE,102,"","","","","T_cell",NA,NA
"GSE154600","Unresolved__A_uncorrected__0","Unresolved","Stress_response","REVIEW_MIXED_OR_DOUBLET","Review",323,5,5,"T76",0.894736842105263,"T76",0.894736842105263,TRUE,NA,"Mixed_or_doublet",10,4,"POSTN;LUM;DCN;CTHRC1;COL3A1;FAP;COL1A2;COL1A1;COL6A2;COL6A1","Plasma_cell",TRUE,974,"","","","","Unresolved",NA,NA
"GSE154600","Unresolved__A_uncorrected__1","Unresolved","Stress_response","REVIEW_MIXED_OR_DOUBLET","Review",312,4,4,"T76",0.977564102564103,"T76",0.977564102564103,TRUE,NA,"Mixed_or_doublet",9,4,"ABCC9;KCNJ8;RGS5;CSPG4;PDGFRB;NOTCH3;MCAM;ACTA2;RBP1","Fibroblast",TRUE,872,"","","","","Unresolved",NA,NA
"GSE154600","Unresolved__A_uncorrected__2","Unresolved","IFN_response;Stress_response","REVIEW_MIXED_OR_DOUBLET","Review",167,5,5,"T59",0.413173652694611,"T59",0.413173652694611,FALSE,NA,"Mixed_or_doublet",8,3,"RGS5;MYH11;KCNJ8;ABCC9;PDGFRB;NOTCH3;MCAM;ACTA2","Fibroblast",TRUE,711,"","","","","Unresolved",NA,NA
"GSE154600","Unresolved__A_uncorrected__3","Unresolved","None","REVIEW_AMBIGUOUS","Review",111,5,5,"T59",0.423423423423423,"T59",0.423423423423423,FALSE,NA,"Unresolved",0,0,"",NA,FALSE,9,"","","","","Unresolved",NA,NA
"GSE154600","Unresolved__A_uncorrected__4","Unresolved","IFN_response","REVIEW_MIXED_OR_DOUBLET","Review",91,5,5,"T59",0.714285714285714,"T59",0.714285714285714,FALSE,NA,"Mixed_or_doublet",6,4,"CLEC4C;LILRA4;IL3RA;GZMB;TCF4;SERPINF1","Plasma_cell",TRUE,369,"","","","","Unresolved",NA,NA
"GSE154600","Unresolved__A_uncorrected__5","Unresolved","None","REVIEW_PATIENT_ENRICHED","Review",76,2,2,"T76",0.842105263157895,"T76",0.842105263157895,TRUE,NA,"Unresolved",1,1,"WFDC2",NA,FALSE,14,"","","","","Unresolved",NA,NA
"GSE154600","Unresolved__A_uncorrected__6","Unresolved","Hypoxia","REVIEW_PATIENT_ENRICHED","Review",30,2,2,"T76",0.966666666666667,"T76",0.966666666666667,TRUE,NA,"Unresolved",1,0,"KRT19",NA,FALSE,164,"","","","","Unresolved",NA,NA
"GSE154600","cDC1__broad_type_only__1","cDC1","None","REVIEW_PATIENT_ENRICHED","Review",34,4,4,"T59",0.852941176470588,"T59",0.852941176470588,TRUE,NA,"cDC1",6,4,"XCR1;CLEC9A;BATF3;IRF8;CST3;CADM1",NA,FALSE,336,"","","","","cDC1",NA,NA
"GSE154600","cDC2__A_uncorrected__0","cDC2","IFN_response","REVIEW_PATIENT_ENRICHED","Review",208,2,2,"T59",0.975961538461539,"T59",0.975961538461539,TRUE,NA,"cDC2",6,4,"CD1E;CD1C;FCER1A;CLEC10A;HLA-DRA;CST3","Monocyte",FALSE,769,"","","","","cDC2",NA,NA
"GSE154600","cDC2__A_uncorrected__1","cDC2","None","READY_HIGH_CONFIDENCE","High",74,4,4,"T76",0.581081081081081,"T76",0.581081081081081,FALSE,NA,"cDC2",6,4,"FCER1A;CD1E;CD1C;CLEC10A;HLA-DRA;CST3","Monocyte",FALSE,424,"","","","","cDC2",NA,NA
"GSE154600","pDC__broad_type_only__1","pDC","None","READY_HIGH_CONFIDENCE","High",17,2,2,"T59",0.588235294117647,"T59",0.588235294117647,FALSE,NA,"pDC",6,4,"LILRA4;CLEC4C;IL3RA;GZMB;TCF4;SERPINF1",NA,FALSE,148,"","","","","pDC",NA,NA
