dataset_id,cluster,final_cell_type,cell_subtype,cell_state,annotation_status,annotation_confidence,n_cells,n_samples,dominant_sample,dominant_sample_fraction,sample_entropy,patient_enriched,canonical_markers,top20_markers,canonical_support_n,high_specific_support_n,second_candidate,incompatible_lineage_program,n_significant_markers,notes
"GSE147082",18,"Mast",NA,"None","READY_HIGH_CONFIDENCE","High",33,3,"PT-3401",0.787878787878788,0.336958152986683,FALSE,"TPSB2;CPA3;MS4A2;TPSAB1;HPGDS;HDC;KIT","TPSD1;CTSG;AL662860.1;CMA1;ADCYAP1;TPSB2;CPA3;MS4A2;AC092979.1;TPSAB1;HPGDS;AL132800.1;HDC;LINC01835;KIT;AL606804.1;KRT1;SLC18A2;HPGD;GATA2",7,5,NA,FALSE,190,"New clustering from repaired mitochondrial-QC cells; old cluster IDs were not used for annotation."
"GSE147082",19,"Unresolved",NA,"None","UNRESOLVED","Unresolved",26,2,"PT-3401",0.961538461538461,0.090985219999759,TRUE,"MRC1","ZNF705G;LRRC3B;LINC02067;AL139275.2;LINC02031;AL845552.1;OFD1P13Y;NXPH1;LINC02549;WNT7B;PRYP2;AC105180.1;LINC00536;AC080129.1;DPPA4;AC106892.1;HS6ST3;DLX2.AS1;AK5;AC092131.1",1,1,NA,FALSE,453,"New clustering from repaired mitochondrial-QC cells; old cluster IDs were not used for annotation."
"GSE147082",2,"Macrophage",NA,"Stress_response;SPP1_high;C1QC_high","READY_HIGH_CONFIDENCE","High",595,6,"PT-3401",0.359663865546219,0.816337941755087,FALSE,"TREM2;C1QB;C1QC;C1QA;SPP1;MS4A7;APOE;CTSD","OLR1;AC020656.1;LYZ;TMEM52B;TREM2;FPR1;SDS;LILRB2;VMO1;TLR2;CD163;C1QB;C1QC;C1QA;FPR3;IL1B;CLEC7A;CD86;SPP1;MS4A6A",8,4,"Monocyte",FALSE,632,"New clustering from repaired mitochondrial-QC cells; old cluster IDs were not used for annotation."
"GSE147082",3,"Epithelial",NA,"Cycling;IFN_response;Hypoxia","REVIEW_PATIENT_ENRICHED","Review",577,2,"PT-3232",0.998266897746967,0.00711612832997806,TRUE,"CLDN3;EPCAM;KRT7;CLDN4;MUC1;KRT19;WFDC2;PAX8;KRT18","MIR4426;S100A14;FAM71E1;FOLR3;MIR3654;CDKN2A;PNOC;MMP7;AC112491.1;AXDND1;SLC39A4;AC026785.2;IRX3;PRSS21;CYC1;MT1G;AL355472.3;BIK;NDP;BTNL9",9,3,NA,FALSE,1506,"New clustering from repaired mitochondrial-QC cells; old cluster IDs were not used for annotation."
"GSE147082",4,"Mesenchymal_stromal_candidate","Mesenchymal_stromal_candidate","Stress_response","REVIEW_PATIENT_ENRICHED","Review",507,3,"PT-2834",0.994082840236686,0.0223358133277024,TRUE,"CADM1;CST3","ATP1A2;SULT1C4;IL13RA2;CYYR1;SIX1;GNAL;FBN2;LMO3;ESRRG;KAZALD1;SERTAD4.AS1;LGR6;SCG5;CLU;SPAG17;CCDC173;MAP1B;MATN2;LIMCH1;ID1",2,1,NA,FALSE,560,"New clustering from repaired mitochondrial-QC cells; old cluster IDs were not used for annotation. Targeted CNV-equivalent and lineage-module review."
"GSE147082",5,"T_cell",NA,"None","READY_HIGH_CONFIDENCE","High",506,6,"PT-3401",0.626482213438735,0.563339909066467,FALSE,"IL7R;ITK;BCL11B;CD3E;TRBC2;CD247;CD3D;CD2;CD3G;LCK","IL7R;ICOS;ITK;CTLA4;TCF7;AC245427.1;BCL11B;CAMK4;TRAC;ZNF831;CD3E;TRBC2;BATF;CD247;CD3D;CD2;PDE3B;CCR7;TIGIT;AC092821.3",10,4,NA,FALSE,361,"New clustering from repaired mitochondrial-QC cells; old cluster IDs were not used for annotation."
"GSE147082",6,"CD8_effector_T;Cycling_CD8_effector_T;Gamma_delta_T","CD8_effector_T;Cycling_CD8_effector_T;Gamma_delta_T","None","REVIEW_AMBIGUOUS","Review",470,6,"PT-3401",0.546808510638298,0.639568837512989,FALSE,"CD3G;CD3D;CD2;CD3E;TRBC2;CD247;LCK;BCL11B","GNLY;GZMH;NKG7;GZMA;AC022075.1;GZMK;IFNG;AC034238.1;CD8A;AC015849.1;CCL5;LINC01871;KLRD1;PRF1;AC244502.1;AL136018.1;GZMB;SAMD3;CCL4;TRG.AS1",8,4,"NK_cell",FALSE,343,"New clustering from repaired mitochondrial-QC cells; old cluster IDs were not used for annotation. Cluster 6 was subclustered; use refined cell assignments."
"GSE147082",7,"COL2A1_positive_chondrocyte_like_fibroblast_candidate","COL2A1_positive_chondrocyte_like_fibroblast_candidate","Stress_response","REVIEW_PATIENT_ENRICHED","Review",426,1,"PT-2834",1,0,TRUE,"CST3;CADM1","COL2A1;CHAD;AC079145.1;MATN3;C2orf82;COL9A1;RBP4;CYTL1;HAPLN1;FFAR4;ACAN;COL11A2;PENK;AC135895.1;MATN4;MSMP;MATN1;WIF1;SCRG1;ITGA10",2,1,NA,FALSE,731,"New clustering from repaired mitochondrial-QC cells; old cluster IDs were not used for annotation. Targeted CNV-equivalent and lineage-module review."
"GSE147082",8,"Fibroblast",NA,"Stress_response","REVIEW_PATIENT_ENRICHED","Review",387,4,"PT-2834",0.989664082687339,0.0381111119382883,TRUE,"COL3A1;COL6A1;COL6A2;POSTN;DCN;CTHRC1;LUM;COL1A2;COL1A1","F2RL2;TWIST2;CH25H;APCDD1;COL15A1;COL6A6;AC034206.1;CXCL14;PTN;DPT;ABCA6;APOD;CTSK;TSHZ3;NID1;TWIST1;PLAC9;ASPN;PTGS2;SNAI2",9,4,NA,FALSE,574,"New clustering from repaired mitochondrial-QC cells; old cluster IDs were not used for annotation."
"GSE147082",9,"Epithelial",NA,"Stress_response","REVIEW_PATIENT_ENRICHED","Review",371,4,"PT-4806",0.991913746630728,0.0311946893336599,TRUE,"MSLN;KRT8;PAX8;CLDN4;WFDC2;EPCAM;KRT18;CLDN3","FAM159B;BEX1;LRP4;CPNE4;RMST;AC243773.2;LRP4.AS1;AC069120.1;XKR4;PTPRQ;FGF13;EPHA6;LRRTM4;IL1RAPL2;FGFR2;DPP6;AC010099.4;PART1;CLVS1;AC112206.2",8,3,NA,FALSE,626,"New clustering from repaired mitochondrial-QC cells; old cluster IDs were not used for annotation."
