dataset_id,dataset_role,patient_id,sample_id,state,n_macrophages,evaluable,state_program_median_percentile,relative_enrichment
"GSE158722","malignant_fluid_tumor_ecosystem","P11","P11_Pre-treatment","SPP1",2,FALSE,0.275862068965517,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P15","P15_Pre-treatment","SPP1",6,FALSE,0.413793103448276,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P17","P17_Pre-treatment","SPP1",10,FALSE,0.859605911330049,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P18","P18_Post-treatment","SPP1",1,FALSE,0.773399014778325,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P19","P19_Post-treatment","SPP1",2,FALSE,0.751231527093596,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P20","P20_Post-treatment","SPP1",1,FALSE,0.497536945812808,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P23","P23_Post-treatment","SPP1",19,FALSE,0.596059113300493,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P24","P24_Post-treatment","SPP1",1,FALSE,0.310344827586207,"NOT_EVALUABLE"
"GSE154763","author_annotated_myeloid_reference","P20181225","OV-P20181225-T","SPP1",2908,TRUE,0.491610738255034,"NOT_RELATIVELY_ENRICHED"
"GSE154763","author_annotated_myeloid_reference","P20190304","OV-P20190304-T","SPP1",245,TRUE,0.779743746186699,"RELATIVELY_ENRICHED"
"GSE154763","author_annotated_myeloid_reference","P20190304","OV-P20190304-N","SPP1",125,TRUE,0.0442342892007322,"NOT_RELATIVELY_ENRICHED"
"GSE147082","tumor_sensitivity_validation","PT-3232","PT-3232","C1QC",100,TRUE,0.652941176470588,"RELATIVELY_ENRICHED"
"GSE147082","tumor_sensitivity_validation","PT-5150","PT-5150","C1QC",101,TRUE,0.492436974789916,"NOT_RELATIVELY_ENRICHED"
"GSE147082","tumor_sensitivity_validation","PT-6885","PT-6885","C1QC",159,TRUE,0.354621848739496,"NOT_RELATIVELY_ENRICHED"
"GSE147082","tumor_sensitivity_validation","PT-4806","PT-4806","C1QC",8,FALSE,0.37563025210084,"NOT_EVALUABLE"
"GSE147082","tumor_sensitivity_validation","PT-3401","PT-3401","C1QC",214,TRUE,0.65546218487395,"RELATIVELY_ENRICHED"
"GSE147082","tumor_sensitivity_validation","PT-2834","PT-2834","C1QC",13,FALSE,0.473949579831933,"NOT_EVALUABLE"
"GSE151214","normal_fallopian_tube_reference","FT01","FT01","C1QC",46,TRUE,0.525,"NOT_RELATIVELY_ENRICHED"
"GSE151214","normal_fallopian_tube_reference","FT5414","FT5414","C1QC",136,TRUE,0.628571428571429,"RELATIVELY_ENRICHED"
"GSE151214","normal_fallopian_tube_reference","FT03","FT03","C1QC",122,TRUE,0.371428571428571,"NOT_RELATIVELY_ENRICHED"
"GSE151214","normal_fallopian_tube_reference","FT-SA23505","FT-SA23505","C1QC",2,FALSE,0.0571428571428571,"NOT_EVALUABLE"
"GSE151214","normal_fallopian_tube_reference","FT-SA23510","FT-SA23510","C1QC",61,TRUE,0.661904761904762,"RELATIVELY_ENRICHED"
"GSE151214","normal_fallopian_tube_reference","FT-SA23515","FT-SA23515","C1QC",22,TRUE,0.446428571428571,"NOT_RELATIVELY_ENRICHED"
"GSE151214","normal_fallopian_tube_reference","FT-SA23513","FT-SA23513","C1QC",7,FALSE,0.0571428571428571,"NOT_EVALUABLE"
"GSE151214","normal_fallopian_tube_reference","FT-SA23514","FT-SA23514","C1QC",15,FALSE,0.364285714285714,"NOT_EVALUABLE"
"GSE151214","normal_fallopian_tube_reference","FT-SA23509","FT-SA23509","C1QC",6,FALSE,0.385714285714286,"NOT_EVALUABLE"
"GSE151214","normal_fallopian_tube_reference","FT-SA24027","FT-SA24027","C1QC",3,FALSE,0.476190476190476,"NOT_EVALUABLE"
"GSE154600","primary_tumor_ecosystem","T59","T59","C1QC",2626,TRUE,0.537379162191192,"NOT_RELATIVELY_ENRICHED"
"GSE154600","primary_tumor_ecosystem","T76","T76","C1QC",1172,TRUE,0.367561761546724,"NOT_RELATIVELY_ENRICHED"
"GSE154600","primary_tumor_ecosystem","T77","T77","C1QC",338,TRUE,0.707948442534909,"RELATIVELY_ENRICHED"
"GSE154600","primary_tumor_ecosystem","T89","T89","C1QC",424,TRUE,0.646294307196563,"RELATIVELY_ENRICHED"
"GSE154600","primary_tumor_ecosystem","T90","T90","C1QC",95,TRUE,0.782169709989259,"RELATIVELY_ENRICHED"
"GSE158722","malignant_fluid_tumor_ecosystem","P04","P04_Time3","C1QC",36,TRUE,0.0960591133004926,"NOT_RELATIVELY_ENRICHED"
"GSE158722","malignant_fluid_tumor_ecosystem","P04","P04_Time2","C1QC",5,FALSE,0.315270935960591,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P04","P04_Time1","C1QC",7,FALSE,0.655172413793103,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P05","P05_Time1","C1QC",3,FALSE,0.541871921182266,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P06","P06_Time3","C1QC",3,FALSE,0.773399014778325,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P06","P06_Time2","C1QC",3,FALSE,0.280788177339901,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P07","P07_Time2","C1QC",17,FALSE,0.458128078817734,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P07","P07_Time1","C1QC",74,TRUE,0.559113300492611,"NOT_RELATIVELY_ENRICHED"
"GSE158722","malignant_fluid_tumor_ecosystem","P08","P08_Time2","C1QC",1,FALSE,0.911330049261084,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P08","P08_Time1","C1QC",2,FALSE,0.886699507389163,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P09","P09_Time3","C1QC",8,FALSE,0.876847290640394,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P09","P09_Time2","C1QC",2,FALSE,0.586206896551724,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P11","P11_Pre-treatment","C1QC",2,FALSE,0.482758620689655,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P15","P15_Pre-treatment","C1QC",6,FALSE,0.357142857142857,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P17","P17_Pre-treatment","C1QC",10,FALSE,0.733990147783251,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P18","P18_Post-treatment","C1QC",1,FALSE,0.817733990147783,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P19","P19_Post-treatment","C1QC",2,FALSE,0.866995073891626,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P20","P20_Post-treatment","C1QC",1,FALSE,0.763546798029557,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P23","P23_Post-treatment","C1QC",19,FALSE,0.576354679802956,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P24","P24_Post-treatment","C1QC",1,FALSE,0.0960591133004926,"NOT_EVALUABLE"
"GSE154763","author_annotated_myeloid_reference","P20181225","OV-P20181225-T","C1QC",2908,TRUE,0.540726052471019,"NOT_RELATIVELY_ENRICHED"
"GSE154763","author_annotated_myeloid_reference","P20190304","OV-P20190304-T","C1QC",245,TRUE,0.255338621110433,"NOT_RELATIVELY_ENRICHED"
"GSE154763","author_annotated_myeloid_reference","P20190304","OV-P20190304-N","C1QC",125,TRUE,0.178157413056742,"NOT_RELATIVELY_ENRICHED"
"GSE147082","tumor_sensitivity_validation","PT-3232","PT-3232","FOLR2",100,TRUE,0.536974789915966,"NOT_RELATIVELY_ENRICHED"
"GSE147082","tumor_sensitivity_validation","PT-5150","PT-5150","FOLR2",101,TRUE,0.484033613445378,"NOT_RELATIVELY_ENRICHED"
"GSE147082","tumor_sensitivity_validation","PT-6885","PT-6885","FOLR2",159,TRUE,0.185714285714286,"NOT_RELATIVELY_ENRICHED"
"GSE147082","tumor_sensitivity_validation","PT-4806","PT-4806","FOLR2",8,FALSE,0.328151260504202,"NOT_EVALUABLE"
"GSE147082","tumor_sensitivity_validation","PT-3401","PT-3401","FOLR2",214,TRUE,0.674789915966387,"RELATIVELY_ENRICHED"
"GSE147082","tumor_sensitivity_validation","PT-2834","PT-2834","FOLR2",13,FALSE,0.46218487394958,"NOT_EVALUABLE"
"GSE151214","normal_fallopian_tube_reference","FT01","FT01","FOLR2",46,TRUE,0.411904761904762,"NOT_RELATIVELY_ENRICHED"
"GSE151214","normal_fallopian_tube_reference","FT5414","FT5414","FOLR2",136,TRUE,0.679166666666667,"RELATIVELY_ENRICHED"
"GSE151214","normal_fallopian_tube_reference","FT03","FT03","FOLR2",122,TRUE,0.378571428571429,"NOT_RELATIVELY_ENRICHED"
"GSE151214","normal_fallopian_tube_reference","FT-SA23505","FT-SA23505","FOLR2",2,FALSE,0.128571428571429,"NOT_EVALUABLE"
"GSE151214","normal_fallopian_tube_reference","FT-SA23510","FT-SA23510","FOLR2",61,TRUE,0.635714285714286,"RELATIVELY_ENRICHED"
"GSE151214","normal_fallopian_tube_reference","FT-SA23515","FT-SA23515","FOLR2",22,TRUE,0.485714285714286,"NOT_RELATIVELY_ENRICHED"
"GSE151214","normal_fallopian_tube_reference","FT-SA23513","FT-SA23513","FOLR2",7,FALSE,0.128571428571429,"NOT_EVALUABLE"
"GSE151214","normal_fallopian_tube_reference","FT-SA23514","FT-SA23514","FOLR2",15,FALSE,0.39047619047619,"NOT_EVALUABLE"
"GSE151214","normal_fallopian_tube_reference","FT-SA23509","FT-SA23509","FOLR2",6,FALSE,0.128571428571429,"NOT_EVALUABLE"
"GSE151214","normal_fallopian_tube_reference","FT-SA24027","FT-SA24027","FOLR2",3,FALSE,0.535714285714286,"NOT_EVALUABLE"
"GSE154600","primary_tumor_ecosystem","T59","T59","FOLR2",2626,TRUE,0.455531686358754,"NOT_RELATIVELY_ENRICHED"
"GSE154600","primary_tumor_ecosystem","T76","T76","FOLR2",1172,TRUE,0.485714285714286,"NOT_RELATIVELY_ENRICHED"
"GSE154600","primary_tumor_ecosystem","T77","T77","FOLR2",338,TRUE,0.698496240601504,"RELATIVELY_ENRICHED"
"GSE154600","primary_tumor_ecosystem","T89","T89","FOLR2",424,TRUE,0.728088077336198,"RELATIVELY_ENRICHED"
"GSE154600","primary_tumor_ecosystem","T90","T90","FOLR2",95,TRUE,0.650053705692803,"RELATIVELY_ENRICHED"
"GSE158722","malignant_fluid_tumor_ecosystem","P04","P04_Time3","FOLR2",36,TRUE,0.165024630541872,"NOT_RELATIVELY_ENRICHED"
"GSE158722","malignant_fluid_tumor_ecosystem","P04","P04_Time2","FOLR2",5,FALSE,0.389162561576355,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P04","P04_Time1","FOLR2",7,FALSE,0.364532019704434,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P05","P05_Time1","FOLR2",3,FALSE,0.165024630541872,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P06","P06_Time3","FOLR2",3,FALSE,0.783251231527094,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P06","P06_Time2","FOLR2",3,FALSE,0.768472906403941,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P07","P07_Time2","FOLR2",17,FALSE,0.165024630541872,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P07","P07_Time1","FOLR2",74,TRUE,0.578817733990148,"NOT_RELATIVELY_ENRICHED"
"GSE158722","malignant_fluid_tumor_ecosystem","P08","P08_Time2","FOLR2",1,FALSE,0.812807881773399,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P08","P08_Time1","FOLR2",2,FALSE,0.770935960591133,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P09","P09_Time3","FOLR2",8,FALSE,0.812807881773399,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P09","P09_Time2","FOLR2",2,FALSE,0.620689655172414,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P11","P11_Pre-treatment","FOLR2",2,FALSE,0.444581280788177,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P15","P15_Pre-treatment","FOLR2",6,FALSE,0.165024630541872,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P17","P17_Pre-treatment","FOLR2",10,FALSE,0.504926108374384,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P18","P18_Post-treatment","FOLR2",1,FALSE,0.625615763546798,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P19","P19_Post-treatment","FOLR2",2,FALSE,0.741379310344828,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P20","P20_Post-treatment","FOLR2",1,FALSE,0.448275862068966,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P23","P23_Post-treatment","FOLR2",19,FALSE,0.842364532019704,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P24","P24_Post-treatment","FOLR2",1,FALSE,0.354679802955665,"NOT_EVALUABLE"
"GSE154763","author_annotated_myeloid_reference","P20181225","OV-P20181225-T","FOLR2",2908,TRUE,0.540726052471019,"NOT_RELATIVELY_ENRICHED"
"GSE154763","author_annotated_myeloid_reference","P20190304","OV-P20190304-T","FOLR2",245,TRUE,0.128126906650397,"NOT_RELATIVELY_ENRICHED"
"GSE154763","author_annotated_myeloid_reference","P20190304","OV-P20190304-N","FOLR2",125,TRUE,0.223001830384381,"NOT_RELATIVELY_ENRICHED"
