dataset_id,cluster,final_cell_type,cell_state,annotation_status,annotation_confidence,n_cells,n_samples,n_patients,dominant_patient,dominant_patient_fraction,dominant_sample,dominant_sample_fraction,patient_enriched,platform_confounded,suggested_cell_type,canonical_support_n,high_specific_support_n,canonical_markers_present,second_candidate,incompatible_lineage_program,n_significant_markers,manual_cell_type,manual_cell_subtype,manual_confidence,manual_notes,initial_cell_type,dominant_platform,dominant_platform_fraction
"GSE158722","Epithelial__A_uncorrected__19","Epithelial","None","REVIEW_PATIENT_ENRICHED","Review",681,4,2,"P09",0.998531571218796,"P09_Time2",0.380323054331865,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Epithelial",NA,NA
"GSE158722","Epithelial__A_uncorrected__2","Epithelial","None","REVIEW_PATIENT_ENRICHED","Review",2590,11,9,"P07",0.984555984555985,"P07_Time2",0.974903474903475,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Epithelial",NA,NA
"GSE158722","Epithelial__A_uncorrected__20","Epithelial","None","REVIEW_PATIENT_ENRICHED","Review",628,12,9,"P19",0.971337579617834,"P19_Post-treatment",0.971337579617834,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Epithelial",NA,NA
"GSE158722","Epithelial__A_uncorrected__21","Epithelial","None","REVIEW_PATIENT_ENRICHED","Review",474,6,4,"P05",0.985232067510549,"P05_Time2",0.407172995780591,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Epithelial",NA,NA
"GSE158722","Epithelial__A_uncorrected__22","Epithelial","None","REVIEW_PATIENT_ENRICHED","Review",467,5,5,"P17",0.985010706638116,"P17_Pre-treatment",0.985010706638116,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Epithelial",NA,NA
"GSE158722","Epithelial__A_uncorrected__23","Epithelial","None","REVIEW_PATIENT_ENRICHED","Review",454,2,2,"P18",0.997797356828194,"P18_Post-treatment",0.997797356828194,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Epithelial",NA,NA
"GSE158722","Epithelial__A_uncorrected__24","Epithelial","None","REVIEW_PATIENT_ENRICHED","Review",425,3,2,"P07",0.997647058823529,"P07_Time1",0.995294117647059,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Epithelial",NA,NA
"GSE158722","Epithelial__A_uncorrected__25","Fibroblast","Hypoxia","READY_HIGH_CONFIDENCE","High",281,22,15,"P08",0.747330960854093,"P08_Time1",0.647686832740214,FALSE,NA,"Fibroblast",4,2,"PDGFRA;COL1A1;COL1A2;COL3A1",NA,FALSE,484,"","","","","Epithelial",NA,NA
"GSE158722","Epithelial__A_uncorrected__26","Epithelial","None","REVIEW_PATIENT_ENRICHED","Review",207,3,3,"P15",0.990338164251208,"P15_Pre-treatment",0.990338164251208,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Epithelial",NA,NA
"GSE158722","Epithelial__A_uncorrected__27","Epithelial","None","REVIEW_PATIENT_ENRICHED","Review",28,1,1,"P07",1,"P07_Time2",1,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Epithelial",NA,NA
"GSE158722","Epithelial__A_uncorrected__3","Epithelial","None","REVIEW_PATIENT_ENRICHED","Review",2277,8,8,"P12",0.993412384716733,"P12_Pre-treatment",0.993412384716733,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Epithelial",NA,NA
"GSE158722","Epithelial__A_uncorrected__4","Epithelial","None","REVIEW_PATIENT_ENRICHED","Review",2159,12,9,"P04",0.992589161648912,"P04_Time1",0.717924965261695,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Epithelial",NA,NA
"GSE158722","Epithelial__A_uncorrected__5","Epithelial","None","REVIEW_PATIENT_ENRICHED","Review",2038,3,3,"P11",0.998037291462218,"P11_Pre-treatment",0.998037291462218,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Epithelial",NA,NA
"GSE158722","Epithelial__A_uncorrected__6","Epithelial","None","REVIEW_PATIENT_ENRICHED","Review",2026,6,4,"P08",0.998025666337611,"P08_Time2",0.99111549851925,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Epithelial",NA,NA
"GSE158722","Epithelial__A_uncorrected__7","Epithelial","None","REVIEW_PATIENT_ENRICHED","Review",1910,13,11,"P08",0.986910994764398,"P08_Time2",0.71151832460733,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Epithelial",NA,NA
"GSE158722","Epithelial__A_uncorrected__8","Epithelial","None","REVIEW_PATIENT_ENRICHED","Review",1459,5,3,"P08",0.998629198080877,"P08_Time3",0.981494174091844,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Epithelial",NA,NA
"GSE158722","Epithelial__A_uncorrected__9","Epithelial","None","REVIEW_PATIENT_ENRICHED","Review",1404,1,1,"P13",1,"P13_Pre-treatment",1,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Epithelial",NA,NA
"GSE158722","Erythroid__broad_type_only__1","Erythroid","None","READY_HIGH_CONFIDENCE","High",6,3,2,"P15",0.666666666666667,"P15_Pre-treatment",0.666666666666667,FALSE,NA,"Erythroid",3,3,"HBB;HBA1;HBA2",NA,FALSE,3,"","","","","Erythroid",NA,NA
"GSE158722","Fibroblast__A_uncorrected__0","Fibroblast","None","READY_HIGH_CONFIDENCE","High",213,25,18,"P17",0.230046948356808,"P17_Pre-treatment",0.230046948356808,FALSE,NA,"Fibroblast",8,4,"COL6A2;COL1A1;COL1A2;COL3A1;COL6A1;DCN;LUM;PDGFRA",NA,FALSE,459,"","","","","Fibroblast",NA,NA
"GSE158722","Fibroblast__A_uncorrected__1","Fibroblast","None","READY_HIGH_CONFIDENCE","High",184,19,15,"P08",0.195652173913043,"P08_Time1",0.184782608695652,FALSE,NA,"Fibroblast",5,4,"LUM;DCN;COL1A1;COL1A2;COL3A1",NA,FALSE,90,"","","","","Fibroblast",NA,NA
"GSE158722","Fibroblast__A_uncorrected__2","Fibroblast","None","REVIEW_AMBIGUOUS","Review",129,13,10,"P08",0.372093023255814,"P08_Time1",0.325581395348837,FALSE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Fibroblast",NA,NA
"GSE158722","Fibroblast__A_uncorrected__3","Fibroblast","None","READY_HIGH_CONFIDENCE","High",108,11,10,"P07",0.712962962962963,"P07_Time2",0.712962962962963,FALSE,NA,"Fibroblast",8,4,"COL1A1;PDGFRA;COL3A1;LUM;COL1A2;COL6A2;DCN;COL6A1",NA,FALSE,120,"","","","","Fibroblast",NA,NA
"GSE158722","Fibroblast__A_uncorrected__4","Fibroblast","None","REVIEW_AMBIGUOUS","Review",42,3,3,"P13",0.619047619047619,"P13_Pre-treatment",0.619047619047619,FALSE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Fibroblast",NA,NA
"GSE158722","Fibroblast__A_uncorrected__5","Fibroblast","Hypoxia","REVIEW_PATIENT_ENRICHED","Review",27,3,1,"P08",1,"P08_Time3",0.888888888888889,TRUE,NA,"Fibroblast",10,4,"POSTN;COL6A2;COL1A1;COL3A1;COL1A2;PDGFRA;COL6A1;FAP;DCN;LUM",NA,FALSE,251,"","","","","Fibroblast",NA,NA
"GSE158722","Macrophage__A_uncorrected__0","Macrophage","IFN_response;Stress_response;SPP1_high;C1QC_high;FOLR2_high","REVIEW_PATIENT_ENRICHED","Review",243,8,7,"P07",0.958847736625514,"P07_Time1",0.930041152263374,TRUE,NA,"Macrophage",11,4,"C1QC;C1QB;C1QA;APOE;MS4A7;TREM2;CD68;LST1;FCGR1A;SPP1;CTSD","Monocyte",FALSE,1285,"","","","","Macrophage",NA,NA
"GSE158722","Macrophage__A_uncorrected__1","Macrophage","IFN_response;Hypoxia;Stress_response;SPP1_high;C1QC_high;FOLR2_high","REVIEW_PATIENT_ENRICHED","Review",231,4,3,"P07",0.987012987012987,"P07_Time1",0.974025974025974,TRUE,NA,"Macrophage",11,4,"MS4A7;TREM2;SPP1;APOE;CD68;FCGR1A;C1QC;LST1;C1QA;C1QB;CTSD","Monocyte",FALSE,1150,"","","","","Macrophage",NA,NA
"GSE158722","Macrophage__A_uncorrected__2","Macrophage","SPP1_high;C1QC_high","READY_HIGH_CONFIDENCE","High",92,20,15,"P07",0.239130434782609,"P23_Post-treatment",0.217391304347826,FALSE,NA,"Macrophage",11,4,"MS4A7;APOE;TREM2;SPP1;C1QC;C1QB;C1QA;LST1;FCGR1A;CD68;CTSD","Monocyte",FALSE,368,"","","","","Macrophage",NA,NA
"GSE158722","Macrophage__A_uncorrected__3","Macrophage","SPP1_high;C1QC_high","READY_HIGH_CONFIDENCE","High",77,11,7,"P07",0.779220779220779,"P07_Time1",0.701298701298701,FALSE,NA,"Macrophage",9,4,"MS4A7;APOE;C1QC;C1QA;TREM2;C1QB;SPP1;LST1;CD68","Monocyte",FALSE,299,"","","","","Macrophage",NA,NA
"GSE158722","Macrophage__A_uncorrected__4","Monocyte","IFN_response;Stress_response;SPP1_high","REVIEW_PATIENT_ENRICHED","Review",63,5,3,"P07",0.936507936507937,"P07_Time1",0.920634920634921,TRUE,NA,"Monocyte",10,4,"LYZ;VCAN;FCN1;LILRB1;CTSS;FCER1G;TYROBP;S100A8;SAT1;S100A9","Macrophage",FALSE,805,"","","","","Macrophage",NA,NA
"GSE158722","Monocyte__A_uncorrected__0","Monocyte","IFN_response;SPP1_high;C1QC_high","REVIEW_PATIENT_ENRICHED","Review",1493,11,8,"P07",0.98861352980576,"P07_Time2",0.977896851975887,TRUE,NA,"Monocyte",10,4,"FCN1;TYROBP;FCER1G;LYZ;VCAN;CTSS;CTSD;S100A8;SAT1;S100A9","Macrophage",FALSE,271,"","","","","Monocyte",NA,NA
"GSE158722","Monocyte__A_uncorrected__1","Monocyte","IFN_response;SPP1_high","REVIEW_PATIENT_ENRICHED","Review",956,11,9,"P07",0.973849372384937,"P07_Time2",0.97071129707113,TRUE,NA,"Monocyte",8,3,"LYZ;FCN1;TYROBP;FCER1G;VCAN;CTSS;S100A8;SAT1",NA,FALSE,187,"","","","","Monocyte",NA,NA
"GSE158722","Monocyte__A_uncorrected__2","Macrophage","IFN_response;SPP1_high;C1QC_high","REVIEW_PATIENT_ENRICHED","Review",506,9,5,"P07",0.944664031620553,"P07_Time2",0.920948616600791,TRUE,NA,"Macrophage",11,4,"SPP1;TREM2;CD68;C1QC;MS4A7;C1QA;C1QB;FCGR1A;APOE;LST1;CTSD","Monocyte",FALSE,820,"","","","","Monocyte",NA,NA
"GSE158722","Monocyte__A_uncorrected__3","Monocyte","IFN_response;SPP1_high","REVIEW_PATIENT_ENRICHED","Review",405,6,4,"P07",0.982716049382716,"P07_Time2",0.97283950617284,TRUE,NA,"Monocyte",11,4,"LILRB1;FCN1;LYZ;VCAN;FCER1G;CTSS;TYROBP;S100A8;S100A9;CTSD;SAT1","Macrophage",FALSE,725,"","","","","Monocyte",NA,NA
"GSE158722","Monocyte__A_uncorrected__4","Monocyte","IFN_response;SPP1_high","REVIEW_PATIENT_ENRICHED","Review",293,8,5,"P07",0.962457337883959,"P07_Time2",0.931740614334471,TRUE,NA,"Monocyte",8,4,"LYZ;FCN1;TYROBP;FCER1G;VCAN;CTSS;S100A8;S100A9","Macrophage",FALSE,182,"","","","","Monocyte",NA,NA
"GSE158722","Monocyte__A_uncorrected__5","Macrophage","SPP1_high;C1QC_high","READY_HIGH_CONFIDENCE","High",93,11,9,"P07",0.516129032258065,"P07_Time1",0.408602150537634,FALSE,NA,"Macrophage",7,3,"LST1;C1QC;C1QA;C1QB;APOE;SPP1;CD68","Monocyte",FALSE,132,"","","","","Monocyte",NA,NA
"GSE158722","Monocyte__A_uncorrected__6","Monocyte","IFN_response;SPP1_high","REVIEW_PATIENT_ENRICHED","Review",77,1,1,"P04",1,"P04_Time3",1,TRUE,NA,"Monocyte",12,4,"LYZ;FCN1;FCER1G;VCAN;S100A8;CTSS;TYROBP;LILRB1;S100A9;LGALS3;CTSD;SAT1","Macrophage",FALSE,872,"","","","","Monocyte",NA,NA
"GSE158722","Monocyte__A_uncorrected__7","Monocyte","None","REVIEW_PATIENT_ENRICHED","Review",28,5,4,"P07",0.892857142857143,"P07_Time2",0.857142857142857,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Monocyte",NA,NA
"GSE158722","Monocyte__A_uncorrected__8","Monocyte","SPP1_high","READY_HIGH_CONFIDENCE","High",14,5,4,"P04",0.428571428571429,"P04_Time3",0.428571428571429,FALSE,NA,"Monocyte",4,1,"VCAN;TYROBP;LYZ;CTSD","Macrophage",FALSE,70,"","","","","Monocyte",NA,NA
"GSE158722","NK_cell__A_uncorrected__0","NK_cell","IFN_response","REVIEW_PATIENT_ENRICHED","Review",528,5,4,"P07",0.992424242424242,"P07_Time1",0.948863636363636,TRUE,NA,"NK_cell",9,5,"KLRC1;XCL1;XCL2;GNLY;KLRD1;NKG7;CTSW;PRF1;KLRF1","T_cell",FALSE,701,"","","","","NK_cell",NA,NA
"GSE158722","NK_cell__A_uncorrected__1","NK_cell","None","REVIEW_PATIENT_ENRICHED","Review",264,2,2,"P04",0.996212121212121,"P04_Time3",0.996212121212121,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","NK_cell",NA,NA
"GSE158722","NK_cell__A_uncorrected__2","NK_cell","IFN_response","REVIEW_PATIENT_ENRICHED","Review",129,5,3,"P07",0.976744186046512,"P07_Time1",0.674418604651163,TRUE,NA,"NK_cell",10,4,"PRF1;GNLY;KLRF1;KLRD1;NKG7;XCL2;KLRC1;CTSW;FGFBP2;FCGR3A","T_cell",FALSE,281,"","","","","NK_cell",NA,NA
"GSE158722","NK_cell__A_uncorrected__3","NK_cell","None","REVIEW_PATIENT_ENRICHED","Review",120,7,7,"P23",0.9,"P23_Post-treatment",0.9,TRUE,NA,"NK_cell",9,5,"XCL1;KLRC1;XCL2;KLRD1;NKG7;GNLY;CTSW;KLRF1;PRF1",NA,FALSE,160,"","","","","NK_cell",NA,NA
"GSE158722","Plasma_cell__broad_type_only__1","Plasma_cell","None","REVIEW_AMBIGUOUS","Review",11,6,4,"P07",0.545454545454545,"P07_Time1",0.272727272727273,FALSE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Plasma_cell",NA,NA
"GSE158722","T_cell__A_uncorrected__0","T_cell","None","REVIEW_PATIENT_ENRICHED","Review",725,2,2,"P04",0.998620689655172,"P04_Time3",0.998620689655172,TRUE,NA,"T_cell",9,3,"CD3D;CD3G;ITK;CD3E;BCL11B;GIMAP7;CD2;CD247;IL7R","NK_cell",FALSE,733,"","","","","T_cell",NA,NA
"GSE158722","T_cell__A_uncorrected__1","T_cell","None","REVIEW_PATIENT_ENRICHED","Review",328,1,1,"P04",1,"P04_Time3",1,TRUE,NA,"T_cell",10,3,"IL7R;LTB;ITK;GIMAP7;CD247;CD3D;CD3G;BCL11B;CD3E;CD2",NA,FALSE,844,"","","","","T_cell",NA,NA
"GSE158722","T_cell__A_uncorrected__2","T_cell","IFN_response","REVIEW_PATIENT_ENRICHED","Review",247,11,8,"P07",0.919028340080972,"P07_Time1",0.712550607287449,TRUE,NA,"T_cell",10,3,"CD3D;CD3G;LCK;CD3E;CD2;IL7R;BCL11B;GIMAP7;LTB;CD247","NK_cell",FALSE,448,"","","","","T_cell",NA,NA
"GSE158722","T_cell__A_uncorrected__3","T_cell","IFN_response","REVIEW_PATIENT_ENRICHED","Review",242,16,13,"P07",0.834710743801653,"P07_Time1",0.71900826446281,TRUE,NA,"T_cell",11,3,"IL7R;LTB;BCL11B;CD3D;CD3G;LCK;CD3E;CD2;GIMAP7;ITK;CD247",NA,FALSE,426,"","","","","T_cell",NA,NA
"GSE158722","T_cell__A_uncorrected__4","T_cell","None","REVIEW_PATIENT_ENRICHED","Review",105,9,6,"P07",0.838095238095238,"P07_Time1",0.780952380952381,TRUE,NA,"T_cell",10,3,"BCL11B;ITK;IL7R;CD2;LCK;CD3E;CD3G;LTB;CD3D;CD247",NA,FALSE,169,"","","","","T_cell",NA,NA
"GSE158722","T_cell__A_uncorrected__5","T_cell","None","REVIEW_PATIENT_ENRICHED","Review",40,1,1,"P04",1,"P04_Time3",1,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","T_cell",NA,NA
"GSE158722","Unresolved__A_uncorrected__0","Unresolved","None","REVIEW_PATIENT_ENRICHED","Review",4264,7,5,"P05",0.998827392120075,"P05_Time1",0.506332082551595,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Unresolved",NA,NA
"GSE158722","Unresolved__A_uncorrected__1","Unresolved","None","REVIEW_AMBIGUOUS","Review",2380,25,17,"P17",0.307983193277311,"P17_Pre-treatment",0.307983193277311,FALSE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Unresolved",NA,NA
"GSE158722","Unresolved__A_uncorrected__10","Unresolved","None","REVIEW_PATIENT_ENRICHED","Review",688,3,1,"P09",1,"P09_Time2",0.780523255813954,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Unresolved",NA,NA
"GSE158722","Unresolved__A_uncorrected__11","Unresolved","None","REVIEW_PATIENT_ENRICHED","Review",627,8,8,"P19",0.982456140350877,"P19_Post-treatment",0.982456140350877,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Unresolved",NA,NA
"GSE158722","Unresolved__A_uncorrected__12","Unresolved","None","REVIEW_PATIENT_ENRICHED","Review",624,3,2,"P06",0.998397435897436,"P06_Time1",0.75801282051282,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Unresolved",NA,NA
"GSE158722","Unresolved__A_uncorrected__13","Unresolved","None","REVIEW_PATIENT_ENRICHED","Review",500,5,5,"P18",0.992,"P18_Post-treatment",0.992,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Unresolved",NA,NA
"GSE158722","Unresolved__A_uncorrected__14","Unresolved","None","REVIEW_AMBIGUOUS","Review",486,19,14,"P24",0.294238683127572,"P24_Post-treatment",0.294238683127572,FALSE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Unresolved",NA,NA
"GSE158722","Unresolved__A_uncorrected__15","Unresolved","None","REVIEW_PATIENT_ENRICHED","Review",452,2,1,"P08",1,"P08_Time3",0.97787610619469,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Unresolved",NA,NA
"GSE158722","Unresolved__A_uncorrected__16","Unresolved","None","REVIEW_AMBIGUOUS","Review",383,19,15,"P08",0.64490861618799,"P08_Time1",0.540469973890339,FALSE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Unresolved",NA,NA
"GSE158722","Unresolved__A_uncorrected__17","Unresolved","None","REVIEW_AMBIGUOUS","Review",361,8,6,"P05",0.385041551246537,"P16_Pre-treatment",0.349030470914127,FALSE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Unresolved",NA,NA
"GSE158722","Unresolved__A_uncorrected__18","Unresolved","None","REVIEW_PATIENT_ENRICHED","Review",347,1,1,"P24",1,"P24_Post-treatment",1,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Unresolved",NA,NA
"GSE158722","Unresolved__A_uncorrected__19","Unresolved","None","REVIEW_PATIENT_ENRICHED","Review",345,5,5,"P14",0.96231884057971,"P14_Pre-treatment",0.96231884057971,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Unresolved",NA,NA
"GSE158722","Unresolved__A_uncorrected__2","Unresolved","None","REVIEW_PATIENT_ENRICHED","Review",1906,2,2,"P14",0.999475341028332,"P14_Pre-treatment",0.999475341028332,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Unresolved",NA,NA
"GSE158722","Unresolved__A_uncorrected__20","Unresolved","None","REVIEW_PATIENT_ENRICHED","Review",280,9,6,"P02",0.946428571428571,"P02_Time3",0.721428571428571,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Unresolved",NA,NA
"GSE158722","Unresolved__A_uncorrected__21","Unresolved","None","REVIEW_PATIENT_ENRICHED","Review",277,4,4,"P20",0.942238267148014,"P20_Post-treatment",0.942238267148014,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Unresolved",NA,NA
"GSE158722","Unresolved__A_uncorrected__22","Unresolved","None","REVIEW_PATIENT_ENRICHED","Review",213,1,1,"P01",1,"P01_Time1",1,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Unresolved",NA,NA
"GSE158722","Unresolved__A_uncorrected__23","Unresolved","None","REVIEW_PATIENT_ENRICHED","Review",202,1,1,"P13",1,"P13_Pre-treatment",1,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Unresolved",NA,NA
"GSE158722","Unresolved__A_uncorrected__24","Unresolved","None","REVIEW_PATIENT_ENRICHED","Review",162,1,1,"P01",1,"P01_Time2",1,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Unresolved",NA,NA
"GSE158722","Unresolved__A_uncorrected__25","Unresolved","None","REVIEW_PATIENT_ENRICHED","Review",139,2,1,"P03",1,"P03_Time3",0.97841726618705,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Unresolved",NA,NA
"GSE158722","Unresolved__A_uncorrected__26","Unresolved","None","REVIEW_PATIENT_ENRICHED","Review",127,3,1,"P09",1,"P09_Time3",0.47244094488189,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Unresolved",NA,NA
"GSE158722","Unresolved__A_uncorrected__27","Unresolved","None","REVIEW_PATIENT_ENRICHED","Review",123,5,4,"P04",0.959349593495935,"P04_Time1",0.959349593495935,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Unresolved",NA,NA
"GSE158722","Unresolved__A_uncorrected__28","Unresolved","None","REVIEW_PATIENT_ENRICHED","Review",115,1,1,"P03",1,"P03_Time2",1,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Unresolved",NA,NA
"GSE158722","Unresolved__A_uncorrected__29","Unresolved","None","REVIEW_PATIENT_ENRICHED","Review",94,2,1,"P02",1,"P02_Time1",0.978723404255319,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Unresolved",NA,NA
"GSE158722","Unresolved__A_uncorrected__3","Unresolved","None","REVIEW_PATIENT_ENRICHED","Review",1870,4,2,"P05",0.998930481283422,"P05_Time3",0.893582887700535,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Unresolved",NA,NA
"GSE158722","Unresolved__A_uncorrected__30","Unresolved","None","REVIEW_MIXED_OR_DOUBLET","Review",68,5,4,"P07",0.588235294117647,"P07_Time2",0.5,FALSE,NA,"Mixed_or_doublet",6,4,"CLEC4C;LILRA4;IL3RA;GZMB;SERPINF1;TCF4","Plasma_cell",TRUE,322,"","","","","Unresolved",NA,NA
"GSE158722","Unresolved__A_uncorrected__31","Unresolved","None","REVIEW_PATIENT_ENRICHED","Review",66,1,1,"P03",1,"P03_Time1",1,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Unresolved",NA,NA
