dataset_id,lineage,strategy,cluster,n_cells,top_markers,cell_type_manual,cell_subtype_manual,confidence,notes
"GSE158722","Epithelial_like","A_uncorrected","Epithelial_like__A_uncorrected__17",756,"IL33;RBP2;SCNN1B;SERPINA5;TG;FIBIN;AKR1C3;BHMT2;CHST2;MAGEA1;NPR3;LY6K;PRKG1;CHI3L2;ITGB6;KRT5;CILP;TEPP;CA9;STC1","","","",""
"GSE158722","Epithelial_like","A_uncorrected","Epithelial_like__A_uncorrected__18",742,"CORO6;TCAP;STARD3;CBS;PRR4;ZNF320;C11orf95;FAM118A;ZBED6;POTEC;WDR97;PDE4C;VWCE;COL9A1;AMT;GRB7;ERBB2;NAA40;PGAP3;ZC3H11A","","","",""
"GSE158722","Epithelial_like","A_uncorrected","Epithelial_like__A_uncorrected__19",732,"CCNE2;XRCC2;E2F2;WDR62;BRCA1;FAM111B;CLSPN;ZNF367;KLK1;POLQ;C21orf58;CDC6;ANKRD18A;MCM8;DNHD1;E2F7;ZDHHC11;ZNF331;RRM2;SYNM","","","",""
"GSE158722","Epithelial_like","A_uncorrected","Epithelial_like__A_uncorrected__2",2087,"EZH2;CCNL1;HELLS;HSPA1A;ZCCHC8;TFAP2A;IRF1;PLK3;NPIPB5;IGF2BP2;FMR1;ARMC8;RBM4;ITSN2;IGF2BP3;WDR45B;ERO1A;TRIM56;THOC1;TRIM8","","","",""
"GSE158722","Epithelial_like","A_uncorrected","Epithelial_like__A_uncorrected__20",557,"COL22A1;LGSN;SLC7A2;KCNJ16;ABCC3;FN3K;CPM;CCDC40;ARL17A;DDR2;PLEKHH2;PRH1;ERN1;SULT1C2;CLEC2D;IGFBP5;STRADA;PREX2;GCLM;STEAP2","","","",""
"GSE158722","Epithelial_like","A_uncorrected","Epithelial_like__A_uncorrected__21",444,"ATP6V0C;MTRNR2L1;MTRNR2L10;MTRNR2L6;NACA2;PABPC3;MTRNR2L8;TKTL1;VCAN;H3F3C;ABCB1;IFI30;SLA;GET4;MSR1;CALB1;DBNDD2;EDARADD;CD163;ALOX5AP","","","",""
"GSE158722","Epithelial_like","A_uncorrected","Epithelial_like__A_uncorrected__22",338,"SYCE1;MUC21;SPESP1;ZNF750;GPR12;CHN1;NCCRP1;LCN2;MESP1;CRABP2;OVOL1;LEMD1;SOX18;PAEP;LYPD3;CAMK2N1;GBP5;SERPINA1;FOXQ1;MCEE","","","",""
"GSE158722","Epithelial_like","A_uncorrected","Epithelial_like__A_uncorrected__23",264,"PAGE5;PAGE2B;MYL4;KRT6B;S100A12;IVL;COX7B2;SPRR2A;INHBA;COMP;S100P;S100A8;CCL20;NKX2-5;CXCL8;C6orf15;S100A7;DPP6;CRMP1;CERS3","","","",""
"GSE158722","Epithelial_like","A_uncorrected","Epithelial_like__A_uncorrected__24",238,"GRIA2;RBFOX1;FAP;THBS2;PDGFRA;ITGA5;RIPOR3;CDON;ZEB2;CRISPLD2;PIEZO2;CARNS1;PKHD1L1;SLC2A3;ALDH1A3;ST3GAL5;PAPPA;MTSS1;GFPT2;COL5A1","","","",""
"GSE158722","Epithelial_like","A_uncorrected","Epithelial_like__A_uncorrected__25",173,"AMY1B;AMY1C;AMY1A;FMO3;C4A;HIST2H2AA3;PIGY;BCL2L2-PABPN1;SERF1B;OVCA2;LUZP6;NPIPA7;IL2RB;NPIPA8;ST20-MTHFS;AKAP2;NPIPB3;POC1B-GALNT4;GNLY;RPL36A-HNRNPH2","","","",""
"GSE158722","Epithelial_like","A_uncorrected","Epithelial_like__A_uncorrected__26",157,"SAMD5;POU3F3;PLEKHN1;GDA;MCF2L;SYTL2;EID3;ATP11A;REV3L;PREX2;PROM1;ZNF248;PGGHG;THSD7A;C9orf85;FNIP2;TMCC3;XDH;CNKSR3;DST","","","",""
"GSE158722","Epithelial_like","A_uncorrected","Epithelial_like__A_uncorrected__27",156,"SPRR3;GREM2;NDUFC2-KCTD14;CCL22;RPL36A-HNRNPH2;MUC21;CEACAM5;MRLN;PSCA;FCRLB;POC1B-GALNT4;IGLL5;TNFSF13;CCR7;FUT6;LUZP6;SLX1B;OVCA2;EIF3CL;ST20-MTHFS","","","",""
"GSE158722","Epithelial_like","A_uncorrected","Epithelial_like__A_uncorrected__28",142,"KCNA6;DCAF4L2;PPIAL4G;RNASE2;XAGE5;SSX1;TMIGD3;LYVE1;TOMM6;GAGE12J;FOLR2;MTRNR2L10;IFI30;RPL10L;NACA2;CD163;TAC1;MTRNR2L6;VSIG4;PDCL2","","","",""
"GSE158722","Epithelial_like","A_uncorrected","Epithelial_like__A_uncorrected__29",113,"KCNA6;TM4SF18;PABPC3;XAGE5;SEPT5;SSX1;IGF2;CPVL;JAKMIP2;PPIAL4G;TOMM6;C11orf52;MTRNR2L10;MTRNR2L6;MAP4K1;PLAC1;TAC1;NACA2;TMEM100;PDCL2","","","",""
"GSE158722","Epithelial_like","A_uncorrected","Epithelial_like__A_uncorrected__3",1970,"REG1A;NXPH4;C10orf55;ANKRD18A;PDK4;DNHD1;KLK1;TNFRSF25;HSPA1A;HSPA6;TFCP2L1;DNAJA4;ANKRD33B;ATAD3C;LRP2;ZNF334;YBEY;VPS13D;TGM1;OGT","","","",""
"GSE158722","Epithelial_like","A_uncorrected","Epithelial_like__A_uncorrected__4",1764,"TYROBP;SRGN;SPP1;UBE2C;LRRC75A;HLA-DPA1;PDZK1IP1;IGFBP7;HLA-DPB1;PKP2;GLOD4;PDLIM4;IFNGR1;LAP3;IFITM1;TRNP1;FABP5;PCLAF;ISG15;IFI27","","","",""
"GSE158722","Epithelial_like","A_uncorrected","Epithelial_like__A_uncorrected__5",1475,"FGFBP1;ACTA2;KRT14;PCP4;CALML5;ANKRD2;TAGLN;PQLC2L;KRT81;PPP1R1A;TNNC1;CYP4B1;LRRC75A;KLK5;AARD;MT1M;TPM2;LETM2;GSTT2B;MESP1","","","",""
"GSE158722","Epithelial_like","A_uncorrected","Epithelial_like__A_uncorrected__6",1455,"IL26;PLA2G2A;SERPINB4;CXCL6;PRG4;ITLN1;PRR9;CTSE;VTN;CALB2;FDCSP;HP;RGS4;GALNT9;IL6;IL13RA2;TWIST2;PTGIS;OGN;NDN","","","",""
"GSE158722","Epithelial_like","A_uncorrected","Epithelial_like__A_uncorrected__7",1203,"DEFB123;TBX10;FMO2;ITGA10;MAGEA4;LBHD1;ECE2;ALDOA;MYOM1;BEX1;RPL23A;GSPT2;RAB34;ALDOC;TCEAL2;SCO2;SDF2;BOLA2-SMG1P6;SLC46A1;PIGS","","","",""
"GSE158722","Epithelial_like","A_uncorrected","Epithelial_like__A_uncorrected__8",1168,"MUC5B;CSDE1;NRAS;LRRTM1;POP4;CST6;ITGA2;BCAS2;SIKE1;CTSC;UQCRFS1;URI1;FAM83A;S100A4;GPRC5A;PLEKHF1;C19orf12;F3;ADAM28;TGM2","","","",""
"GSE158722","Epithelial_like","A_uncorrected","Epithelial_like__A_uncorrected__9",1113,"PRSS50;ASMTL;HIST1H2BK;PDE4C;TUBB4A;NEFH;MIEN1;ST6GALNAC6;MARK2;ERBB2;ABCF2;ALDOA;ATG9A;PPP1R1B;ECE2;ERFE;TREX1;GRB7;MAGEA11;CALB1","","","",""
"GSE158722","Fibroblast_like","A_uncorrected","Fibroblast_like__A_uncorrected__0",533,"RCAN2;CXCL14;DHRS9;HLA-DRB5;A1BG;IL32;OLFML3;APOE;IL13RA2;ALDH1A1;SMCO4;S100A3;SOD3;UST;MPI;RGS3;SPAG4;PTGDS;OLFML2B;IDH2","","","",""
"GSE158722","Fibroblast_like","A_uncorrected","Fibroblast_like__A_uncorrected__1",441,"CLIC3;SPRR2F;PRR9;TPPP3;GATA5;NSG1;CRIP1;PODXL;PLLP;IFIT1;TGM1;ISG15;SMPD3;CAVIN2;TMEM151A;UPK3B;LGALS2;WNT4;MX1;HERC6","","","",""
"GSE158722","Fibroblast_like","A_uncorrected","Fibroblast_like__A_uncorrected__2",423,"SAA2;IL26;SAA1;TSLP;SAA4;PPP1R14C;FST;SERPINF1;PI3;IRX3;CCL7;CHST11;SMIM3;IL33;CTSE;STEAP4;C11orf96;MT1G;IL6;SLPI","","","",""
"GSE158722","Fibroblast_like","A_uncorrected","Fibroblast_like__A_uncorrected__3",310,"MMP24;SLC34A2;CILP;SEMA3D;CLIC5;KDR;JCHAIN;NFASC;CROT;CEMIP;CRB2;ROR1;SMOC2;BCHE;MUC16;CCBE1;CYBRD1;FLRT2;KRT7;FLRT3","","","",""
"GSE158722","Fibroblast_like","A_uncorrected","Fibroblast_like__A_uncorrected__4",194,"BTG2;IFRD1;NDRG1;GOLGA8A;RDH13;CLK1;CCNL1;ATF7IP2;FOSB;PDK1;NPIPB5;IRF1;FEM1C;ATF3;ELF3;CHD2;MED17;WEE1;TSPYL2;CCNL2","","","",""
"GSE158722","Fibroblast_like","A_uncorrected","Fibroblast_like__A_uncorrected__5",142,"C4A;HIST2H2AA3;ESCO2;FAM111B;PAQR4;RRM2;CDC45;EEF1G;HIST1H2BK;CENPU;TCF19;PKMYT1;ASF1B;CCNE2;BLM;ZC3H11A;CLSPN;MCM10;EHF;MND1","","","",""
"GSE158722","Fibroblast_like","A_uncorrected","Fibroblast_like__A_uncorrected__6",139,"CCNB1;HMMR;NEK2;KIF20A;CCNB2;DLGAP5;ANLN;CENPF;CDC20;CENPE;NUSAP1;NUF2;DEPDC1;MKI67;CDKN3;KIF4A;BIRC5;PRC1;CENPA;CEP55","","","",""
"GSE158722","Fibroblast_like","A_uncorrected","Fibroblast_like__A_uncorrected__7",112,"SPP1;CD68;CKS2;PLEKHO1;HLA-DPA1;NELFB;USP1;ISG15;C1orf56;DCAF11;COL4A2;IMPAD1;CDCP1;TMEM158;S100A9;ACTR6;MAP3K1;CA9;PTPA;CNP","","","",""
"GSE158722","Myeloid_like","A_uncorrected","Myeloid_like__A_uncorrected__0",1474,"MARCO;MSR1;CALR;TIMP1;TMED2;RIN2;CSNK2B;NENF;RNASE1;FCGRT;TREM2;SECTM1;AP2A2;RAB13;ACP2;ANXA4;RTCB;P4HB;CD99;SLC39A8","","","",""
"GSE158722","Myeloid_like","A_uncorrected","Myeloid_like__A_uncorrected__1",578,"PDK4;NR4A1;ZNF331;EGR3;NR4A2;NR4A3;FOSB;HBEGF;MMP19;EGR2;RHOB;RGS1;IL10;ATF3;RGS2;SGK1;TFRC;ZFP36L2;NUPR1;EGR1","","","",""
"GSE158722","Myeloid_like","A_uncorrected","Myeloid_like__A_uncorrected__2",540,"SLC2A6;NRP2;ME2;FN1;SLC7A8;MYO5A;OLFML2B;MT1G;MT1X;GPNMB;SPP1;NRP1;ABHD2;GCHFR;LGMN;MANBA;RNASE1;ABCG1;TNFAIP8;DAB2","","","",""
"GSE158722","Myeloid_like","A_uncorrected","Myeloid_like__A_uncorrected__3",411,"S100A12;LILRA1;PLAC8;RETN;CYP1B1;LILRA5;LILRB1;APOBEC3A;FFAR2;LILRA2;MPEG1;FPR1;SELL;S100A9;CCL2;BACH1;CXCL10;S100A8;CFP;CCL8","","","",""
"GSE158722","Myeloid_like","A_uncorrected","Myeloid_like__A_uncorrected__4",299,"SAA1;LCN2;PTPRF;ELF3;SLPI;SLC34A2;PDZK1IP1;WFDC2;IGFBP2;BCAM;KRT18;SDC4;MUC1;LRRC75A;KRT8;TPM1;SPINT2;CYC1;LDHB;MT1E","","","",""
"GSE158722","Myeloid_like","A_uncorrected","Myeloid_like__A_uncorrected__5",277,"JAML;HLA-DQA2;HLA-DQA1;HLA-DPB1;PKIB;HLA-DPA1;PPA1;AXL;CKLF;HLA-DQB1;HLA-DMB;ALOX5AP;PLAC8;HLA-DRB1;HLA-DRB5;HLA-DRA;HLA-DMA;CST3;LIMD2;HERPUD1","","","",""
"GSE158722","Myeloid_like","A_uncorrected","Myeloid_like__A_uncorrected__6",103,"SERPINB2;SLC7A11;MET;NEU4;PRDM8;HSPA1A;FGFR1;NRIP3;CXCL8;IRS2;KLHL21;CD109;IFITM10;THRA;SMOX;DUSP10;BAG3;SLC25A34;THAP2;IL3RA","","","",""
"GSE158722","Myeloid_like","A_uncorrected","Myeloid_like__A_uncorrected__7",91,"NDUFB3;CSTB;COX7A2L;RPL17;RPL10A;MGST3;LAMTOR5;RPS27;RPL36A;TOMM7;RPL23A;UQCRB;RPS10;COPS9;RPL34;GABARAPL2;RPS29;MRPS18C;RPL26;FTL","","","",""
"GSE158722","Myeloid_like","A_uncorrected","Myeloid_like__A_uncorrected__8",30,"GZMA;XCL2;CXCR6;KLRB1;TIGIT;KLRC1;XCL1;IL2RB;GZMK;TNFRSF18;CD3D;ITM2A;CTSW;IKZF3;PRF1;CD247;GZMM;CD96;GATA3;RASGRP1","","","",""
"GSE158722","T_NK_like","B_harmony_patient","T_NK_like__B_harmony_patient__0",528,"POU3F1;PARD6G;ST8SIA1;FAM160B1;PELO;HLA-DRB1;IFNG;PMAIP1;HLA-DQA2;CD8B;HAUS3;CXCR3;FAM102A;DUSP4;PDE4DIP;HLA-DRA;F2R;TRIM59;ITM2C;SAP30","","","",""
"GSE158722","T_NK_like","B_harmony_patient","T_NK_like__B_harmony_patient__1",493,"KLRC1;CD160;STARD3NL;XCL1;IL2RB;ADGRG3;ITGAX;ATP8B4;LAT2;FCER1G;NDFIP2;CD38;XCL2;RNF165;NCAM1;FGR;TYROBP;CAPN12;SH2D1B;CD300A","","","",""
"GSE158722","T_NK_like","B_harmony_patient","T_NK_like__B_harmony_patient__2",435,"IL7R;GPR171;TRADD;CD84;KLRG1;LTB;NOSIP;GIMAP4;LAG3;CD3D;CLEC2D;RIPOR2;SELL;GPR155;CD3G;JUNB;CD27;RGS1;ARHGAP15;GPR183","","","",""
"GSE158722","T_NK_like","B_harmony_patient","T_NK_like__B_harmony_patient__3",297,"FGFBP2;TLE1;SPON2;N4BP3;PTPRE;CEBPD;SMAD7;ZBTB16;VAV3;MGAT4A;NPC1;KLF3;NR1D2;ZBTB43;SKI;LUZP1;BHLHE40;MYLIP;KLF9;DDIT3","","","",""
"GSE158722","T_NK_like","B_harmony_patient","T_NK_like__B_harmony_patient__4",240,"MAL;FURIN;IRS2;SESN3;MT1X;KDSR;TP53BP2;CHD7;TNFSF8;OSBPL10;SNX9;LEF1;RIC3;NPDC1;CITED4;CD4;FBXO32;NOP16;PCGF5;CISH","","","",""
"GSE158722","T_NK_like","B_harmony_patient","T_NK_like__B_harmony_patient__5",148,"S100A9;WFDC2;RBP1;SLPI;EPCAM;MDK;CD9;KRT18;KRT8;CST3;MUC1;C1orf162;CTSZ;APLP2;NUCB2;HIST1H4C;FKBP2;CMC1;IGFBP2;ANAPC11","","","",""
"GSE158722","T_NK_like","B_harmony_patient","T_NK_like__B_harmony_patient__6",97,"PSAP;PARP14;KIAA1109;SORL1;ANKRD44;VMP1;TBL1XR1;INTS6;ZBTB20;SLFN12L;LPP;SMG1;MACF1;TRIM38;TRIM33;LENG8;IFI44L;ZNF638;MDM4;TMC6","","","",""
"GSE158722","T_NK_like","B_harmony_patient","T_NK_like__B_harmony_patient__7",81,"MYOM2;CX3CR1;PTGDS;FCGR3A;AKR1C3;PRSS23;GZMB;IGFBP7;SPON2;ADGRG1;ANXA4;KLRF1;GK5;SH2D1B;IFIT3;GFOD1;CD79B;PRF1;PLAC8;ICAM2","","","",""
"GSE158722","T_NK_like","B_harmony_patient","T_NK_like__B_harmony_patient__8",60,"FOXP3;ZG16B;ZC2HC1A;PMCH;C15orf53;IL2RA;LAYN;IKZF4;LAIR2;ENTPD1;GADD45A;IKZF2;TBC1D4;NCF4;RTKN2;ERI1;CTLA4;TNFRSF4;TNFRSF9;SLAMF1","","","",""
