dataset_id,old_parent_broad_type,old_cluster,suggested_broad_cell_type,refined_broad_family,n_cells,reference_eligible,exclusion_reason
"GSE154600","Myeloid","Myeloid__B_harmony_sample__1","Epithelial","Epithelial",729,FALSE,"lineage_conflict"
"GSE154600","Myeloid","Myeloid__B_harmony_sample__2","Epithelial","Epithelial",681,FALSE,"lineage_conflict"
"GSE154600","Myeloid","Myeloid__B_harmony_sample__3","Ambiguous",NA,592,FALSE,"ambiguous_or_mixed"
"GSE154600","Myeloid","Myeloid__B_harmony_sample__4","Myeloid","Myeloid",560,TRUE,""
"GSE154600","Myeloid","Myeloid__B_harmony_sample__5","Myeloid","Myeloid",556,TRUE,""
"GSE154600","Myeloid","Myeloid__B_harmony_sample__6","Myeloid","Myeloid",505,TRUE,""
"GSE154600","Myeloid","Myeloid__B_harmony_sample__7","Myeloid","Myeloid",357,TRUE,""
"GSE154600","Myeloid","Myeloid__B_harmony_sample__8","Epithelial","Epithelial",291,FALSE,"lineage_conflict"
"GSE154600","Myeloid","Myeloid__B_harmony_sample__9","Dendritic","Myeloid",31,TRUE,""
"GSE154600","Endothelial","Endothelial__B_harmony_sample__0","Endothelial","Endothelial",219,TRUE,""
"GSE154600","Endothelial","Endothelial__B_harmony_sample__1","Ambiguous",NA,187,FALSE,"ambiguous_or_mixed"
"GSE154600","Endothelial","Endothelial__B_harmony_sample__2","Fibroblast","Fibroblast",149,FALSE,"lineage_conflict"
"GSE154600","Endothelial","Endothelial__B_harmony_sample__3","Endothelial","Endothelial",45,TRUE,""
"GSE154600","Pericyte","Pericyte__A_uncorrected__0","Fibroblast","Fibroblast",248,TRUE,""
"GSE154600","Pericyte","Pericyte__A_uncorrected__1","Pericyte","Pericyte",150,TRUE,""
"GSE154600","Pericyte","Pericyte__A_uncorrected__2","Ambiguous",NA,133,FALSE,"ambiguous_or_mixed"
"GSE154600","NK_cell","NK_cell__B_harmony_sample__0","Mixed_or_doublet",NA,421,FALSE,"lineage_conflict"
"GSE154600","NK_cell","NK_cell__B_harmony_sample__1","NK_cell","T_NK",276,TRUE,""
"GSE154600","Plasma_cell","Plasma_cell__B_harmony_sample__0","Plasma_cell","B_Plasma",337,FALSE,"fewer_than_10_significant_markers"
"GSE154600","Plasma_cell","Plasma_cell__B_harmony_sample__1","Fibroblast","Fibroblast",232,FALSE,"lineage_conflict"
"GSE154600","Plasma_cell","Plasma_cell__B_harmony_sample__2","Plasma_cell","B_Plasma",219,TRUE,""
"GSE154600","Plasma_cell","Plasma_cell__B_harmony_sample__3","Myeloid","Myeloid",194,FALSE,"lineage_conflict"
"GSE154600","Plasma_cell","Plasma_cell__B_harmony_sample__4","Ambiguous",NA,26,FALSE,"ambiguous_or_mixed"
"GSE154600","B_cell","B_cell__B_harmony_sample__0","Mixed_or_doublet",NA,326,FALSE,"lineage_conflict"
"GSE154600","B_cell","B_cell__B_harmony_sample__1","Ambiguous",NA,305,FALSE,"ambiguous_or_mixed"
"GSE154600","B_cell","B_cell__B_harmony_sample__2","Ambiguous",NA,90,FALSE,"ambiguous_or_mixed"
"GSE154600","B_cell","B_cell__B_harmony_sample__3","T_cell","T_NK",28,FALSE,"lineage_conflict"
"GSE154600","Epithelial","Epithelial__A_uncorrected__0","Epithelial","Epithelial",974,TRUE,""
"GSE154600","Epithelial","Epithelial__A_uncorrected__1","Plasma_cell","B_Plasma",951,FALSE,"lineage_conflict"
"GSE154600","Epithelial","Epithelial__A_uncorrected__2","Plasma_cell","B_Plasma",818,FALSE,"lineage_conflict"
"GSE154600","Epithelial","Epithelial__A_uncorrected__3","Epithelial","Epithelial",725,TRUE,""
"GSE154600","Epithelial","Epithelial__A_uncorrected__4","Epithelial","Epithelial",719,TRUE,""
"GSE154600","Epithelial","Epithelial__A_uncorrected__5","Myeloid","Myeloid",208,FALSE,"lineage_conflict"
"GSE154600","Epithelial","Epithelial__A_uncorrected__6","Ambiguous",NA,180,FALSE,"ambiguous_or_mixed"
"GSE154600","Epithelial","Epithelial__A_uncorrected__7","Plasma_cell","B_Plasma",166,FALSE,"lineage_conflict"
"GSE154600","Epithelial","Epithelial__A_uncorrected__8","Fibroblast","Fibroblast",138,FALSE,"lineage_conflict"
"GSE154600","Dendritic","Dendritic__A_uncorrected__0","Epithelial","Epithelial",89,FALSE,"lineage_conflict"
"GSE154600","Dendritic","Dendritic__A_uncorrected__1","Ambiguous",NA,34,FALSE,"ambiguous_or_mixed"
