"dataset_id","seurat_cluster","n_cells","top_markers","cell_type_manual","cell_subtype_manual","confidence","notes"
"GSE154600","0",4169,"TUBA4A;CCL4;GZMH;RGCC;CD8B;GZMM;CCL4L2;RPS26;DUSP4;GZMK;CD8A;DDX24;CXCR4;EML4;CD52;HIST1H4C;CD3D;CTSW;CCL5;CST7","","","",""
"GSE154600","19",352,"APOC1;HLA-DQA2;C1QC;APOE;CD68;AIF1;C1QB;CFD;SELENOP;LY96;LST1;C1QA;LYZ;FTL;TYROBP;FCGR2A;SPI1;MS4A6A;PLTP;FCER1G","","","",""
"GSE154600","2",3183,"LINC01871;LINC00513;TRAT1;AC114760.2;PARP8;ETS1;IL7R;CRYBG1;RBM38;ZFP36L2;CNOT6L;KLF2;ZFP36;FKBP5;AC026979.2;CMC1;MT1X;RNF125;AC016831.5;S1PR4","","","",""
"GSE154600","20",347,"FOXP3;LAIR2;CTLA4;AC017002.3;ZBTB32;BATF;LINC01943;HS3ST3B1;TNFRSF4;TIGIT;IL2RA;TNFRSF18;MAGEH1;TNFRSF9;ICA1;TBC1D4;PMAIP1;AC114760.2;CARD16;SIRPG","","","",""
"GSE154600","21",327,"VPREB3;MS4A1;IGHD;CD79A;BANK1;IGHM;CD79B;SMIM14;CD37;POU2F2;CD83;SELL;HLA-DMB;TXNIP;GABPB1-AS1;HLA-DQB1;BIRC3;CCR7;SNX2;RHOH","","","",""
"GSE154600","22",277,"JCHAIN;IGHG4;IGHG3;IGLC2;IGLC3;TNFRSF17;MZB1;IGKC;DERL3;IGHA1;IGHG2;IGHG1;FKBP11;XBP1;SSR4;SEC11C;CD79A;H1FX;SPCS3;ANKRD28","","","",""
"GSE154600","23",258,"FGFBP2;GNLY;KLRF1;GZMB;PRF1;KLRD1;CLIC3;NKG7;CD247;PLAC8;GZMH;KLRB1;CTSW;CST7;MYO1F;SPON2;EFHD2;GNG2;GZMM;TLE4","","","",""
"GSE154600","24",244,"KLRC1;B3GNT7;XCL1;KLRF1;GNLY;XCL2;KLRD1;TRDC;KRT86;FGFBP2;MATK;PRF1;CMC1;NKG7;KLRB1;CLIC3;IL2RB;CD7;MAPK1;GZMB","","","",""
"GSE154600","25",204,"FOXP3;IL2RA;TNFRSF9;CTLA4;LINC01943;TNFRSF18;TBC1D4;BATF;TNFRSF4;CXCR6;ICOS;TIGIT;LTB;DUSP4;TRBC1;TRAC;GLRX;IL32;FRMD4B;CD27","","","",""
"GSE154600","26",175,"AC023034.1;AC104041.1;PRRT2;TMEM67;ADAMTS6;RAD9A;CCDC173;COL9A2;DYNC2H1;HIF3A;COL9A3;LINC00958;HOOK2;ZNF692;SRGAP3;KAT2A;ANKRD36C;FHIT;NSUN6;RHPN1","","","",""
"GSE154600","27",126,"CLEC4C;SHD;LILRA4;LRRC26;PTCRA;SMPD3;TCL1A;SMIM5;VASH2;AC119428.2;KRT5;IL3RA;FUT7;FAM129C;SPIB;SIDT1;IRF4;RASD1;PLD4;TSPAN13","","","",""
"GSE154600","28",120,"MKI67;RRM2;ASPM;GTSE1;CCNA2;TOP2A;NUSAP1;CENPE;CENPA;BIRC5;CEP55;CDT1;ASF1B;PLK1;CLSPN;HMGB2;SPC25;AURKB;NUF2;TYMS","","","",""
"GSE154600","29",72,"MS4A1;BANK1;CD79A;HVCN1;VPREB3;CD79B;IGHM;POU2F2;MEF2C;HBB;CCR7;SMIM14;EZR;CD37;SELL;ITSN2;DNTTIP2;CEBPZ;ZC3H13;ANKRD11","","","",""
"GSE154600","3",3102,"ITGBL1;OMD;SFRP2;EPYC;CXCL14;NTM;CILP2;C1QTNF3;COL11A1;COL6A3;INHBA;ENPP1;COL10A1;C5orf46;SFRP4;COMP;FNDC1;CCL11;THBS2;COL8A1","","","",""
"GSE154600","4",2600,"LTB;CCR7;GPR171;AC058791.1;BIRC3;BATF;TRAC;CXCR3;LCK;IL7R;CD69;SOCS1;CD27;CD2;PIK3IP1;ITM2A;CLEC2D;CD7;LAT;RHOH","","","",""
"GSE154600","5",1980,"LY6K;PART1;PCP4;PSAT1;GMPR;ID4;FBXO2;HES1;FRZB;SNHG19;TPPP3;S100A1;TM7SF2;SELENBP1;TCEA3;CCDC146;PPP1R16A;TUBB;FXR1;IMPDH2","","","",""
"GSE154600","6",1706,"CXCR6;LAG3;CD27;PRF1;GZMK;SIT1;CD8A;CXCL13;CD2;CD8B;TRAC;GZMH;IL32;GPR171;IL2RG;HSPA1A;CCL5;TRBC2;CARD16;SKAP1","","","",""
"GSE154600","7",1511,"VMO1;C5AR1;FCGR2B;CLEC5A;TREM1;FCGR2A;HLA-DPA1;SLC16A10;HBEGF;CD14;CSF1R;SLCO2B1;IL1B;FCGR3A;FPR1;MS4A7;CLEC7A;HLA-DQA1;HLA-DRB1;OTUD1","","","",""
"GSE154600","8",1510,"LINC01986;CLDN10;LYPD2;PDZK1IP1;MMP7;C6orf132;RARRES1;THSD4;LCN2;KRT17;CP;MGST1;TACSTD2;ASRGL1;KRT18;CKB;AIF1L;RNF212;CD9;KRT8","","","",""
"GSE154600","9",977,"SAP25;EPB41L5;CITED4;SMIM22;KLK8;EMX2OS;SCGB2A1;S100A14;MAGEA4;THOC3;PPP1R14A;HOMER2;APOA1;C19orf33;TNNI3;H1F0;KLK6;NDUFA13;CRABP2;SLC40A1","","","",""
