"cell_group_name","cnv_name","state","chr","start","end","cnv_subclone","event"
"observation.observation_s9","chr7-region_77",4,"chr7",6374523,100707495,"Subclone_04","gain"
"observation.observation_s9","chr8-region_79",4,"chr8",614746,55825448,"Subclone_04","gain"
"observation.observation_s9","chr8-region_80",5,"chr8",55879813,145056030,"Subclone_04","gain"
"observation.observation_s9","chr9-region_81",4,"chr9",14521,35103195,"Subclone_04","gain"
"observation.observation_s9","chr9-region_83",2,"chr9",89318506,137870016,"Subclone_04","loss"
"observation.observation_s9","chr10-region_84",2,"chr10",134465,68792377,"Subclone_04","loss"
"observation.observation_s9","chr10-region_86",2,"chr10",98416198,133421307,"Subclone_04","loss"
"observation.observation_s9","chr11-region_87",4,"chr11",167784,4138876,"Subclone_04","gain"
"observation.observation_s9","chr11-region_89",4,"chr11",61348745,64357534,"Subclone_04","gain"
"observation.observation_s9","chr11-region_91",4,"chr11",67350777,102339403,"Subclone_04","gain"
"observation.observation_s9","chr11-region_93",2,"chr11",116843402,134253370,"Subclone_04","loss"
"observation.observation_s9","chr12-region_95",2,"chr12",6747996,27756295,"Subclone_04","loss"
"observation.observation_s9","chr12-region_97",4,"chr12",109999186,113011723,"Subclone_04","gain"
"observation.observation_s9","chr12-region_98",5,"chr12",113157174,132956304,"Subclone_04","gain"
"observation.observation_s9","chr13-region_100",2,"chr13",75549480,114305817,"Subclone_04","loss"
"observation.observation_s9","chr14-region_102",2,"chr14",24290598,55070192,"Subclone_04","loss"
"observation.observation_s9","chr15-region_104",2,"chr15",22838641,59689534,"Subclone_04","loss"
"observation.observation_s9","chr16-region_106",4,"chr16",46407,4802950,"Subclone_04","gain"
"observation.observation_s9","chr16-region_108",4,"chr16",70523788,89968060,"Subclone_04","gain"
"observation.observation_s9","chr17-region_110",2,"chr17",7336529,40417950,"Subclone_04","loss"
"observation.observation_s9","chr17-region_112",2,"chr17",63745250,83095119,"Subclone_04","loss"
"observation.observation_s9","chr19-region_114",2,"chr19",507497,8308356,"Subclone_04","loss"
"observation.observation_s9","chr19-region_116",2,"chr19",41956681,48961798,"Subclone_04","loss"
"observation.observation_s9","chr20-region_118",4,"chr20",407498,43647296,"Subclone_04","gain"
"observation.observation_s9","chr20-region_119",5,"chr20",44196496,64287821,"Subclone_04","gain"
"observation.observation_s9","chr22-region_121",2,"chr22",17084954,50628173,"Subclone_04","loss"
"observation.observation_s23","chr1-region_123",4,"chr1",24502351,35641844,"Subclone_01","gain"
"observation.observation_s23","chr6-region_130",4,"chr6",16299112,30687895,"Subclone_01","gain"
"observation.observation_s23","chr16-region_142",4,"chr16",30092314,67481237,"Subclone_01","gain"
"observation.observation_s8","chr1-region_150",2,"chr1",944204,30757820,"Subclone_02","loss"
"observation.observation_s8","chr1-region_152",4,"chr1",34981535,42473385,"Subclone_02","gain"
"observation.observation_s8","chr1-region_153",5,"chr1",42658425,84506565,"Subclone_02","gain"
"observation.observation_s8","chr1-region_154",4,"chr1",84549606,97921049,"Subclone_02","gain"
"observation.observation_s8","chr1-region_156",4,"chr1",145992435,151267479,"Subclone_02","gain"
"observation.observation_s8","chr1-region_157",5,"chr1",151291797,167553767,"Subclone_02","gain"
"observation.observation_s8","chr1-region_158",4,"chr1",167630093,201171574,"Subclone_02","gain"
"observation.observation_s8","chr1-region_159",5,"chr1",201483530,247449108,"Subclone_02","gain"
"observation.observation_s8","chr2-region_161",2,"chr2",74198562,96858095,"Subclone_02","loss"
"observation.observation_s8","chr2-region_163",4,"chr2",159318979,178516462,"Subclone_02","gain"
"observation.observation_s8","chr2-region_164",5,"chr2",180967248,202238608,"Subclone_02","gain"
"observation.observation_s8","chr2-region_165",4,"chr2",202265716,219185479,"Subclone_02","gain"
"observation.observation_s8","chr3-region_167",4,"chr3",3144628,15341368,"Subclone_02","gain"
"observation.observation_s8","chr4-region_170",4,"chr4",118278709,189963204,"Subclone_02","gain"
"observation.observation_s8","chr5-region_172",4,"chr5",177483394,181248096,"Subclone_02","gain"
"observation.observation_s8","chr6-region_174",2,"chr6",26156354,33314387,"Subclone_02","loss"
"observation.observation_s8","chr6-region_176",4,"chr6",38675925,125932030,"Subclone_02","gain"
"observation.observation_s8","chr7-region_179",4,"chr7",44983023,99366262,"Subclone_02","gain"
"observation.observation_s8","chr8-region_181",4,"chr8",614746,65842322,"Subclone_02","gain"
"observation.observation_s8","chr8-region_182",5,"chr8",66712418,145056030,"Subclone_02","gain"
"observation.observation_s8","chr9-region_183",4,"chr9",14521,34651035,"Subclone_02","gain"
"observation.observation_s8","chr9-region_185",2,"chr9",83659963,137870016,"Subclone_02","loss"
"observation.observation_s8","chr10-region_186",2,"chr10",134465,68075348,"Subclone_02","loss"
"observation.observation_s8","chr10-region_188",2,"chr10",96832282,133421307,"Subclone_02","loss"
"observation.observation_s8","chr11-region_190",4,"chr11",66563463,72239105,"Subclone_02","gain"
"observation.observation_s8","chr11-region_191",5,"chr11",72685069,93543508,"Subclone_02","gain"
"observation.observation_s8","chr11-region_192",4,"chr11",93729948,110464881,"Subclone_02","gain"
"observation.observation_s8","chr12-region_195",4,"chr12",51281038,56636816,"Subclone_02","gain"
"observation.observation_s8","chr12-region_197",4,"chr12",112013316,132956304,"Subclone_02","gain"
"observation.observation_s8","chr16-region_201",5,"chr16",46407,1773155,"Subclone_02","gain"
"observation.observation_s8","chr16-region_202",4,"chr16",1776712,3880726,"Subclone_02","gain"
"observation.observation_s8","chr16-region_204",4,"chr16",69741867,89968060,"Subclone_02","gain"
"observation.observation_s8","chr17-region_205",2,"chr17",439978,42276707,"Subclone_02","loss"
"observation.observation_s8","chr17-region_207",2,"chr17",59331689,83095119,"Subclone_02","loss"
"observation.observation_s8","chr19-region_209",2,"chr19",507497,8577577,"Subclone_02","loss"
"observation.observation_s8","chr19-region_211",2,"chr19",42297033,48966878,"Subclone_02","loss"
"observation.observation_s8","chr20-region_213",4,"chr20",407498,37527931,"Subclone_02","gain"
"observation.observation_s8","chr20-region_214",5,"chr20",37693955,64287821,"Subclone_02","gain"
"observation.observation_s8","chr22-region_216",2,"chr22",17084954,50628173,"Subclone_02","loss"
"observation.observation_s5","chr1-region_217",2,"chr1",944204,28643085,"Subclone_03","loss"
"observation.observation_s5","chr1-region_219",4,"chr1",32680360,36483278,"Subclone_03","gain"
"observation.observation_s5","chr1-region_220",5,"chr1",37474552,53051703,"Subclone_03","gain"
"observation.observation_s5","chr1-region_221",4,"chr1",53226892,86748184,"Subclone_03","gain"
"observation.observation_s5","chr1-region_223",4,"chr1",150218417,152047907,"Subclone_03","gain"
"observation.observation_s5","chr1-region_224",5,"chr1",153357854,160215376,"Subclone_03","gain"
"observation.observation_s5","chr1-region_225",4,"chr1",160215715,173868882,"Subclone_03","gain"
"observation.observation_s5","chr1-region_227",4,"chr1",206767602,224193441,"Subclone_03","gain"
"observation.observation_s5","chr1-region_228",5,"chr1",224356850,247449108,"Subclone_03","gain"
"observation.observation_s5","chr2-region_230",4,"chr2",161136908,181536187,"Subclone_03","gain"
"observation.observation_s5","chr2-region_231",5,"chr2",182716041,203447723,"Subclone_03","gain"
"observation.observation_s5","chr2-region_232",4,"chr2",203394345,219400022,"Subclone_03","gain"
"observation.observation_s5","chr3-region_234",4,"chr3",3144628,38137242,"Subclone_03","gain"
"observation.observation_s5","chr4-region_237",4,"chr4",105369077,189963204,"Subclone_03","gain"
"observation.observation_s5","chr6-region_240",2,"chr6",26365159,33206831,"Subclone_03","loss"
"observation.observation_s5","chr6-region_242",4,"chr6",34757406,38154624,"Subclone_03","gain"
"observation.observation_s5","chr6-region_243",5,"chr6",38675925,87264196,"Subclone_03","gain"
"observation.observation_s5","chr6-region_244",4,"chr6",87675072,143340304,"Subclone_03","gain"
"observation.observation_s5","chr7-region_246",4,"chr7",192969,100608175,"Subclone_03","gain"
"observation.observation_s5","chr8-region_249",4,"chr8",38988808,56993844,"Subclone_03","gain"
"observation.observation_s5","chr8-region_250",5,"chr8",58552924,128101253,"Subclone_03","gain"
"observation.observation_s5","chr8-region_251",4,"chr8",129839593,145056030,"Subclone_03","gain"
"observation.observation_s5","chr9-region_252",4,"chr9",14521,35737004,"Subclone_03","gain"
"observation.observation_s5","chr10-region_254",2,"chr10",134465,68946847,"Subclone_03","loss"
"observation.observation_s5","chr11-region_256",4,"chr11",167784,842545,"Subclone_03","gain"
"observation.observation_s5","chr11-region_258",4,"chr11",67266410,95832693,"Subclone_03","gain"
"observation.observation_s5","chr11-region_260",2,"chr11",117199321,134253370,"Subclone_03","loss"
"observation.observation_s5","chr12-region_262",2,"chr12",6946468,26833198,"Subclone_03","loss"
"observation.observation_s5","chr12-region_264",4,"chr12",108645109,112933222,"Subclone_03","gain"
"observation.observation_s5","chr12-region_265",5,"chr12",112938352,132956304,"Subclone_03","gain"
"observation.observation_s5","chr13-region_267",2,"chr13",47936491,114305817,"Subclone_03","loss"
"observation.observation_s5","chr14-region_269",2,"chr14",32076114,92748702,"Subclone_03","loss"
"observation.observation_s5","chr15-region_271",2,"chr15",22838641,55408510,"Subclone_03","loss"
"observation.observation_s5","chr16-region_273",4,"chr16",46407,4847342,"Subclone_03","gain"
"observation.observation_s5","chr16-region_275",4,"chr16",69706996,89968060,"Subclone_03","gain"
"observation.observation_s5","chr17-region_277",2,"chr17",16380798,39204727,"Subclone_03","loss"
"observation.observation_s5","chr19-region_280",2,"chr19",507497,7670454,"Subclone_03","loss"
"observation.observation_s5","chr19-region_282",2,"chr19",41454169,49015995,"Subclone_03","loss"
"observation.observation_s5","chr19-region_284",4,"chr19",55262231,58558960,"Subclone_03","gain"
"observation.observation_s5","chr20-region_285",4,"chr20",407498,45948023,"Subclone_03","gain"
"observation.observation_s5","chr20-region_286",5,"chr20",46118272,64287821,"Subclone_03","gain"
"observation.observation_s5","chr22-region_289",2,"chr22",30606838,50628173,"Subclone_03","loss"
"observation.observation_s20","chr1-region_290",2,"chr1",944204,31944856,"Subclone_02","loss"
"observation.observation_s20","chr1-region_292",4,"chr1",39026318,86748184,"Subclone_02","gain"
"observation.observation_s20","chr1-region_294",4,"chr1",151982915,162529629,"Subclone_02","gain"
"observation.observation_s20","chr1-region_296",4,"chr1",201483530,219212865,"Subclone_02","gain"
"observation.observation_s20","chr1-region_297",5,"chr1",219968601,247449108,"Subclone_02","gain"
"observation.observation_s20","chr2-region_299",4,"chr2",159803355,218346793,"Subclone_02","gain"
"observation.observation_s20","chr3-region_302",4,"chr3",129314771,182921635,"Subclone_02","gain"
"observation.observation_s20","chr4-region_305",4,"chr4",118278709,189963204,"Subclone_02","gain"
"observation.observation_s20","chr5-region_307",4,"chr5",177511577,181248096,"Subclone_02","gain"
"observation.observation_s20","chr6-region_309",2,"chr6",26124145,33299324,"Subclone_02","loss"
"observation.observation_s20","chr6-region_311",4,"chr6",38675925,110254275,"Subclone_02","gain"
"observation.observation_s20","chr7-region_314",4,"chr7",44826791,100155944,"Subclone_02","gain"
"observation.observation_s20","chr8-region_316",4,"chr8",614746,73048122,"Subclone_02","gain"
"observation.observation_s20","chr8-region_317",5,"chr8",73290267,145056030,"Subclone_02","gain"
"observation.observation_s20","chr9-region_318",4,"chr9",14521,34620523,"Subclone_02","gain"
"observation.observation_s20","chr9-region_320",2,"chr9",85546539,137870016,"Subclone_02","loss"
"observation.observation_s20","chr10-region_321",2,"chr10",134465,68946847,"Subclone_02","loss"
"observation.observation_s20","chr10-region_323",2,"chr10",100523740,133421307,"Subclone_02","loss"
"observation.observation_s20","chr11-region_324",5,"chr11",167784,812880,"Subclone_02","gain"
"observation.observation_s20","chr11-region_325",4,"chr11",818902,4093210,"Subclone_02","gain"
"observation.observation_s20","chr11-region_327",4,"chr11",66563463,102470384,"Subclone_02","gain"
"observation.observation_s20","chr11-region_329",2,"chr11",118304545,134253370,"Subclone_02","loss"
"observation.observation_s20","chr12-region_331",4,"chr12",49556544,56688408,"Subclone_02","gain"
"observation.observation_s20","chr12-region_333",4,"chr12",112405190,132956304,"Subclone_02","gain"
"observation.observation_s20","chr16-region_337",5,"chr16",46407,1827194,"Subclone_02","gain"
"observation.observation_s20","chr16-region_338",4,"chr16",1959508,4690974,"Subclone_02","gain"
"observation.observation_s20","chr16-region_340",4,"chr16",71845996,89968060,"Subclone_02","gain"
"observation.observation_s20","chr17-region_341",2,"chr17",439978,41692668,"Subclone_02","loss"
"observation.observation_s20","chr19-region_344",2,"chr19",507497,7687703,"Subclone_02","loss"
"observation.observation_s20","chr19-region_346",4,"chr19",49906825,58558960,"Subclone_02","gain"
"observation.observation_s20","chr20-region_347",4,"chr20",407498,37527931,"Subclone_02","gain"
"observation.observation_s20","chr20-region_348",5,"chr20",37693955,64287821,"Subclone_02","gain"
"observation.observation_s20","chr22-region_350",2,"chr22",17084954,50628173,"Subclone_02","loss"
"observation.observation_s21","chr2-region_352",4,"chr2",217730,27217178,"Subclone_01","gain"
"observation.observation_s21","chr6-region_358",2,"chr6",21592768,34888089,"Subclone_01","loss"
"observation.observation_s21","chr7-region_361",4,"chr7",76326794,103099764,"Subclone_01","gain"
"observation.observation_s21","chr9-region_365",4,"chr9",125146573,137870016,"Subclone_01","gain"
"observation.observation_s6","chr1-region_380",4,"chr1",45012147,89065360,"Subclone_01","gain"
"observation.observation_s6","chr2-region_382",4,"chr2",217730,37738468,"Subclone_01","gain"
"observation.observation_s6","chr6-region_388",2,"chr6",30066709,36928964,"Subclone_01","loss"
"observation.observation_s6","chr7-region_391",4,"chr7",77193371,129169697,"Subclone_01","gain"
"observation.observation_s6","chr9-region_395",4,"chr9",110243811,137870016,"Subclone_01","gain"
"observation.observation_s6","chr11-region_397",4,"chr11",167784,36289449,"Subclone_01","gain"
"observation.observation_s6","chr12-region_399",4,"chr12",280129,21518408,"Subclone_01","gain"
"observation.observation_s6","chr13-region_402",4,"chr13",40729135,114305817,"Subclone_01","gain"
"observation.observation_s6","chr14-region_403",4,"chr14",20311368,22835037,"Subclone_01","gain"
"observation.observation_s6","chr15-region_406",4,"chr15",42412823,68198603,"Subclone_01","gain"
"observation.observation_s6","chr17-region_410",2,"chr17",28719393,38853843,"Subclone_01","loss"
"observation.observation_s6","chr19-region_414",2,"chr19",50505998,58558960,"Subclone_01","loss"
"observation.observation_s6","chr20-region_415",4,"chr20",407498,36551447,"Subclone_01","gain"
"observation.observation_s14","chr1-region_420",2,"chr1",1751232,30908761,"Subclone_01","loss"
"observation.observation_s14","chr1-region_422",4,"chr1",35176378,38874105,"Subclone_01","gain"
"observation.observation_s14","chr1-region_423",5,"chr1",38991223,51273455,"Subclone_01","gain"
"observation.observation_s14","chr1-region_424",4,"chr1",51354263,85259672,"Subclone_01","gain"
"observation.observation_s14","chr1-region_426",4,"chr1",151050971,153977688,"Subclone_01","gain"
"observation.observation_s14","chr1-region_427",5,"chr1",153981617,156705816,"Subclone_01","gain"
"observation.observation_s14","chr1-region_428",4,"chr1",156721891,167791919,"Subclone_01","gain"
"observation.observation_s14","chr1-region_430",4,"chr1",207321508,247449108,"Subclone_01","gain"
"observation.observation_s14","chr2-region_432",4,"chr2",171522247,219209651,"Subclone_01","gain"
"observation.observation_s14","chr3-region_434",4,"chr3",3144628,42804531,"Subclone_01","gain"
"observation.observation_s14","chr4-region_437",4,"chr4",106315544,189963204,"Subclone_01","gain"
"observation.observation_s14","chr6-region_440",2,"chr6",26055787,33212722,"Subclone_01","loss"
"observation.observation_s14","chr6-region_442",4,"chr6",35468408,143340304,"Subclone_01","gain"
"observation.observation_s14","chr7-region_445",4,"chr7",30284307,100436565,"Subclone_01","gain"
"observation.observation_s14","chr8-region_448",4,"chr8",38163321,56218798,"Subclone_01","gain"
"observation.observation_s14","chr8-region_449",5,"chr8",56957933,125091840,"Subclone_01","gain"
"observation.observation_s14","chr8-region_450",4,"chr8",125091679,145056030,"Subclone_01","gain"
"observation.observation_s14","chr9-region_451",4,"chr9",14521,35103195,"Subclone_01","gain"
"observation.observation_s14","chr10-region_453",2,"chr10",134465,63521850,"Subclone_01","loss"
"observation.observation_s14","chr11-region_456",4,"chr11",67583595,96389923,"Subclone_01","gain"
"observation.observation_s14","chr11-region_458",2,"chr11",118359585,134253370,"Subclone_01","loss"
"observation.observation_s14","chr12-region_460",2,"chr12",6946468,26125127,"Subclone_01","loss"
"observation.observation_s14","chr12-region_462",4,"chr12",109850943,113185479,"Subclone_01","gain"
"observation.observation_s14","chr12-region_463",5,"chr12",113221050,132956304,"Subclone_01","gain"
"observation.observation_s14","chr14-region_466",2,"chr14",24439766,91867536,"Subclone_01","loss"
"observation.observation_s14","chr15-region_469",2,"chr15",29264992,58861900,"Subclone_01","loss"
"observation.observation_s14","chr16-region_471",4,"chr16",46407,4802950,"Subclone_01","gain"
"observation.observation_s14","chr16-region_473",4,"chr16",71845996,89968060,"Subclone_01","gain"
"observation.observation_s14","chr17-region_475",2,"chr17",28714281,38764231,"Subclone_01","loss"
"observation.observation_s14","chr17-region_477",2,"chr17",68247574,83095119,"Subclone_01","loss"
"observation.observation_s14","chr19-region_479",2,"chr19",507497,5904006,"Subclone_01","loss"
"observation.observation_s14","chr19-region_481",2,"chr19",11574660,17281249,"Subclone_01","loss"
"observation.observation_s14","chr19-region_483",4,"chr19",54448887,58558960,"Subclone_01","gain"
"observation.observation_s14","chr20-region_484",4,"chr20",407498,17682295,"Subclone_01","gain"
"observation.observation_s14","chr20-region_486",4,"chr20",36306336,49295738,"Subclone_01","gain"
"observation.observation_s14","chr20-region_487",5,"chr20",49632945,64287821,"Subclone_01","gain"
"observation.observation_s14","chr22-region_490",2,"chr22",32387582,50628173,"Subclone_01","loss"
"observation.observation_s2","chr1-region_491",2,"chr1",944204,28582983,"Subclone_03","loss"
"observation.observation_s2","chr1-region_493",4,"chr1",32680360,38005606,"Subclone_03","gain"
"observation.observation_s2","chr1-region_494",5,"chr1",38009258,50960263,"Subclone_03","gain"
"observation.observation_s2","chr1-region_495",4,"chr1",51236271,84497790,"Subclone_03","gain"
"observation.observation_s2","chr1-region_497",4,"chr1",146459449,151401944,"Subclone_03","gain"
"observation.observation_s2","chr1-region_498",5,"chr1",151402724,161125445,"Subclone_03","gain"
"observation.observation_s2","chr1-region_499",4,"chr1",161120974,224193441,"Subclone_03","gain"
"observation.observation_s2","chr1-region_500",5,"chr1",224356850,247449108,"Subclone_03","gain"
"observation.observation_s2","chr2-region_502",4,"chr2",162318840,219209651,"Subclone_03","gain"
"observation.observation_s2","chr3-region_504",4,"chr3",3144628,17090594,"Subclone_03","gain"
"observation.observation_s2","chr4-region_507",4,"chr4",109740694,189963204,"Subclone_03","gain"
"observation.observation_s2","chr6-region_510",2,"chr6",19837386,33299324,"Subclone_03","loss"
"observation.observation_s2","chr6-region_512",4,"chr6",36676460,87264196,"Subclone_03","gain"
"observation.observation_s2","chr7-region_514",4,"chr7",192969,100586153,"Subclone_03","gain"
"observation.observation_s2","chr8-region_517",4,"chr8",47260575,70608387,"Subclone_03","gain"
"observation.observation_s2","chr8-region_518",5,"chr8",73008864,145056030,"Subclone_03","gain"
"observation.observation_s2","chr9-region_519",4,"chr9",14521,36163913,"Subclone_03","gain"
"observation.observation_s2","chr10-region_521",2,"chr10",134465,68946847,"Subclone_03","loss"
"observation.observation_s2","chr11-region_524",4,"chr11",66520637,102233423,"Subclone_03","gain"
"observation.observation_s2","chr11-region_526",2,"chr11",119018432,134253370,"Subclone_03","loss"
"observation.observation_s2","chr12-region_528",4,"chr12",49002274,57520517,"Subclone_03","gain"
"observation.observation_s2","chr12-region_530",4,"chr12",110627841,132956304,"Subclone_03","gain"
"observation.observation_s2","chr13-region_532",2,"chr13",72708357,114305817,"Subclone_03","loss"
"observation.observation_s2","chr15-region_535",4,"chr15",65726054,78949574,"Subclone_03","gain"
"observation.observation_s2","chr16-region_537",4,"chr16",46407,4510347,"Subclone_03","gain"
"observation.observation_s2","chr16-region_539",4,"chr16",69706996,89968060,"Subclone_03","gain"
"observation.observation_s2","chr17-region_541",2,"chr17",7217125,39636626,"Subclone_03","loss"
"observation.observation_s2","chr17-region_543",2,"chr17",68035519,83095119,"Subclone_03","loss"
"observation.observation_s2","chr19-region_545",2,"chr19",507497,5915877,"Subclone_03","loss"
"observation.observation_s2","chr19-region_547",4,"chr19",51225064,58558960,"Subclone_03","gain"
"observation.observation_s2","chr20-region_548",4,"chr20",407498,45456934,"Subclone_03","gain"
"observation.observation_s2","chr20-region_549",5,"chr20",45469706,64287821,"Subclone_03","gain"
"observation.observation_s2","chr22-region_552",2,"chr22",31281593,50628173,"Subclone_03","loss"
"observation.observation_s12","chr1-region_553",2,"chr1",944204,29181987,"Subclone_04","loss"
"observation.observation_s12","chr1-region_555",4,"chr1",34712737,40771603,"Subclone_04","gain"
"observation.observation_s12","chr1-region_556",5,"chr1",40861051,77759852,"Subclone_04","gain"
"observation.observation_s12","chr1-region_557",4,"chr1",77944055,93180728,"Subclone_04","gain"
"observation.observation_s12","chr1-region_559",4,"chr1",149782671,151327715,"Subclone_04","gain"
"observation.observation_s12","chr1-region_560",5,"chr1",151364302,161158856,"Subclone_04","gain"
"observation.observation_s12","chr1-region_561",4,"chr1",161171310,205775460,"Subclone_04","gain"
"observation.observation_s12","chr1-region_562",5,"chr1",206203345,247449108,"Subclone_04","gain"
"observation.observation_s12","chr2-region_564",2,"chr2",74458329,96145440,"Subclone_04","loss"
"observation.observation_s12","chr2-region_566",4,"chr2",161136908,218405941,"Subclone_04","gain"
"observation.observation_s12","chr3-region_569",2,"chr3",186046308,197956610,"Subclone_04","loss"
"observation.observation_s12","chr4-region_571",4,"chr4",121801317,189963204,"Subclone_04","gain"
"observation.observation_s12","chr5-region_573",4,"chr5",177511577,181248096,"Subclone_04","gain"
"observation.observation_s12","chr6-region_575",2,"chr6",26124145,33276510,"Subclone_04","loss"
"observation.observation_s12","chr6-region_577",4,"chr6",38675925,107958189,"Subclone_04","gain"
"observation.observation_s12","chr7-region_580",4,"chr7",44876293,99500324,"Subclone_04","gain"
"observation.observation_s12","chr8-region_582",4,"chr8",614746,74029087,"Subclone_04","gain"
"observation.observation_s12","chr8-region_583",5,"chr8",76980258,145056030,"Subclone_04","gain"
"observation.observation_s12","chr9-region_584",4,"chr9",14521,34651035,"Subclone_04","gain"
"observation.observation_s12","chr9-region_586",2,"chr9",86264546,133356676,"Subclone_04","loss"
"observation.observation_s12","chr10-region_588",2,"chr10",134465,68946847,"Subclone_04","loss"
"observation.observation_s12","chr10-region_590",2,"chr10",97332497,133421307,"Subclone_04","loss"
"observation.observation_s12","chr11-region_591",4,"chr11",167784,1984522,"Subclone_04","gain"
"observation.observation_s12","chr11-region_593",4,"chr11",66337333,103092215,"Subclone_04","gain"
"observation.observation_s12","chr11-region_595",2,"chr11",118359585,134253370,"Subclone_04","loss"
"observation.observation_s12","chr12-region_597",4,"chr12",49707725,56688408,"Subclone_04","gain"
"observation.observation_s12","chr12-region_599",4,"chr12",112160188,132956304,"Subclone_04","gain"
"observation.observation_s12","chr16-region_603",5,"chr16",46407,1987749,"Subclone_04","gain"
"observation.observation_s12","chr16-region_604",4,"chr16",2009926,4802950,"Subclone_04","gain"
"observation.observation_s12","chr16-region_606",4,"chr16",69565094,89968060,"Subclone_04","gain"
"observation.observation_s12","chr17-region_607",2,"chr17",439978,40648508,"Subclone_04","loss"
"observation.observation_s12","chr17-region_609",2,"chr17",59331689,83095119,"Subclone_04","loss"
"observation.observation_s12","chr19-region_611",2,"chr19",507497,8005659,"Subclone_04","loss"
"observation.observation_s12","chr19-region_613",4,"chr19",49976467,58558960,"Subclone_04","gain"
"observation.observation_s12","chr20-region_614",4,"chr20",407498,37241623,"Subclone_04","gain"
"observation.observation_s12","chr20-region_615",5,"chr20",37492472,64287821,"Subclone_04","gain"
"observation.observation_s12","chr22-region_617",2,"chr22",17084954,50628173,"Subclone_04","loss"
"observation.observation_s16","chr1-region_618",2,"chr1",944204,31364953,"Subclone_01","loss"
"observation.observation_s16","chr1-region_620",4,"chr1",37492575,89272804,"Subclone_01","gain"
"observation.observation_s16","chr1-region_622",4,"chr1",151156664,161125445,"Subclone_01","gain"
"observation.observation_s16","chr1-region_624",4,"chr1",202878957,220148041,"Subclone_01","gain"
"observation.observation_s16","chr1-region_625",5,"chr1",222618086,247449108,"Subclone_01","gain"
"observation.observation_s16","chr2-region_627",4,"chr2",169584340,216664436,"Subclone_01","gain"
"observation.observation_s16","chr3-region_630",4,"chr3",136336233,170181749,"Subclone_01","gain"
