dataset_id,analysis_role,cluster,final_cell_type,cell_subtype,cell_state,annotation_status,annotation_confidence,n_cells,n_samples,dominant_sample,dominant_sample_fraction,sample_entropy,patient_enriched,canonical_markers,top20_markers,canonical_support_n,high_specific_support_n,second_candidate,incompatible_lineage_program,n_significant_markers,notes
"GSE151214","normal_fallopian_tube_reference","20","Pericyte","","Stress_response","READY_HIGH_CONFIDENCE","High",550,11,"FT-SA23510",0.2,0.854857735375204,FALSE,"MYH11;TAGLN;MYL9;ACTA2;CNN1","HIGD1B;COX4I2;RERGL;NDUFA4L2;FHL5;PLN;STEAP4;CDH6;ITGA7;RGS5;NTRK2;FRZB;TINAGL1;MT1A;NPY1R;MT1M;SORBS2;NOTCH3;MYH11;C2orf40",5,4,"Pericyte",FALSE,467,"Existing post-QC/doublet object; old cluster IDs group cells only and were not hardcoded to labels. Excluded from tumor TME, ligand-receptor meta-analysis, malignant-state inference and CNV analysis."
"GSE151214","normal_fallopian_tube_reference","21","Ciliated_epithelial","","None","READY_HIGH_CONFIDENCE","High",529,10,"FT-SA23514",0.608695652173913,0.470170984577415,FALSE,"CFAP157;TPPP3;RSPH1;PIFO;C20orf85;CFAP126;FOXJ1;CAPS","SCN1A;PTPRT;RP1;DCDC1;TMED6;C6;DNAH7;MAATS1;MUC15;FAM227A;ZDHHC11;CDHR4;CFAP47;TMEM212;ECT2L;CFAP43;DNAH3;LRRIQ1;CES4A;DNAAF1",8,4,"Secretory_epithelial",FALSE,1719,"Existing post-QC/doublet object; old cluster IDs group cells only and were not hardcoded to labels. Excluded from tumor TME, ligand-receptor meta-analysis, malignant-state inference and CNV analysis."
"GSE151214","normal_fallopian_tube_reference","22","NK_cell","","None","READY_HIGH_CONFIDENCE","High",427,6,"FT-SA23515",0.306791569086651,0.647950717339015,FALSE,"FGFBP2;KLRF1;NKG7;PRF1;GNLY;KLRD1;XCL2","CX3CR1;FGFBP2;FCGR3A;KLRF1;PLEK;ADGRG1;TTC38;NKG7;PRF1;CMC1;KLRG1;FGR;PLAC8;GNLY;CCL4L2;FCRL6;GZMB;HAVCR2;KLRD1;GZMH",7,3,"Gamma_delta_T",FALSE,316,"Existing post-QC/doublet object; old cluster IDs group cells only and were not hardcoded to labels. Excluded from tumor TME, ligand-receptor meta-analysis, malignant-state inference and CNV analysis."
"GSE151214","normal_fallopian_tube_reference","23","Smooth_muscle","","None","READY_HIGH_CONFIDENCE","High",400,10,"FT5414",0.7,0.471817395378828,FALSE,"DES;CNN1;MYL9;TAGLN;ACTA2","IGKC;DES;MYLK;CNN1;TPM2;MYL9;TAGLN;TPM1;RAMP1;ACTA2;CSRP1;PENK;MDK;NUPR1;SOD3;TCEAL4;MGP;FXYD1;DSTN;BEX3",5,3,"Fibroblast",FALSE,78,"Existing post-QC/doublet object; old cluster IDs group cells only and were not hardcoded to labels. Excluded from tumor TME, ligand-receptor meta-analysis, malignant-state inference and CNV analysis."
"GSE151214","normal_fallopian_tube_reference","24","Ciliated_epithelial","","None","READY_HIGH_CONFIDENCE","High",172,4,"FT-SA23508",0.476744186046512,0.394960055043744,FALSE,"FOXJ1;CAPS;PIFO;RSPH1;C20orf85;TPPP3","C5orf49;FOXJ1;ODF3B;CAPS;C9orf24;TFF3;BIK;SNTN;HIST1H1C;RASAL3;PIFO;NSMCE3;SLBP;C11orf88;C12orf75;MORN2;AAED1;AL357093.2;DUSP2;STK17A",6,4,"T_cell",FALSE,203,"Existing post-QC/doublet object; old cluster IDs group cells only and were not hardcoded to labels. Excluded from tumor TME, ligand-receptor meta-analysis, malignant-state inference and CNV analysis."
"GSE151214","normal_fallopian_tube_reference","25","Lymphatic_endothelial","","None","READY_HIGH_CONFIDENCE","High",159,9,"FT03",0.308176100628931,0.735487097826135,FALSE,"CCL21;PROX1;FLT4;LYVE1;CLDN5;PDPN","CCL21;MMRN1;TBX1;PROX1;FLT4;LYVE1;GPM6A;SLC24A1;ROBO4;CLDN5;ECSCR;SMAD1;NRP2;LMO2;TM4SF18;CAVIN2;TIE1;PPFIBP1;LOX;EFNA5",6,4,"Blood_endothelial",FALSE,255,"Existing post-QC/doublet object; old cluster IDs group cells only and were not hardcoded to labels. Excluded from tumor TME, ligand-receptor meta-analysis, malignant-state inference and CNV analysis."
"GSE151214","normal_fallopian_tube_reference","3","T_cell","","Stress_response","READY_HIGH_CONFIDENCE","High",3552,7,"FT-SA23506",0.49634009009009,0.525894694741784,FALSE,"CD2;CD3E;CD3D;TRBC2;TRBC1;CD3G;LCK","IFNG;CCL4L2;CCL4;GZMK;TXNIP;SIT1;CRTAM;XCL2;MT1X;CD27;THEMIS;XCL1;PPP1R2C;MRPL1;CYTOR;ZFAND2A;DNAJB1;GIMAP4;GZMA;NEU1",7,4,"NK_cell",FALSE,403,"Existing post-QC/doublet object; old cluster IDs group cells only and were not hardcoded to labels. Excluded from tumor TME, ligand-receptor meta-analysis, malignant-state inference and CNV analysis."
"GSE151214","normal_fallopian_tube_reference","4","Fibroblast","","Stress_response;Activation","REVIEW_PATIENT_ENRICHED","High",3063,6,"FT-SA23510",0.982696702579171,0.041415478562515,TRUE,"COL1A1;COL3A1;LUM;COL1A2;DCN;PDGFRA","ARC;C11orf96;WNT4;SFRP4;WNT2;MOXD1;VASN;ENTPD2;HSD11B2;NPPC;MEDAG;TWIST2;SNAI2;PGF;MMP11;FOSL1;SPSB1;NDN;HSPB6;CRABP2",6,4,"Smooth_muscle",FALSE,1897,"Existing post-QC/doublet object; old cluster IDs group cells only and were not hardcoded to labels. Excluded from tumor TME, ligand-receptor meta-analysis, malignant-state inference and CNV analysis."
"GSE151214","normal_fallopian_tube_reference","5","Fibroblast","","None","READY_HIGH_CONFIDENCE","High",2742,11,"FT-SA24027",0.772428884026258,0.338697176390623,FALSE,"PDGFRA;DCN;COL3A1;LUM;COL1A2;COL1A1","BCHE;ABCA10;AC007952.4;FGF7;POSTN;RNASE4;ABCA8;PENK;MIR503HG;FBN1;LTBP1;PAPPA;ECM2;PEG3;OGN;DPT;PDGFRA;GLT8D2;ADH1B;CCDC80",6,4,"Smooth_muscle",FALSE,980,"Existing post-QC/doublet object; old cluster IDs group cells only and were not hardcoded to labels. Excluded from tumor TME, ligand-receptor meta-analysis, malignant-state inference and CNV analysis."
"GSE151214","normal_fallopian_tube_reference","6","Gamma_delta_T","","None","READY_HIGH_CONFIDENCE","High",2185,10,"FT-SA23515",0.430205949656751,0.535078570752222,FALSE,"KLRD1;GNLY;XCL1;XCL2;NKG7;PRF1","ENTPD1;KLRC2;CD160;KIR2DL4;TRDC;SH2D1B;KRT81;LAT2;FCRL6;TMIGD2;TRGC1;KLRD1;TRGC2;GNLY;B3GNT7;SLAMF7;TRG-AS1;KLRC1;ZNF683;PTPN6",6,4,"T_cell",FALSE,644,"Existing post-QC/doublet object; old cluster IDs group cells only and were not hardcoded to labels. Excluded from tumor TME, ligand-receptor meta-analysis, malignant-state inference and CNV analysis."
"GSE151214","normal_fallopian_tube_reference","7","Fibroblast","","Stress_response;Activation","READY_HIGH_CONFIDENCE","High",2163,11,"FT03",0.535829865926953,0.506277362748352,FALSE,"PDGFRA;DCN;LUM;COL1A2;COL3A1;COL1A1","SFRP2;CFD;RARRES1;APOD;C7;SRPX;AC116366.1;MRNIP;CXCL12;NOVA1;GSN;ADH1B;PLEKHH2;MGP;PDGFRA;MAFB;COL6A2;ADM;CTSF;ADAMTS1",6,4,"Smooth_muscle",FALSE,452,"Existing post-QC/doublet object; old cluster IDs group cells only and were not hardcoded to labels. Excluded from tumor TME, ligand-receptor meta-analysis, malignant-state inference and CNV analysis."
"GSE151214","normal_fallopian_tube_reference","8","Ciliated_epithelial","","None","READY_HIGH_CONFIDENCE","High",1947,12,"FT5414",0.3256291730868,0.760683342612064,FALSE,"CFAP126;C20orf85;CAPS;PIFO;RSPH1;TPPP3;FOXJ1;CFAP157","SCGB1D4;OMG;C11orf97;C11orf88;ROPN1L;WDR38;C9orf24;AL357093.2;CFAP126;ANKRD66;C5orf49;RIIAD1;GSTA1;DYNLRB2;C20orf85;CAPS;AKAP14;AL121899.1;CFAP53;C9orf135",8,4,"Secretory_epithelial",FALSE,319,"Existing post-QC/doublet object; old cluster IDs group cells only and were not hardcoded to labels. Excluded from tumor TME, ligand-receptor meta-analysis, malignant-state inference and CNV analysis."
"GSE151214","normal_fallopian_tube_reference","9","NK_cell","","None","READY_HIGH_CONFIDENCE","High",1937,8,"FT-SA23508",0.392359318533815,0.528333553662541,FALSE,"KLRF1;KLRD1;GNLY;XCL2;PRF1;NKG7;XCL1","KRT86;B3GNT7;KRT81;KIR2DL4;TNFRSF18;SH2D1B;CLIC3;KLRF1;CSF1;LAT2;KLRC1;SLC16A3;TMIGD2;MATK;TYROBP;KLRD1;GNLY;AREG;TRDC;CD160",7,4,"Gamma_delta_T",FALSE,511,"Existing post-QC/doublet object; old cluster IDs group cells only and were not hardcoded to labels. Excluded from tumor TME, ligand-receptor meta-analysis, malignant-state inference and CNV analysis."
