dataset_id,parent_broad_type,clustering_strategy,cluster,n_cells,n_samples,n_patients,dominant_sample,dominant_sample_fraction,suggested_broad_cell_type,canonical_evidence_strength,canonical_markers_present,second_candidate,cycling_state,cycling_markers_present,n_significant_markers,marker_status,lineage_conflict_flag,top20_significant_markers,top50_significant_markers,manual_cell_type,manual_cell_subtype,manual_confidence,manual_notes,evidence_status,second_support_n
"GSE158722","Epithelial","A_uncorrected","Epithelial__A_uncorrected__18",1247,16,13,"P19_Post-treatment",0.97514033680834,"Ambiguous","low","","T_cell","Non_cycling","",NA,"REVIEW_AMBIGUOUS_LINEAGE",FALSE,NA,NA,"","","","","INSUFFICIENT_CANONICAL_SUPPORT",0
"GSE158722","Epithelial","A_uncorrected","Epithelial__A_uncorrected__19",956,5,5,"P18_Post-treatment",0.993723849372385,"Ambiguous","low","","T_cell","Non_cycling","",NA,"REVIEW_AMBIGUOUS_LINEAGE",FALSE,NA,NA,"","","","","INSUFFICIENT_CANONICAL_SUPPORT",0
"GSE158722","Epithelial","A_uncorrected","Epithelial__A_uncorrected__2",4926,27,19,"P21_Post-treatment",0.969955339017458,"Ambiguous","low","","T_cell","Non_cycling","",NA,"REVIEW_AMBIGUOUS_LINEAGE",FALSE,NA,NA,"","","","","INSUFFICIENT_CANONICAL_SUPPORT",0
"GSE158722","Epithelial","A_uncorrected","Epithelial__A_uncorrected__20",927,12,10,"P04_Time2",0.812297734627832,"Ambiguous","low","PAX8","T_cell","Non_cycling","",812,"REVIEW_AMBIGUOUS_LINEAGE",FALSE,"COL22A1;SLC7A2;KCNJ16;ABCC3;PLEKHH2;FN3K;ARL17A;ERN1;CPM;STEAP2;CXCL1;PLAGL1;IGFBP5;PREX2;CLEC2D;SULT1C2;SIPA1L2;IL15;PRH1;STRADA","COL22A1;SLC7A2;KCNJ16;ABCC3;PLEKHH2;FN3K;ARL17A;ERN1;CPM;STEAP2;CXCL1;PLAGL1;IGFBP5;PREX2;CLEC2D;SULT1C2;SIPA1L2;IL15;PRH1;STRADA;EPS8;GCLM;PTPRM;LPGAT1;GULP1;RIMKLB;SORBS2;FLVCR1;MCOLN3;TSEN2;SESTD1;NRP1;ITPR2;PCNX2;COBLL1;KLHL42;IFI44L;ANGEL2;RABGAP1L;FZD3;STEAP4;PRKAA2;TNFRSF10B;LMCD1;DNAH14;RASSF8;CPEB4;CTTNBP2;GCNT2;DDHD1","","","","","INSUFFICIENT_CANONICAL_SUPPORT",0
"GSE158722","Epithelial","A_uncorrected","Epithelial__A_uncorrected__21",874,8,4,"P09_Time3",0.441647597254005,"Ambiguous","low","","T_cell","Non_cycling","",NA,"REVIEW_AMBIGUOUS_LINEAGE",FALSE,NA,NA,"","","","","INSUFFICIENT_CANONICAL_SUPPORT",0
"GSE158722","Epithelial","A_uncorrected","Epithelial__A_uncorrected__22",424,7,5,"P02_Time3",0.417452830188679,"Ambiguous","low","","T_cell","Non_cycling","",NA,"REVIEW_AMBIGUOUS_LINEAGE",FALSE,NA,NA,"","","","","INSUFFICIENT_CANONICAL_SUPPORT",0
"GSE158722","Epithelial","A_uncorrected","Epithelial__A_uncorrected__23",398,10,9,"P20_Post-treatment",0.952261306532663,"Ambiguous","low","","T_cell","Non_cycling","",NA,"REVIEW_AMBIGUOUS_LINEAGE",FALSE,NA,NA,"","","","","INSUFFICIENT_CANONICAL_SUPPORT",0
"GSE158722","Epithelial","A_uncorrected","Epithelial__A_uncorrected__24",376,2,2,"P24_Post-treatment",0.997340425531915,"Ambiguous","low","","T_cell","Non_cycling","",NA,"REVIEW_AMBIGUOUS_LINEAGE",FALSE,NA,NA,"","","","","INSUFFICIENT_CANONICAL_SUPPORT",0
"GSE158722","Epithelial","A_uncorrected","Epithelial__A_uncorrected__25",348,2,2,"P14_Pre-treatment",0.997126436781609,"Mixed_or_doublet","moderate","BANK1;HLA-DRA;CD74","Epithelial","Cycling_high","CENPF;CCNB1;CDK1;CCNB2;CDC20;STMN1;UBE2C;HMGB2;MKI67;TOP2A;PCNA;TUBA1B;TYMS",1497,"REVIEW_MIXED_OR_DOUBLET",TRUE,"HIST1H1A;CYSLTR1;CBR3;S100A7;CDKN3;ZNF486;ADGRG2;SOX15;PAPSS2;CENPA;CENPF;SPC25;SOX18;HPSE;PTTG1;HMMR;CDC25C;DPEP3;LMNB1;PBK","HIST1H1A;CYSLTR1;CBR3;S100A7;CDKN3;ZNF486;ADGRG2;SOX15;PAPSS2;CENPA;CENPF;SPC25;SOX18;HPSE;PTTG1;HMMR;CDC25C;DPEP3;LMNB1;PBK;NEURL1B;EPSTI1;NUF2;CRABP1;CCNB1;CDK1;HIST1H1B;HIST1H4C;TAF9B;CCNB2;BATF;IDO1;C10orf99;PXMP2;NEK2;PCLAF;KIF20A;CKAP2L;KCNE3;CDC20;F12;PLP2;MND1;DLGAP5;BIRC5;CEP55;GLIPR2;ZWINT;FAM83D;MX1","","","","","CONFLICTING_LINEAGE_EVIDENCE",2
"GSE158722","Epithelial","A_uncorrected","Epithelial__A_uncorrected__26",315,4,4,"P15_Pre-treatment",0.987301587301587,"Epithelial","moderate","PAX8;MUC1","T_cell","Non_cycling","",242,"READY_FOR_ANNOTATION",FALSE,"SAMD5;POU3F3;PLEKHN1;GDA;SIX3;EID3;MCF2L;SYTL2;PREX2;REV3L;PROM1;ATP11A;PGGHG;ZNF248;XDH;TMCC3;DST;C9orf85;CNKSR3;COBLL1","SAMD5;POU3F3;PLEKHN1;GDA;SIX3;EID3;MCF2L;SYTL2;PREX2;REV3L;PROM1;ATP11A;PGGHG;ZNF248;XDH;TMCC3;DST;C9orf85;CNKSR3;COBLL1;GLDC;SLC6A6;MUC4;COL27A1;MYO6;SPATA13;MET;HMGA2;POU5F1;LGR4;COL4A1;C18orf25;ASPH;PAX8;NPC1;B3GALNT2;SMAD4;MAP2K3;VPS37B;GLS;TEAD1;RBM5;FBXW7;TXNRD1;YOD1;SPECC1;ST5;IRS2;ZMYM2;FNBP4","","","","","SUPPORTED",0
"GSE158722","Epithelial","A_uncorrected","Epithelial__A_uncorrected__27",162,1,1,"P01_Time2",1,"Ambiguous","low","","T_cell","Non_cycling","",NA,"REVIEW_AMBIGUOUS_LINEAGE",FALSE,NA,NA,"","","","","INSUFFICIENT_CANONICAL_SUPPORT",0
"GSE158722","Epithelial","A_uncorrected","Epithelial__A_uncorrected__28",139,2,1,"P03_Time3",0.97841726618705,"Ambiguous","low","","T_cell","Non_cycling","",NA,"REVIEW_AMBIGUOUS_LINEAGE",FALSE,NA,NA,"","","","","INSUFFICIENT_CANONICAL_SUPPORT",0
"GSE158722","Epithelial","A_uncorrected","Epithelial__A_uncorrected__29",119,1,1,"P03_Time2",1,"Ambiguous","low","","T_cell","Non_cycling","",NA,"REVIEW_AMBIGUOUS_LINEAGE",FALSE,NA,NA,"","","","","INSUFFICIENT_CANONICAL_SUPPORT",0
"GSE158722","Epithelial","A_uncorrected","Epithelial__A_uncorrected__3",4924,22,15,"P07_Time2",0.881803411860276,"Epithelial","high","WFDC2;KRT8;KRT18;EPCAM","B_cell","Cycling_high","UBE2C;HMGB2;MKI67;TOP2A;STMN1;TUBA1B",419,"READY_FOR_ANNOTATION",FALSE,"SPP1;UBE2C;DMBT1;IGFBP7;PDLIM4;PDZK1IP1;GLOD4;PKP2;C1R;HLA-DPA1;LRRC75A;IFITM1;IFNGR1;LAP3;LYRM1;HLA-DPB1;TRNP1;IFI27;ISG15;B4GALT1","SPP1;UBE2C;DMBT1;IGFBP7;PDLIM4;PDZK1IP1;GLOD4;PKP2;C1R;HLA-DPA1;LRRC75A;IFITM1;IFNGR1;LAP3;LYRM1;HLA-DPB1;TRNP1;IFI27;ISG15;B4GALT1;SLC34A2;PSMB9;YWHAE;PCLAF;HMGB2;NXN;LY6E;FABP5;IFI6;CKS2;USP1;TYMP;HLA-DRB5;UBE2S;MRPS35;ANXA4;C2orf88;SDC4;IL6ST;PTTG1;HLA-DRA;YBX1;CNN3;PSMB8;TIMP1;TAP1;SAMHD1;BCAT1;CTSL;LYPD1","","","","","SUPPORTED",2
"GSE158722","Epithelial","A_uncorrected","Epithelial__A_uncorrected__30",38,9,7,"P23_Post-treatment",0.552631578947369,"Endothelial","high","CLDN5;RAMP3;RAMP2;EMCN;KDR;ESAM;VWF;ENG","Fibroblast","Non_cycling","",511,"REVIEW_LINEAGE_CONFLICT",TRUE,"CCL21;MYCT1;ECSCR;MMRN1;FABP4;ADGRL4;CLDN5;PROX1;RAMP3;BMX;RAMP2;TMEM204;SCN3A;GRAP;GIMAP8;GIMAP7;LDB2;GIMAP1;TFPI;CNRIP1","CCL21;MYCT1;ECSCR;MMRN1;FABP4;ADGRL4;CLDN5;PROX1;RAMP3;BMX;RAMP2;TMEM204;SCN3A;GRAP;GIMAP8;GIMAP7;LDB2;GIMAP1;TFPI;CNRIP1;TAL1;GIMAP4;LYVE1;TSPAN11;PCDH12;COX7A1;EMCN;FLT4;CDH13;NID1;CALCRL;CH25H;TIE1;FLI1;EGFL7;CDH5;KDR;GNG11;RHOJ;ZNF521;PDE2A;PLAC9;TBX1;BCL6B;KANK3;OLFM1;PMP22;PIEZO2;FLRT2;PGM5","","","","","SUPPORTED",2
"GSE158722","Epithelial","A_uncorrected","Epithelial__A_uncorrected__4",3469,30,20,"P04_Time1",0.520899394638224,"Epithelial","moderate","KRT8;WFDC2;KRT18","Pericyte","Non_cycling","",431,"READY_FOR_ANNOTATION",FALSE,"SST;ANXA6;IGFBP4;OXTR;H2AFJ;IGFBP5;RAMP1;LARP6;ERP27;MT1H;MT1G;EVA1B;ETFRF1;LDHB;KRT23;IGFBP2;MLF2;FTL;LSM10;MIF","SST;ANXA6;IGFBP4;OXTR;H2AFJ;IGFBP5;RAMP1;LARP6;ERP27;MT1H;MT1G;EVA1B;ETFRF1;LDHB;KRT23;IGFBP2;MLF2;FTL;LSM10;MIF;UCHL1;RAB40B;GAPDH;UBB;BRK1;TEN1;ZNF428;MORN2;TPI1;SIPA1;ELP5;CLU;MRPL12;DOK5;APOA1;STRAP;ARL8B;C4orf48;STARD10;SLC25A10;TXNDC17;NENF;APOE;PEG10;DEFB1;GPX4;DRAP1;BANF1;IFI27;TUBA4A","","","","","SUPPORTED",1
"GSE158722","Epithelial","A_uncorrected","Epithelial__A_uncorrected__5",3347,24,16,"P08_Time3",0.542874215715566,"Epithelial","high","KRT18;CLDN4;MUC16;KRT8","T_cell","Non_cycling","",558,"READY_FOR_ANNOTATION",FALSE,"REG1A;PDK4;MGP;TNFRSF25;OGT;DNAJA4;POGLUT1;TTC14;HSPA1A;UBE2G2;VPS13D;ZRANB2;TAF1C;PABPC1L;ASNS;STC2;KAT2A;SLC12A9;ZNF667;CTCFL","REG1A;PDK4;MGP;TNFRSF25;OGT;DNAJA4;POGLUT1;TTC14;HSPA1A;UBE2G2;VPS13D;ZRANB2;TAF1C;PABPC1L;ASNS;STC2;KAT2A;SLC12A9;ZNF667;CTCFL;ZNF512;URB1;TRMT13;GOLGA8B;EIF2B1;GOLGA8A;ATAD3B;PEX1;RNPC3;MCM3AP;ZNF121;HERPUD1;METTL3;SLC5A3;ATR;LARS;PGGHG;E2F4;DUSP1;TRIM73;HEATR1;ZDHHC23;LETMD1;QTRT1;RBM12B;CCDC80;THADA;ABCC5;GATAD1;BRD9","","","","","SUPPORTED",0
"GSE158722","Epithelial","A_uncorrected","Epithelial__A_uncorrected__6",2325,9,7,"P08_Time2",0.923870967741935,"Ambiguous","low","","T_cell","Non_cycling","",NA,"REVIEW_AMBIGUOUS_LINEAGE",FALSE,NA,NA,"","","","","INSUFFICIENT_CANONICAL_SUPPORT",0
"GSE158722","Epithelial","A_uncorrected","Epithelial__A_uncorrected__7",2269,12,10,"P12_Pre-treatment",0.989422653151168,"Epithelial","high","PAX8;CLDN4;MUC1;CLDN3;MSLN;KRT7;TACSTD2","Myeloid","Non_cycling","",608,"READY_FOR_ANNOTATION",FALSE,"HOXA9;HOXA5;HOXA3;AJAP1;HOXA4;NDUFA4L2;LCN12;NAT8L;SLC25A38;MTMR12;SYT8;COL9A2;GDF15;RAI14;COL23A1;TRAK1;ATF5;SKAP2;SLC12A7;ADRA2C","HOXA9;HOXA5;HOXA3;AJAP1;HOXA4;NDUFA4L2;LCN12;NAT8L;SLC25A38;MTMR12;SYT8;COL9A2;GDF15;RAI14;COL23A1;TRAK1;ATF5;SKAP2;SLC12A7;ADRA2C;GCNT2;ARRDC3;EXOC3;CREB5;MACC1;PLOD1;LRRIQ1;PLCB1;INTU;MYO10;LNPEP;MBD6;SPECC1;NREP;HES4;HIF3A;BRD9;RPS6KA2;TRIB3;RGL3;WSB1;ITGB8;RIC3;PGS1;DDIT4;HDAC9;RAB11FIP4;COL18A1;SLC2A1;UNC13D","","","","","SUPPORTED",1
"GSE158722","Epithelial","A_uncorrected","Epithelial__A_uncorrected__8",2081,13,13,"P11_Pre-treatment",0.991350312349832,"Epithelial","moderate","PAX8;EPCAM;WFDC2","Fibroblast","Cycling_high","CENPF;TUBA1B;STMN1",388,"READY_FOR_ANNOTATION",FALSE,"NPY;B4GALNT3;COL6A1;MAP2;DTNA;SLC6A12;WNK1;COL16A1;DPEP3;APOA1;CCDC77;ITFG2;UCHL1;ZNF692;TTC39C;SH3BP5L;FLCN;LAMA3;OSBPL1A;KDM5A","NPY;B4GALNT3;COL6A1;MAP2;DTNA;SLC6A12;WNK1;COL16A1;DPEP3;APOA1;CCDC77;ITFG2;UCHL1;ZNF692;TTC39C;SH3BP5L;FLCN;LAMA3;OSBPL1A;KDM5A;TULP3;NPC1;GPM6B;RNF43;ERC1;SCPEP1;MMP23B;ZNF397;APOE;TUBA1A;HDAC9;COL18A1;COL4A2;ZBTB20;MYRF;FOXM1;ELP2;ADIPOR2;AVIL;RAP1GAP;UGT2B7;FKBP4;ZNF672;LTBP4;PRKX;GCNT2;RIOK3;GALE;RAD9A;RPRD1A","","","","","SUPPORTED",1
"GSE158722","Epithelial","A_uncorrected","Epithelial__A_uncorrected__9",1945,4,4,"P14_Pre-treatment",0.998457583547558,"Epithelial","high","KRTCAP3;CLDN3;KRT19;KRT6A","Myeloid","Non_cycling","",1231,"READY_FOR_ANNOTATION",FALSE,"S100A7;ADGRG2;ZNF486;S100A8;LY6G6C;S100A9;BATF;C10orf99;PIFO;ADIRF;CRABP1;LAMA4;SOX18;GPR12;BST1;RNASE1;PAPSS2;DPEP3;GLIPR2;MX1","S100A7;ADGRG2;ZNF486;S100A8;LY6G6C;S100A9;BATF;C10orf99;PIFO;ADIRF;CRABP1;LAMA4;SOX18;GPR12;BST1;RNASE1;PAPSS2;DPEP3;GLIPR2;MX1;FAM3B;IDO1;SAA1;HEBP2;FBXO6;DUSP10;PPIL6;HOXD8;CCNO;RPS4X;CXCL17;EPSTI1;ETV7;MDH2;FBXO21;DECR1;HPSE;CSTB;ACSL5;MYCL;CCDC117;LEMD1;NUDT2;KRTCAP3;THSD4;GABRP;RPS12;RSPH1;GAS6;RPL30","","","","","SUPPORTED",3
"GSE158722","Fibroblast","A_uncorrected","Fibroblast__A_uncorrected__0",830,22,17,"P04_Time1",0.840963855421687,"Epithelial","high","KRT19;KRT5;KRT8;KRT18","Fibroblast","Non_cycling","",828,"REVIEW_LINEAGE_CONFLICT",TRUE,"SPRR2F;SST;OASL;PRR9;MX2;ISG15;SPON2;RSAD2;CLIC3;PODXL;IFIT1;IFI44L;GJB2;DDX58;MX1;LGALS2;HERC6;FGF1;OAS2;CRIP1","SPRR2F;SST;OASL;PRR9;MX2;ISG15;SPON2;RSAD2;CLIC3;PODXL;IFIT1;IFI44L;GJB2;DDX58;MX1;LGALS2;HERC6;FGF1;OAS2;CRIP1;WNT4;SERTM1;TPPP3;TMEM151A;IRF7;CCDC85C;DDX60;OGN;SMPD3;SAMD9;IFI6;LPAR5;PAEP;RPP25;HBEGF;ALDH1A1;IFIT3;LRRC1;PKP2;NSG1;OAS3;DDX60L;KALRN;UPK3B;USP18;APOA1;HHIPL1;PRR5;HERC5;NHSL1","","","","","SUPPORTED",4
"GSE158722","Fibroblast","A_uncorrected","Fibroblast__A_uncorrected__1",737,18,15,"P17_Pre-treatment",0.848032564450475,"Fibroblast","high","POSTN;FAP;LUM;DCN;COL1A2;COL6A2;COL6A1;COL3A1","Epithelial","Non_cycling","",484,"READY_FOR_ANNOTATION",FALSE,"SEMA3D;KRT7;LRRN1;MGAT4C;COLGALT2;POSTN;MMP24;PDGFRB;LDB2;SERPINB7;NFASC;FAP;ITIH5;ENPP1;PCDH7;CCBE1;JCHAIN;NOMO1;SPATA20;ALDH1A1","SEMA3D;KRT7;LRRN1;MGAT4C;COLGALT2;POSTN;MMP24;PDGFRB;LDB2;SERPINB7;NFASC;FAP;ITIH5;ENPP1;PCDH7;CCBE1;JCHAIN;NOMO1;SPATA20;ALDH1A1;LGI2;GRIA2;MYLK;CST6;DHRS9;RCAN2;LRP2;LUM;OLFML3;PTGDS;CRB2;GPC3;CPXM1;CD109;HSPA2;CLIC5;MMEL1;SULT1A1;THSD4;MMP15;ENPP2;SEMA3A;ELP5;TMEM176A;GLMP;FRMD4A;CLCN5;RBFOX1;ST3GAL5;KDR","","","","","SUPPORTED",6
"GSE158722","Fibroblast","A_uncorrected","Fibroblast__A_uncorrected__10",69,3,1,"P06_Time3",0.739130434782609,"Ambiguous","low","","T_cell","Non_cycling","",43,"REVIEW_AMBIGUOUS_LINEAGE",FALSE,"SCO2;ST6GALNAC6;POLR2J3;LBHD1;HIST1H2BK;ALDOA;U2AF1;ZC3H11A;FAM153B;MATR3;EGLN2;RAD50;AK1;C1orf50;POLD4;TJP2;PTPRS;KCNJ15;MKKS;CTSE","SCO2;ST6GALNAC6;POLR2J3;LBHD1;HIST1H2BK;ALDOA;U2AF1;ZC3H11A;FAM153B;MATR3;EGLN2;RAD50;AK1;C1orf50;POLD4;TJP2;PTPRS;KCNJ15;MKKS;CTSE;PLA2G12A;EIF4A1;ISCU;MX1;TMEM176A;JUN;PLA2G2A;OPTN;IFI6;ARPC1B;VAMP8;SOD2;BRI3;ISG15;HMGN3;RPL13A;SLC39A8;TPT1;TMSB4X;TOMM7;RPLP0;RPL7A;RPL9","","","","","INSUFFICIENT_CANONICAL_SUPPORT",0
"GSE158722","Fibroblast","A_uncorrected","Fibroblast__A_uncorrected__2",731,1,1,"P24_Post-treatment",1,"Epithelial","moderate","WFDC2;KRT5;MUC16","B_cell","Non_cycling","",874,"REVIEW_LINEAGE_CONFLICT",TRUE,"IL26;SAA4;SAA2;SAA1;STEAP4;CTSE;SYT4;HHIP;ITLN1;CXCL1;CXCL8;MT1G;CHAC1;MT1H;S100A9;CXCL6;IL6;SERPINB1;TRABD2B;VNN3","IL26;SAA4;SAA2;SAA1;STEAP4;CTSE;SYT4;HHIP;ITLN1;CXCL1;CXCL8;MT1G;CHAC1;MT1H;S100A9;CXCL6;IL6;SERPINB1;TRABD2B;VNN3;S100A8;IGFBP1;LTF;HP;BMP2;SERPINF1;CCNO;AQP3;RBP4;CRTAC1;CCL2;SIPA1L2;FST;PROSER2;SLC7A2;MT1M;INHBA;GFPT2;FAM124A;WFDC2;MARCH3;ATP10A;ATP7A;MT1X;DAW1;STEAP2;KRT5;PDIA2;CHI3L1;CD55","","","","","SUPPORTED",1
