cluster,dataset_id,n_cells,n_samples,total_samples_in_dataset,dominant_sample,dominant_sample_n,dominant_sample_fraction,normalized_shannon_entropy,simpson_diversity,effective_sample_number,dominance_label,cluster_sample_cramers_v,cluster_patient_cramers_v,cluster_timepoint_cramers_v,cluster_treatment_cramers_v,top_markers,top_author_celltype,top_author_celltype_fraction,median_nCount,median_nFeature,median_percent_mt,doublet_fraction,median_doublet_score,median_S_score,median_G2M_score,likely_interpretation,interpretation_basis,dominant_patient,dominant_patient_fraction,dominant_timepoint,dominant_timepoint_fraction
"18","GSE154600",367,4,5,"T89",214,0.583106267029973,0.450285562331564,0.492898454959202,1.97199162530563,"mixed",0.853084075735489,0.853084075735489,NA,NA,"LINC01781;TNFRSF13C;BLK;BANK1;VPREB3;CD19;MS4A1;STAG3;CD79A;ARHGAP24;P2RX5;BCL11A;IRF8;GNG7;ADAM28;LY9;IGHM;CD79B;CLECL1;SMIM14;HLA-DQA2;CHPT1;ARRDC2;ORAI2;MARCH1;CD37;NFKBID;TLE1;RBM38;ALG13;WDR74;POU2F2;INPP5D;RCSD1;MEF2C;SMAP2;CD83;PRKCB;CD55;TMEM243;IFT57;LYN;PHACTR1;IL16;SELL;PRDM2;RPL36A;RPL17;VPS37B;DCK","LYMPH",0.991525423728814,2111,694,5.03175378602833,0,0.00310493656434119,NA,NA,"mixed_or_uncertain","dominance=mixed; epithelial_marker_program=FALSE; shared_lineage_marker_program=FALSE; qc_outlier_flag=FALSE; cell_level_qc_available=TRUE","T89",0.583106267029973,NA,NA
"19","GSE154600",352,5,5,"T77",211,0.599431818181818,0.627254205448704,0.563985020661157,2.29349918554716,"mixed",0.853084075735489,0.853084075735489,NA,NA,"APOC1;HLA-DQA2;C1QC;APOE;CD68;AIF1;C1QB;CFD;SELENOP;LY96;LST1;C1QA;LYZ;FTL;TYROBP;FCGR2A;SPI1;MS4A6A;PLTP;FCER1G;S100A9;CTSD;CTSS;AKR1B1;CAPG;BRI3;CSTB;ATOX1;TMEM176B;RNASE1;CTSB;MS4A7;FCGR3A;PLD3;HLA-DPB1;YWHAH;C1orf162;CTSC;CARD16;CTSH;HLA-DMB;GLUL;FCGRT;HLA-DPA1;HLA-DRA;HLA-DMA;CD74;VAMP8;S100A11;PRDX1","MYE",0.987730061349693,781.5,432.5,4.20992754924855,0,0.00077852385584265,NA,NA,"likely_shared_lineage","dominance=mixed; epithelial_marker_program=FALSE; shared_lineage_marker_program=TRUE; qc_outlier_flag=FALSE; cell_level_qc_available=TRUE","T77",0.599431818181818,NA,NA
"2","GSE154600",3183,4,5,"T89",1674,0.525918944392083,0.435692744240231,0.499845383042907,1.99938172336373,"mixed",0.853084075735489,0.853084075735489,NA,NA,"LINC01871;LINC00513;TRAT1;AC114760.2;PARP8;ETS1;IL7R;CRYBG1;RBM38;ZFP36L2;CNOT6L;KLF2;ZFP36;FKBP5;AC026979.2;CMC1;MT1X;RNF125;AC016831.5;S1PR4;PRKCH;AC058791.1;PPP2R5C;SMAP2;IKZF1;TOB1;FYN;CD6;STAT4;RPL17;ARHGEF1;CRIP1;SYTL3;HCST;CD8A;PIK3IP1;NSMCE3;PIM2;AKNA;CD3E;RPS29;PTGER4;RUNX3;SOCS1;CCL5;H1FX;IL10RA;GZMK;ISG20;LYAR","LYMPH",0.999344047228599,1886,761,4.37956204379562,0,0.00863332767039537,NA,NA,"mixed_or_uncertain","dominance=mixed; epithelial_marker_program=FALSE; shared_lineage_marker_program=FALSE; qc_outlier_flag=FALSE; cell_level_qc_available=TRUE","T89",0.525918944392083,NA,NA
"20","GSE154600",347,2,5,"T90",184,0.530259365994236,0.429538037647537,0.498168741539254,1.99270169631775,"mixed",0.853084075735489,0.853084075735489,NA,NA,"FOXP3;LAIR2;CTLA4;AC017002.3;ZBTB32;BATF;LINC01943;HS3ST3B1;TNFRSF4;TIGIT;IL2RA;TNFRSF18;MAGEH1;TNFRSF9;ICA1;TBC1D4;PMAIP1;AC114760.2;CARD16;SIRPG;ICOS;IL2RB;IPCEF1;LAYN;CD28;PIM2;CD27;PRDM1;PELI1;CD7;FAS;NCK2;BCL2;TNFRSF25;FAM215B;CYTOR;FCMR;DUSP4;CLEC2D;SMAP2;LINC00513;CORO1B;IL32;LTB;USP15;SH2D1A;SIT1;SKAP1;PBXIP1;SOCS1","LYMPH",1,2299,964,3.51885098743267,0,0.0164146218448877,NA,NA,"mixed_or_uncertain","dominance=mixed; epithelial_marker_program=FALSE; shared_lineage_marker_program=FALSE; qc_outlier_flag=FALSE; cell_level_qc_available=TRUE","T90",0.530259365994236,NA,NA
"21","GSE154600",327,4,5,"T59",248,0.758409785932722,0.371403657534438,0.370750685033995,1.58919521438656,"moderate_sample_dominance",0.853084075735489,0.853084075735489,NA,NA,"VPREB3;MS4A1;IGHD;CD79A;BANK1;IGHM;CD79B;SMIM14;CD37;POU2F2;CD83;SELL;HLA-DMB;TXNIP;GABPB1-AS1;HLA-DQB1;BIRC3;CCR7;SNX2;RHOH;CD74;MEF2C;LAPTM5;CD69;HLA-DMA;IFI44L;HLA-DRA;LTB;EZR;EVI2B;CD48;SYNGR2;EIF1B;SP110;STK17A;CTSH;SEPT6;YPEL5;ELF1;LIMD2;ISG20;BTG1;CMTM6;HLA-DQA1;STK4;RAC2;PDLIM1;EEF1B2;SF1;HLA-DPB1","LYMPH",0.911392405063291,904,521,4.65444287729196,0,0.000570999691262841,NA,NA,"mixed_or_uncertain","dominance=moderate_sample_dominance; epithelial_marker_program=FALSE; shared_lineage_marker_program=FALSE; qc_outlier_flag=FALSE; cell_level_qc_available=TRUE","T59",0.758409785932722,NA,NA
"22","GSE154600",277,4,5,"T89",165,0.595667870036101,0.599247479462781,0.56143048912406,2.28014026329084,"mixed",0.853084075735489,0.853084075735489,NA,NA,"JCHAIN;IGHG4;IGHG3;IGLC2;IGLC3;TNFRSF17;MZB1;IGKC;DERL3;IGHA1;IGHG2;IGHG1;FKBP11;XBP1;SSR4;SEC11C;CD79A;H1FX;SPCS3;ANKRD28;PLPP5;PIM2;PRDX4;ERLEC1;FKBP2;IGHM;LY96;UBE2J1;ITM2C;CRELD2;SELENOS;MYDGF;MANF;HERPUD1;SSR3;SPCS2;TRAM1;SDF2L1;TMED2;SEC61G","LYMPH",0.804347826086957,2401,321,1.70311939763356,0,0.00161548051983118,NA,NA,"mixed_or_uncertain","dominance=mixed; epithelial_marker_program=FALSE; shared_lineage_marker_program=FALSE; qc_outlier_flag=FALSE; cell_level_qc_available=TRUE","T89",0.595667870036101,NA,NA
"23","GSE154600",258,1,5,"T76",258,1,0,0,1,"strong_sample_dominance",0.853084075735489,0.853084075735489,NA,NA,"FGFBP2;GNLY;KLRF1;GZMB;PRF1;KLRD1;CLIC3;NKG7;CD247;PLAC8;GZMH;KLRB1;CTSW;CST7;MYO1F;SPON2;EFHD2;GNG2;GZMM;TLE4;PTPN7;HOPX;GZMA;RUNX3;APMAP;TUBA4A;CCL5;SLA;ARL4C;CD7;FCGR3A;CCL4;PRMT2;CREM;SERTAD1;RPS26;YPEL5;JAK1;LITAF;HIST1H4C;ITGB2;MALAT1;DDIT4;SYAP1;AKAP9;TYROBP;LARP7;HCST;DDX24;SLC16A3","LYMPH",0.995495495495496,1248.5,605.5,5.87139178750508,0,0.000681609992170706,NA,NA,"mixed_or_uncertain","dominance=strong_sample_dominance; epithelial_marker_program=FALSE; shared_lineage_marker_program=TRUE; qc_outlier_flag=FALSE; cell_level_qc_available=TRUE","T76",1,NA,NA
"24","GSE154600",244,2,5,"T89",156,0.639344262295082,0.406225393854454,0.461166353130879,1.85586034912718,"moderate_sample_dominance",0.853084075735489,0.853084075735489,NA,NA,"KLRC1;B3GNT7;XCL1;KLRF1;GNLY;XCL2;KLRD1;TRDC;KRT86;FGFBP2;MATK;PRF1;CMC1;NKG7;KLRB1;CLIC3;IL2RB;CD7;MAPK1;GZMB;CTSW;AREG;RBM38;METRNL;LINC01871;HOPX;PLAC8;CHST12;ADGRE5;LAT2;CD247;PARP8;LYST;HCST;RALGAPA1;SYTL3;ABHD17A;AKNA;SPN;MAFF;ARHGEF1;CST7;VPS37B;EFHD2;CCL5;BIN2;CDC42SE1;RUNX3;GNG2;RNF125","LYMPH",1,1729,736,4.74531686338599,0,0.0193960051983595,NA,NA,"likely_shared_lineage","dominance=moderate_sample_dominance; epithelial_marker_program=FALSE; shared_lineage_marker_program=TRUE; qc_outlier_flag=FALSE; cell_level_qc_available=TRUE","T89",0.639344262295082,NA,NA
"25","GSE154600",204,2,5,"T76",203,0.995098039215686,0.0192359965622102,0.00975586312956556,1.00985197767532,"strong_sample_dominance",0.853084075735489,0.853084075735489,NA,NA,"FOXP3;IL2RA;TNFRSF9;CTLA4;LINC01943;TNFRSF18;TBC1D4;BATF;TNFRSF4;CXCR6;ICOS;TIGIT;LTB;DUSP4;TRBC1;TRAC;GLRX;IL32;FRMD4B;CD27;PBXIP1;RHBDD2;ARID5B;CARD16;CD2;RPS26;TENT5C;MIR4435-2HG;TSPYL2;ITM2A;LAT;SPOCK2;NOP58;CD3D;RHOH;BIRC3;CD7;PMAIP1;GBP2;CORO1B;IL2RG;TNFRSF1B;CDV3;CREM;JAK1;TMEM173;RPS27L;TRBC2;CD3E;LEPROTL1","LYMPH",0.935483870967742,1623,754.5,5.49767436313975,0,0.00124403566587716,NA,NA,"mixed_or_uncertain","dominance=strong_sample_dominance; epithelial_marker_program=FALSE; shared_lineage_marker_program=TRUE; qc_outlier_flag=FALSE; cell_level_qc_available=TRUE","T76",0.995098039215686,NA,NA
"26","GSE154600",175,2,5,"T77",174,0.994285714285714,0.0218778186051575,0.0113632653061224,1.01149387323711,"strong_sample_dominance",0.853084075735489,0.853084075735489,NA,NA,"AC023034.1;AC104041.1;PRRT2;TMEM67;ADAMTS6;RAD9A;CCDC173;COL9A2;DYNC2H1;HIF3A;COL9A3;LINC00958;HOOK2;ZNF692;SRGAP3;KAT2A;ANKRD36C;FHIT;NSUN6;RHPN1;THBS3;XRRA1;MTHFR;MNS1;CPLANE1;PMS1;LAMA5;HES1;GALE;SLC29A1;TSHZ2;IGF2BP2;KCNQ1OT1;CDH2;MECOM;TAF1D;THUMPD3-AS1;CHI3L1;SCAPER;SCRIB;ANKRD26;PABPC4;ABHD11;CHD7;LY6K;PAX8;B4GAT1;CRELD1;RNF212;MEIS1","EPI",0.579881656804734,2032,988,4.64788732394366,0,0.00992161966860294,NA,NA,"likely_patient_specific_tumor_state","dominance=strong_sample_dominance; epithelial_marker_program=TRUE; shared_lineage_marker_program=FALSE; qc_outlier_flag=FALSE; cell_level_qc_available=TRUE","T77",0.994285714285714,NA,NA
"27","GSE154600",126,5,5,"T59",88,0.698412698412698,0.556099208864724,0.469009826152683,1.88327402135231,"moderate_sample_dominance",0.853084075735489,0.853084075735489,NA,NA,"CLEC4C;SHD;LILRA4;LRRC26;PTCRA;SMPD3;TCL1A;SMIM5;VASH2;AC119428.2;KRT5;IL3RA;FUT7;FAM129C;SPIB;SIDT1;IRF4;RASD1;PLD4;TSPAN13;ZFAT;GZMB;IRF8;PLAC8;MPEG1;JCHAIN;BCL11A;CSF2RB;SLC15A4;IRF7;PNOC;CLN8;MYBL2;MAP1A;RUBCN;OPN3;P2RY6;CLIC3;GPR183;AREG;SEL1L3;CHAF1A;TNFRSF21;FCHSD2;LAMP5;CYB561A3;UGCG;FADS1;DERL3;GNA15","MYE",0.525423728813559,2247,1044,2.98898271580534,0,0.0158038595691323,NA,NA,"mixed_or_uncertain","dominance=moderate_sample_dominance; epithelial_marker_program=FALSE; shared_lineage_marker_program=FALSE; qc_outlier_flag=FALSE; cell_level_qc_available=TRUE","T59",0.698412698412698,NA,NA
"28","GSE154600",120,5,5,"T59",83,0.691666666666667,0.575668964113147,0.481388888888889,1.92822710230316,"moderate_sample_dominance",0.853084075735489,0.853084075735489,NA,NA,"MKI67;RRM2;ASPM;GTSE1;CCNA2;TOP2A;NUSAP1;CENPE;CENPA;BIRC5;CEP55;CDT1;ASF1B;PLK1;CLSPN;HMGB2;SPC25;AURKB;NUF2;TYMS;CENPF;CENPN;CDKN3;KIFC1;PBK;ZWINT;CENPU;AURKA;CENPM;NDC80;TPX2;CDK1;CDCA5;MAD2L1;PHF19;KIF20B;CDCA8;CDCA3;SMC2;CHEK1;CENPK;SGO1;UBE2C;ATAD2;PCLAF;EZH2;LRR1;ORC6;TMPO;HIST1H4C","LYMPH",0.966101694915254,2919.5,1391.5,3.79189893296171,0,0.0583980046212673,NA,NA,"mixed_or_uncertain","dominance=moderate_sample_dominance; epithelial_marker_program=FALSE; shared_lineage_marker_program=FALSE; qc_outlier_flag=FALSE; cell_level_qc_available=TRUE","T59",0.691666666666667,NA,NA
"29","GSE154600",72,2,5,"T76",71,0.986111111111111,0.0454755841094715,0.0273919753086418,1.02816342721142,"moderate_sample_dominance",0.853084075735489,0.853084075735489,NA,NA,"MS4A1;BANK1;CD79A;HVCN1;VPREB3;CD79B;IGHM;POU2F2;MEF2C;HBB;CCR7;SMIM14;EZR;CD37;SELL;ITSN2;DNTTIP2;CEBPZ;ZC3H13;ANKRD11;IER5;CRIP1;CD55;JUND;TNRC6B;ATP2B1;UPF2;RPS26;LDLRAD4;CHD1;PDE4B;ID3;CD69;ARL4A;IVNS1ABP;ZNF292;SF1;DDX21;IGHA1;MMP24OS;C7orf50;LSM7;SEPT6;SON;RBM25;CWF19L2;USP16;PRPF4B;CD83;CD52","LYMPH",0.802816901408451,1899,804.5,6.58144172069025,0,0.00440506986342371,NA,NA,"mixed_or_uncertain","dominance=moderate_sample_dominance; epithelial_marker_program=FALSE; shared_lineage_marker_program=FALSE; qc_outlier_flag=FALSE; cell_level_qc_available=TRUE","T76",0.986111111111111,NA,NA
"3","GSE154600",3102,5,5,"T76",3044,0.981302385557705,0.0737256615813313,0.0369564611920266,1.03837465254974,"strong_sample_dominance",0.853084075735489,0.853084075735489,NA,NA,"ITGBL1;OMD;SFRP2;EPYC;CXCL14;NTM;CILP2;C1QTNF3;COL11A1;COL6A3;INHBA;ENPP1;COL10A1;C5orf46;SFRP4;COMP;FNDC1;CCL11;THBS2;COL8A1;CPE;SMOC2;AEBP1;LOXL2;COL1A1;DCN;ITGA11;COL1A2;PRELP;TIMP3;TMEM158;PODNL1;PDGFRL;SUGCT;PTN;FIBIN;LUM;IQCA1;FBN1;CCDC80;ELN;LTBP2;GJB2;NR2F1;FN1;EMILIN1;COL12A1;CTSK;CYP1B1;MRC2","STROM",0.997640714526458,4176.5,1467.5,5.33905499923585,0,0.00731088779866695,NA,NA,"mixed_or_uncertain","dominance=strong_sample_dominance; epithelial_marker_program=FALSE; shared_lineage_marker_program=TRUE; qc_outlier_flag=FALSE; cell_level_qc_available=TRUE","T76",0.981302385557705,NA,NA
"4","GSE154600",2600,4,5,"T59",2583,0.993461538461539,0.0277678879730627,0.0130124260355029,1.0131839816212,"strong_sample_dominance",0.853084075735489,0.853084075735489,NA,NA,"LTB;CCR7;GPR171;AC058791.1;BIRC3;BATF;TRAC;CXCR3;LCK;IL7R;CD69;SOCS1;CD27;CD2;PIK3IP1;ITM2A;CLEC2D;CD7;LAT;RHOH;SPOCK2;STK4;TRBC1;IL2RG;CD3G;ISG20;ACAP1;CORO1A;PTPRC;EVL;RAC2;SEPT6;PTPN7;RNF19A;TSC22D3;LIMD2;CYTIP;TRBC2;APOBEC3G;CD48;RGS1;CD3D;DDIT4;CD3E;STAT3;GPBP1;IL32;PPP1R2;TXNIP;PSMB9","LYMPH",0.968070337806571,985,591,3.97067122931802,0,0.00127115845680237,NA,NA,"mixed_or_uncertain","dominance=strong_sample_dominance; epithelial_marker_program=FALSE; shared_lineage_marker_program=TRUE; qc_outlier_flag=FALSE; cell_level_qc_available=TRUE","T59",0.993461538461539,NA,NA
"5","GSE154600",1980,3,5,"T77",1977,0.998484848484848,0.00765183013712968,0.0030267319661258,1.00303592088491,"strong_sample_dominance",0.853084075735489,0.853084075735489,NA,NA,"LY6K;PART1;PCP4;PSAT1;GMPR;ID4;FBXO2;HES1;FRZB;SNHG19;TPPP3;S100A1;TM7SF2;SELENBP1;TCEA3;CCDC146;PPP1R16A;TUBB;FXR1;IMPDH2;CENPW;ZSCAN16-AS1;SCCPDH;QPRT;RAB13;CFAP36;TNNT1;PAX8;ISYNA1;RCN2;SNCG;NFKBIL1;UQCRH;PUF60;PFDN4;AAMDC;SOX17;RUVBL1;OLA1;LSM2;CYHR1;TM4SF1;COA5;FOLR1;PRDX6;LYPLA2;EMX2;DNAJC19;DDAH2;PBX1","EPI",0.686002522068096,1340.5,694,3.1589717484337,0,0.00468530994839966,NA,NA,"likely_patient_specific_tumor_state","dominance=strong_sample_dominance; epithelial_marker_program=TRUE; shared_lineage_marker_program=FALSE; qc_outlier_flag=FALSE; cell_level_qc_available=TRUE","T77",0.998484848484848,NA,NA
